term,group,year,decade,century,count
lokeśvara,Mahayana,972,970,10,3
lokeśvara,Mahayana,979,970,10,1
lokeśvara,Mahayana,1003,1000,11,1
lokeśvara,Mahayana,1026,1020,11,1
bodhisattva,Mahayana,1178,1170,12,1
mahābodhi,Mahayana,1178,1170,12,1
vajra,Mahayana,878,870,9,1
vajra,Mahayana,1139,1130,12,1
vajra,Mahayana,1145,1140,12,1
buddha,Buddhist-general,1178,1170,12,2
buddha,Buddhist-general,1361,1360,14,3
stūpa,Buddhist-general,1278,1270,13,1
saṅgha,Buddhist-general,1107,1100,12,1
saṅgha,Buddhist-general,1278,1270,13,3
buddhasāsa,Buddhist-general,1278,1270,13,1
sāsana,Theravada/Pali,1361,1360,14,1
thera,Theravada/Pali,1278,1270,13,1
thera,Theravada/Pali,1308,1300,14,1
śiva,Shaiva,578,570,6,4
śiva,Shaiva,878,870,9,3
śiva,Shaiva,937,930,10,1
śiva,Shaiva,959,950,10,1
śiva,Shaiva,966,960,10,1
śiva,Shaiva,968,960,10,1
śiva,Shaiva,979,970,10,1
śiva,Shaiva,1001,1000,11,1
śiva,Shaiva,1008,1000,11,1
śiva,Shaiva,1078,1070,11,3
śiva,Shaiva,1107,1100,12,1
śiva,Shaiva,1178,1170,12,2
maheśvara,Shaiva,878,870,9,1
maheśvara,Shaiva,1078,1070,11,2
maheśvara,Shaiva,1306,1300,14,1
liṅga,Shaiva,680,680,7,1
liṅga,Shaiva,681,680,7,1
liṅga,Shaiva,878,870,9,2
liṅga,Shaiva,937,930,10,1
liṅga,Shaiva,959,950,10,1
liṅga,Shaiva,1001,1000,11,1
liṅga,Shaiva,1025,1020,11,1
liṅga,Shaiva,1044,1040,11,2
liṅga,Shaiva,1052,1050,11,9
liṅga,Shaiva,1054,1050,11,2
liṅga,Shaiva,1067,1060,11,1
liṅga,Shaiva,1078,1070,11,5
liṅga,Shaiva,1107,1100,12,1
liṅga,Shaiva,1118,1110,12,1
viṣṇu,Vaishnava,878,870,9,4
viṣṇu,Vaishnava,893,890,9,1
viṣṇu,Vaishnava,932,930,10,1
viṣṇu,Vaishnava,937,930,10,1
viṣṇu,Vaishnava,978,970,10,1
viṣṇu,Vaishnava,1055,1050,11,1
viṣṇu,Vaishnava,1078,1070,11,3
viṣṇu,Vaishnava,1107,1100,12,2
viṣṇu,Vaishnava,1109,1100,12,1
viṣṇu,Vaishnava,1139,1130,12,4
viṣṇu,Vaishnava,1178,1170,12,2
brāhmaṇa,Brahmanical,678,670,7,1
brāhmaṇa,Brahmanical,1361,1360,14,3
deva,Brahmanical,578,570,6,2
deva,Brahmanical,637,630,7,1
deva,Brahmanical,678,670,7,1
deva,Brahmanical,697,690,7,1
deva,Brahmanical,781,780,8,2
deva,Brahmanical,878,870,9,4
deva,Brahmanical,959,950,10,1
deva,Brahmanical,962,960,10,1
deva,Brahmanical,968,960,10,1
deva,Brahmanical,978,970,10,1
deva,Brahmanical,994,990,10,1
deva,Brahmanical,1005,1000,11,1
deva,Brahmanical,1019,1010,11,1
deva,Brahmanical,1055,1050,11,1
deva,Brahmanical,1078,1070,11,4
deva,Brahmanical,1119,1110,12,1
deva,Brahmanical,1178,1170,12,1
