,pre_n,post_n,pre_mean,post_mean,pre_median,post_median,pre_sd,post_sd,u_stat,u_pval,t_stat,t_pval,cohens_d,pct_change
Desflurane,141.0,17.0,238.29609929078015,163.58411764705883,200.0,101.0,194.75426906295846,113.47302058522675,1457.0,0.14763672664777908,2.331994565344774,0.02686100337615229,-0.46875997495739985,-31.35258271792113
Sevoflurane,287.0,34.0,544.9383275261324,611.7085294117646,430.0,508.0,414.6640734866594,364.92814219300556,4141.5,0.1496794938882579,-0.993591468439764,0.32588570471328077,0.17094766492806507,12.252799722998061
Isoflurane,510.0,44.0,286.647431372549,254.6484090909091,247.595,200.0,214.606595684904,191.3580247154311,12572.5,0.18429729946593376,1.0535285044106029,0.2968975538263767,-0.1573865207028239,-11.16319868223467
