event_key,date,label,description
commission_proposal,2022-04-05,EC Proposal,European Commission publishes revised F-gas Regulation proposal
parliament_vote,2023-03-30,EP Vote,European Parliament approves F-gas proposal in plenary
provisional_agreement,2023-10-05,Trilogue Agreement,Council and Parliament reach provisional agreement
formal_adoption,2024-02-07,Regulation Adopted,Regulation (EU) 2024/573 formally adopted
enters_force,2024-03-11,Enters Force,Regulation enters into force (20 days after OJ publication)
desflurane_ban,2026-01-01,Desflurane Ban,Desflurane prohibition takes effect under Art. 11(1) / Annex IV
