date_sold,title,price_usd,condition,brand,model,location,seller,notes
2026-03-25,Drager M35170 Vapor 2000 Sevoflurane Anesthesia Vaporizer,1195.00,Pre-Owned,Drager,Vapor 2000,United States,primismedical,Best offer accepted
2026-03-23,Datex Ohmeda Sevotec 5 Sevoflurane Vaporizer,270.00,Pre-Owned,Datex-Ohmeda,Sevotec 5,United States,socotek1,Best offer accepted; listed at $300
2026-03-21,Drager Vapor 2000 Sevoflurane Vaporizer,1000.00,Pre-Owned,Drager,Vapor 2000,United States,califcalibratio-0,Best offer accepted
2026-03-20,Datex-Ohmeda Tec 7 Sevoflurane Anesthesia Vaporizer,649.99,Pre-Owned,Datex-Ohmeda,Tec 7,United States,medsupplystore1corp,or Best Offer
2026-03-19,Datex-Ohmeda Tec 7 Sevoflurane Anesthesia ISO Vaporizer 1175-9101-000,399.95,Pre-Owned,Datex-Ohmeda,Tec 7,United States,avitarauctions,1 bid auction
2026-03-18,Datex-Ohmeda Aladin2 Sevoflurane Vaporizer Cassette SEV P/N 1100-9030-000,494.99,Pre-Owned,Datex-Ohmeda,Aladin2,United States,the-medicka,or Best Offer
2026-03-16,Sevoflurane Vapor 2000 Drager,302.00,Parts Only,Drager,Vapor 2000,United States,ntn_39,13 bids auction
2026-03-16,Datex-Ohmeda Tec 7 Sevoflurane Anesthesia Vaporizer and Pour Fill,1486.65,Pre-Owned,Datex-Ohmeda,Tec 7,United States,dramaprime,or Best Offer; listed at $1749
2026-03-13,Drager M35054-19 Vapor 2000 Sevoflurane MINT CONDITION,1999.99,Pre-Owned,Drager,Vapor 2000,United States,southwesternsales,or Best Offer
2026-03-12,Drager Vapor 2000 Sevoflurane M35170 EXCELLENT CONDITION,1449.99,Pre-Owned,Drager,Vapor 2000,United States,southwesternsales,Best offer accepted
2026-03-10,Datex Ohmeda GE Tec 7 Sevoflurane Vaporizer,565.00,Pre-Owned,Datex-Ohmeda,Tec 7,United States,mediusa-1,or Best Offer
2026-03-04,North American Drager M35054 Vapor 2000 Sevoflurane Vaporizer,899.99,Pre-Owned,Drager,Vapor 2000,United States,medused,or Best Offer
2026-03-03,Drager Vapor 2000 Sevoflurane Vaporizer,1175.00,Pre-Owned,Drager,Vapor 2000,United States,atwatermedexchange,Best offer accepted
2026-03-02,Datex Ohmeda Sevotec 5 Sevoflurane Vaporizer,100.00,Pre-Owned,Datex-Ohmeda,Sevotec 5,United States,parogi,Best offer accepted
2026-02-25,GE M1107626 Datex-Ohmeda Tec 7 Sevoflurane Vaporizer,695.00,Pre-Owned,GE/Datex-Ohmeda,Tec 7,United States,kenmed_surgical,Best offer accepted
2026-02-23,Datex Ohmeda Isotec 5 Sevoflurane Vaporizer,250.00,Pre-Owned,Datex-Ohmeda,Isotec 5,United States,readymedgo,Best offer accepted
2026-02-22,DRAGER VAPOR 2000 SEVOFLURANE ANESTHESIA VAPORIZER,199.00,Parts Only,Drager,Vapor 2000,United States,tekyard_medical,Best offer accepted
2026-02-19,Drager Vapor 2000 Sevoflurane M35170 EXCELLENT CONDITION,1499.99,Pre-Owned,Drager,Vapor 2000,United States,southwesternsales,or Best Offer
2026-02-17,Draeger Medical Vapor 2000 Sevoflurane Vaporizer,371.00,Pre-Owned,Drager,Vapor 2000,United States,relinkmedical,or Best Offer
2026-02-14,Datex-Ohmeda Sevotec 5 Sevoflurane Vaporizer,280.00,Pre-Owned,Datex-Ohmeda,Sevotec 5,United States,socotek1,or Best Offer
