date_sold,title,price_usd,condition,brand,model,location,seller,notes
2026-03-24,Mindray DRAGER Vapor 2000 Isoflurane,279.99,Pre-Owned,Mindray/Drager,Vapor 2000,United States,avitarauctions,1 bid auction
2026-03-24,Ohmeda Medical TEC Isotec 4 Isoflurane Vaporizer,105.00,Pre-Owned,Ohmeda,Isotec 4,United States,relinkmedical,Best offer accepted
2026-03-24,Ohmeda Medical TEC Isotec 4 Isoflurane Vaporizer,105.00,Pre-Owned,Ohmeda,Isotec 4,United States,relinkmedical,Best offer accepted
2026-03-23,DRAGER VAPOR 2000 ISOFLURANE ANESTHESIA VAPORIZER,425.00,Pre-Owned,Drager,Vapor 2000,United States,atwatermedexchange,Best offer accepted
2026-03-23,Draeger Medical Vapor 19.1 Isoflurane Vaporizer,183.00,Pre-Owned,Drager,Vapor 19.1,United States,relinkmedical,Best offer accepted
2026-03-21,Ohio 100F Isoflurane Vapor Vaporizer Veterinary,150.00,Parts Only,Ohio,100F,United States,ntn_39,2 bids auction
2026-03-20,North American Drager Isoflurane 19.1 Vaporizer,200.00,Pre-Owned,Drager,19.1,United States,apexxsolutions,Buy It Now; listed at $250
2026-03-20,Datex Ohmeda Tec 7 Isoflurane Vaporizer,240.00,Parts Only,Datex-Ohmeda,Tec 7,United States,connectedtechelectronics,Best offer accepted
2026-03-19,DATEX-OHMEDA TEC 7 Isoflurane Anesthesia Vaporizer Selectatec Mount,279.00,Pre-Owned,Datex-Ohmeda,Tec 7,United States,swankhouse,Best offer accepted; listed at $399
2026-03-16,Datex Ohmeda Isotec 5 Isoflurane Anesthesia Vaporizer,100.00,Pre-Owned,Datex-Ohmeda,Isotec 5,United States,readymedgo,Best offer accepted
2026-03-16,Ohio 100F Isoflurane Vapor Vaporizer Veterinary,150.00,Parts Only,Ohio,100F,United States,ntn_39,1 bid auction
2026-03-16,VetEquip V1 Funnel-Fill Tabletop Vaporizer Lab Isoflurane System,840.00,Pre-Owned,VetEquip,V1,United States,medi-scientific-parts,Buy It Now; listed at $1200
2026-03-12,Datex Ohmeda TEC 7 Isoflurane Vaporizer,400.00,Parts Only,Datex-Ohmeda,Tec 7,South Korea,campmil,Best offer accepted
2026-03-12,Datex-Ohmeda Isotec 5 Isoflurane Vaporizer,124.00,Pre-Owned,Datex-Ohmeda,Isotec 5,United States,relinkmedical,Best offer accepted
2026-03-11,Ohio Medical 100F Isoflurane Vaporizer,75.00,Pre-Owned,Ohio,100F,United States,jagr-7013,2 bids auction
2026-03-10,DATEX OHMEDA ISOTEC 5 ISOFLURANE ANESTHESIA VAPORIZER,275.00,Pre-Owned,Datex-Ohmeda,Isotec 5,United States,nanuma0,Best offer accepted
2026-03-05,Drager Isoflurane Vapor 2000 Ref M35160,200.00,Pre-Owned,Drager,Vapor 2000,United States,parogi,Best offer accepted
2026-03-05,Datex-Ohmeda 1175-9101-000 Tec 7 Isoflurane Anesthesia Vaporizer,695.00,Refurbished,Datex-Ohmeda,Tec 7,United States,kenmed_surgical,or Best Offer
2026-03-04,Drager Isoflurane Vapor 2000 Ref M35160,225.00,Pre-Owned,Drager,Vapor 2000,United States,parogi,or Best Offer
2026-03-02,Datex Ohmeda GE Tec 7 Isotec 7 Isoflurane Vaporizer Select A Tec Mount,799.00,Pre-Owned,Datex-Ohmeda,Tec 7,United States,gulfstate-10,Best offer accepted
2026-03-02,Datex-Ohmeda Isotec 5 Isoflurane Vaporizer,107.50,Parts Only,Datex-Ohmeda,Isotec 5,United States,usedsurplus,11 bids auction
2026-02-27,Ohmeda Medical Isotec 4 Isoflurane Vaporizer,141.00,Pre-Owned,Ohmeda,Isotec 4,United States,relinkmedical,Best offer accepted
2026-02-19,Mindray DRAGER Vapor 2000 Isoflurane,299.95,Pre-Owned,Mindray/Drager,Vapor 2000,United States,avitarauctions,1 bid auction
2026-02-18,Ohmeda TEC 3 Isoflurane Vaporizer NEW,700.00,New-Open box,Ohmeda,Tec 3,United States,leza_3566,or Best Offer
2026-02-13,Matrx Rodent Isoflurane Anesthesia System with Vaporizer Matrx VIP3000,649.95,Pre-Owned,Matrx,VIP3000,United States,halfpriceoutlets,Buy It Now; veterinary
2026-02-12,Datex Ohmeda GE Tec 7 Isotec 7 Isoflurane Vaporizer Select A Tec Mount Quik Fill,594.50,Pre-Owned,Datex-Ohmeda,Tec 7,United States,doublepts,or Best Offer
2026-02-11,USED Isoflurane Veterinary Vaporizer,100.00,Pre-Owned,Unspecified,Unspecified,United States,fabricorganics,1 bid auction; veterinary
2026-02-08,USED Isoflurane Veterinary Vaporizer Wear On Bottom,200.00,Pre-Owned,Unspecified,Unspecified,United States,fabricorganics,1 bid auction; veterinary
