title,price_usd,sold_date,qty_sold,source,vaporizer_type,item_category
Pour Fill / Anti-Spill ADAPTER for ISOFLURANE Vaporizers - 9010-F - NEW,47.0,"Jan 27, 2025",22,eBay (Terapeak),isoflurane,accessory
Isoflurane Vaporizer Key Fill Adapter,132.89,"Feb 10, 2026",22,eBay (Terapeak),isoflurane,accessory
New GE Datex-Ohmeda Easy-Fil Bottle Adapter for Isoflurane Vaporizer 2106572-001,75.0,"Feb 5, 2025",19,eBay (Terapeak),isoflurane,accessory
Datex-Ohmeda Easy-Fil Isoflurane Vaporizer Bottle Adapter 1100-3025-000,69.95,"Aug 26, 2024",18,eBay (Terapeak),isoflurane,accessory
"GE Easy-Fil Bottle Adapter, Vaporizer, Isoflurane - 1/pack 2106572-001 5232",25.53,"Feb 28, 2025",14,eBay (Terapeak),isoflurane,accessory
Policy violation item 134601860700,2495.0,"Jan 29, 2024",9,eBay (Terapeak),isoflurane,machine
"ISOFLURANE Vaporizer FILLER ADAPTER - DRAGER - Forane/Isoflurane, Purple color",93.06,"Oct 25, 2023",13,eBay (Terapeak),isoflurane,accessory
Datex-Ohmeda Tec 7 Isoflurane Vaporizer,62.5,"Mar 8, 2025",6,eBay (Terapeak),isoflurane,vaporizer
Drager Vapor 2000 Isoflurane Anesthesia Vaporizer,312.89,"Nov 10, 2025",9,eBay (Terapeak),isoflurane,vaporizer
"Datex-Ohmeda Easy-Fil Isoflurane Vaporizer Bottle Adapter Cap, New, 7 Available",53.99,"Jul 9, 2025",7,eBay (Terapeak),isoflurane,accessory
Drager Vapor 2000 Isoflurane M35054 Vaporizer 1/20/2024,844.0,"Sep 15, 2023",5,eBay (Terapeak),isoflurane,vaporizer
Anesthesia Machine & Isoflurane TEC 3 Vaporizer - Veterinary ***** ALL NEW ****,2495.0,"May 17, 2023",4,eBay (Terapeak),isoflurane,machine
Datex Ohmeda GE Tec 7 Isotec 7 Isoflurane Vaporizer Select A Tec Mount Quik Fill,629.5,"Mar 2, 2026",4,eBay (Terapeak),isoflurane,vaporizer
Drager Vapor 2000 Isoflurane Vaporizer,450.75,"Apr 17, 2025",4,eBay (Terapeak),isoflurane,vaporizer
DATEX-OHMEDA TEC 7 ISOFLURANE VAPORIZER,387.5,"Sep 28, 2025",4,eBay (Terapeak),isoflurane,vaporizer
DRAGER VAPOR 2000 ISOFLURANE ANESTHESIA VAPORIZER,367.86,"Mar 23, 2026",7,eBay (Terapeak),isoflurane,vaporizer
Isoflurane Vaporizer Key Fill Adapter,55.0,"Nov 7, 2025",5,eBay (Terapeak),isoflurane,accessory
Datex-Ohmeda 1100-3002-000 Isoflurane key filler for anesthesia vaporizer.,50.0,"Jan 25, 2026",5,eBay (Terapeak),isoflurane,accessory
Drager D-Vapor 2000 Isoflurane Vaporizer,680.0,"Jun 20, 2025",3,eBay (Terapeak),isoflurane,vaporizer
Drager Vapor 2000- Isoflurane M35054 (2013) NOT TESTED- Bulk Deal Available,659.17,"Sep 17, 2023",6,eBay (Terapeak),isoflurane,vaporizer
Policy violation item 131915991434,2495.0,"Jan 20, 2024",3,eBay (Terapeak),isoflurane,machine
"Anesthesia Vaporizer TEC 3, Isoflurane Cagemount, Funnel fill. NEW",847.59,"Oct 25, 2025",4,eBay (Terapeak),isoflurane,vaporizer
GE Datex OHMEDA Tec 7 Isoflurane Anesthesia Vaporizer,255.0,"Jun 16, 2023",10,eBay (Terapeak),isoflurane,vaporizer
Veterinary VetEquip Isoflurane Vaporizer Tabletop Anesthesia for Animal care,833.33,"Jul 15, 2024",3,eBay (Terapeak),isoflurane,vaporizer
Datex Ohmeda Aladin2 Isoflurane Vaporizer 1100-9029-000,291.67,"Oct 19, 2025",3,eBay (Terapeak),isoflurane,vaporizer
"Datex-Ohmeda Easy-Fil Isoflurane Vaporizer Bottle Adapter Cap, New, 7 Available",54.4,"Oct 17, 2025",5,eBay (Terapeak),isoflurane,accessory
Datex-Ohmeda Easy-Fil Isoflurane Vaporizer Bottle Adapter 2106572-001,95.54,"Jun 17, 2024",9,eBay (Terapeak),isoflurane,accessory
New GE Datex-Ohmeda Easy-Fil Bottle Adapter for Isoflurane Vaporizer 2106572-001,56.46,"Mar 4, 2026",7,eBay (Terapeak),isoflurane,accessory
OHMEDA BOC DATEX ISOTEC 5 Isoflurane Anesthesia Vaporizer,116.92,"Oct 16, 2025",13,eBay (Terapeak),isoflurane,vaporizer
Datex-Ohmeda Aladin2 Isoflurane Cassette Vaporizer,248.68,"Feb 22, 2024",3,eBay (Terapeak),isoflurane,vaporizer
Drager Vapor 19.1 Halothane Safety Fill Anesthesia Vaporizer 0.2 - 5 Vol. %,182.33,"Mar 4, 2026",3,eBay (Terapeak),isoflurane,other
Bottle Adapter Vaporizer Easy Fill Quick Fill Isoflurane Halothane Sevoflurane,83.48,"Mar 26, 2024",5,eBay (Terapeak),isoflurane,accessory
GE Datex-Ohmeda Aladin 2 Isoflurane Vaporizer Cassette,290.0,"Dec 10, 2023",6,eBay (Terapeak),isoflurane,vaporizer
Datex-Ohmeda Aladin2 Isoflurane Cassette Vaporizer,280.0,"Aug 26, 2024",3,eBay (Terapeak),isoflurane,vaporizer
Datex Ohmeda TEC 4 Isoflurane Anesthesia Vaporizer Unit (6627),142.85,"Apr 26, 2024",2,eBay (Terapeak),isoflurane,vaporizer
Isoflurane Anesthesia Vaporizer Key Filling Adapter,90.5,"Jan 22, 2024",2,eBay (Terapeak),isoflurane,accessory
Drager Vapor 2000 Isoflurane Vaporizer,495.0,"Jun 14, 2024",2,eBay (Terapeak),isoflurane,vaporizer
System Specialties Veterinary Isoflurane Vaporizer Canister w/Flow Meter Control,1150.0,"Nov 13, 2025",2,eBay (Terapeak),isoflurane,vaporizer
Datex-Ohmeda Easy-Fil Isoflurane Vaporizer Bottle Adapter 1100-3025-000,95.0,"Jan 7, 2026",2,eBay (Terapeak),isoflurane,accessory
Policy violation item 157058332062,170.0,"Jul 13, 2025",2,eBay (Terapeak),isoflurane,other
Isoflurane Vaporizer Key Fill Adapter,95.0,"Jun 15, 2023",2,eBay (Terapeak),isoflurane,accessory
Datex Ohmeda Tec 7 Isoflurane Vaporizer,335.83,"Oct 13, 2025",6,eBay (Terapeak),isoflurane,vaporizer
Drager vapor 2000 Isoflurane,750.0,"Jul 24, 2025",2,eBay (Terapeak),isoflurane,vaporizer
"Datex-Ohmeda Easy-Fil Isoflurane Vaporizer Bottle Adapter Cap, New, 7 Available",54.0,"Nov 2, 2025",3,eBay (Terapeak),isoflurane,accessory
New GE Datex-Ohmeda Easy-Fil Bottle Adapter for Isoflurane Vaporizer 2106572-001,65.0,"Dec 17, 2025",6,eBay (Terapeak),isoflurane,accessory
Datex-Ohmeda Isotec 5 Isoflurane Vaporizer Unit,69.99,"Oct 27, 2025",6,eBay (Terapeak),isoflurane,vaporizer
Lot Of 5 Isoflurane Vaporizer Keyed Fillers,172.83,"Mar 6, 2026",3,eBay (Terapeak),isoflurane,accessory
Datex-Ohmeda Aladin2 Isoflurane Cassette Vaporizer,263.33,"Oct 9, 2023",3,eBay (Terapeak),isoflurane,vaporizer
VetEquip Rodent Isoflurane Anesthesia System with Vaporizer,766.33,"Jul 20, 2025",3,eBay (Terapeak),isoflurane,vaporizer
Ohio Medical Fortec Isoflurane Forane Vaporizer,87.5,"May 6, 2024",2,eBay (Terapeak),isoflurane,vaporizer
PENLON SIGMA DELTA ISOFLURANE VAPORIZER,399.5,"Dec 7, 2023",2,eBay (Terapeak),isoflurane,vaporizer
"Datex-Ohmeda Bottle Adapter Key Refill for Isoflurane Vaporizer, New",53.17,"Oct 17, 2023",3,eBay (Terapeak),isoflurane,accessory
Datex-Ohmeda Bottle Adapter Key Refill for Isoflurane Vaporizer,51.5,"Dec 19, 2023",3,eBay (Terapeak),isoflurane,accessory
Datex-Ohmeda Aladin2 Isoflurane Cassette Vaporizer,188.33,"Mar 26, 2024",3,eBay (Terapeak),isoflurane,vaporizer
Datex-Ohmeda Aladin2 Isoflurane Cassette Vaporizer,295.0,"Jun 30, 2024",3,eBay (Terapeak),isoflurane,vaporizer
Isotec Tek 3 Veterinary Isoflurane Vaporizer VetEquip Cyprane Funnel +WARRANTY,516.67,"Dec 31, 2024",3,eBay (Terapeak),isoflurane,vaporizer
(ONE) GE Datex Ohmeda TEC 7 Isoflurane Vaporizer,499.95,"Apr 28, 2025",4,eBay (Terapeak),isoflurane,vaporizer
North American Drager Isoflurane Vapor 19.1 Vaporizer Animal Anesthesia,550.0,"May 26, 2023",2,eBay (Terapeak),isoflurane,vaporizer
"Datex Ohmeda Tec 7 (Isotec 7) Isoflurane Vaporizer, Recent PM Done ~ 30147",524.99,"May 7, 2023",1,eBay (Terapeak),isoflurane,vaporizer
"2005 Drager Medical Isoflurane Vaporizer Vapor 2000, Ref M35160 ~ 30995",85.0,"Apr 4, 2023",1,eBay (Terapeak),isoflurane,vaporizer
GE Ohmeda Datex Isotec 4 Isoflurane Anesthesia Vaporizer (FOR REPAIRS) ~ 31497,75.0,"Jul 3, 2023",1,eBay (Terapeak),isoflurane,vaporizer
"Drager Vapor 19.3 Anesthesia Vaporizer, ISOFLURANE ~ 31759",247.81,"Jul 5, 2023",1,eBay (Terapeak),isoflurane,vaporizer
"Drager Medical Vapor Anesthesia Vaporizer, ISOFLURANE 19.3 ~ 31753",303.45,"Jul 19, 2023",1,eBay (Terapeak),isoflurane,vaporizer
"Drager Vapor 19.3 Isoflurane Vaporizer, Anesthesia ~ 31755",356.99,"Sep 12, 2023",1,eBay (Terapeak),isoflurane,vaporizer
Datex Ohmeda Isotec 5 Isoflurane Anesthesia Vaporizer,71.99,"Oct 27, 2023",1,eBay (Terapeak),isoflurane,vaporizer
Veterinary Anesthesia Machine Isoflurane Vaporizer with breather box (#3),1250.0,"Dec 6, 2023",1,eBay (Terapeak),isoflurane,machine
Datex Ohmeda Isotec 5 Isoflurane Anesthesia Vaporizer,165.0,"May 6, 2025",1,eBay (Terapeak),isoflurane,vaporizer
"Isoflurane Vaporizer Canister w/stand, Regulator, Ohio Medical for Small Animal",1150.0,"May 7, 2024",2,eBay (Terapeak),isoflurane,vaporizer
Victor Veterinary Vaporizer for Isoflurane,325.0,"May 27, 2024",2,eBay (Terapeak),isoflurane,vaporizer
Drager D-Vapor 2000 Isoflurane Vaporizer,550.0,"Jul 27, 2024",1,eBay (Terapeak),isoflurane,vaporizer
Ohio Medical Airco Isoflurane Forane Vaporizer model 100F veterinary anes,99.99,"May 28, 2024",1,eBay (Terapeak),isoflurane,vaporizer
Veterinary VetEquip Isoflurane Vaporizer Anesthesia w/ Stand. #214146-Flo,1275.0,"Jul 29, 2024",1,eBay (Terapeak),isoflurane,vaporizer
Datex Ohmeda Ref 1175-9101-000 ISO Tec 7 Isoflurane Vaporizer; EMPTY ~ 34974,342.71,"May 17, 2025",1,eBay (Terapeak),isoflurane,vaporizer
"Datex-Ohmeda Tec 7 Isoflurane Vaporizer, Funnel Fill",255.0,"Jan 15, 2025",1,eBay (Terapeak),isoflurane,vaporizer
Datex Ohmeda Tec 7 Isoflurane Vaporizer..TESTED...,395.0,"Feb 17, 2025",1,eBay (Terapeak),isoflurane,vaporizer
Ohmeda Isotec Tek 3 Veterinary Isoflurane Vaporizer Unused,375.0,"Jan 30, 2025",1,eBay (Terapeak),isoflurane,vaporizer
VetEquip RC2 Rodent Isoflurane Anesthesia System with Vaporizer,2000.0,"Mar 6, 2025",1,eBay (Terapeak),isoflurane,machine
Drager Vapor 2000 Isoflurane Anesthesia (5454),240.0,"Apr 6, 2025",1,eBay (Terapeak),isoflurane,vaporizer
Anesthesia Vaporizer Combo (Isoflurane / Sevoflurane) w/ Lockout and Mount Bar,150.0,"Jul 14, 2025",1,eBay (Terapeak),isoflurane,vaporizer
Datex Ohmeda Isoflurane Tec 5 Vaporizer. EXCELLENT near unused condition.,100.0,"Jul 16, 2025",1,eBay (Terapeak),isoflurane,vaporizer
Drager M35160ARXL-0929 Vapor 2000 Isoflurane Anesthesia Vaporizer,799.99,"Aug 27, 2025",1,eBay (Terapeak),isoflurane,vaporizer
SURGIVET VETERINARY ISOFLURANE ANESTHESIA VAPORIZER,695.0,"Apr 27, 2023",1,eBay (Terapeak),isoflurane,vaporizer
Drager Vapor 19.1 Isoflurane Vaporizer,75.0,"Jun 1, 2023",1,eBay (Terapeak),isoflurane,vaporizer
Drager Vapor 2000- Isoflurane M35054 (Made In 2011),200.0,"Jul 14, 2023",1,eBay (Terapeak),isoflurane,vaporizer
Datex-Ohmeda Aladin 2 TM 1100-9029-000 Isoflurane Cassette Vaporizer,100.0,"May 21, 2024",1,eBay (Terapeak),isoflurane,vaporizer
Datex Ohmeda TEC 7 Isoflurane Anesthesia Vaporizer Nice Condition,340.0,"Oct 5, 2023",1,eBay (Terapeak),isoflurane,vaporizer
"Veterinary Anesthesia Machine Isoflurane Vaporizer, VetEquip (#3)",1250.0,"Nov 28, 2023",1,eBay (Terapeak),isoflurane,machine
(ONE) GE Datex Ohmeda TEC 7 Isoflurane Vaporizer,380.0,"Dec 22, 2023",1,eBay (Terapeak),isoflurane,vaporizer
Ohio Medical Products Airco Ethrane (Enflurane) / Forane (Isoflurane) Vaporizer,375.0,"Jan 30, 2024",1,eBay (Terapeak),isoflurane,vaporizer
Datex Ohmeda Isotec 5 ~ Veterinary Use ONLY ~ Isoflurane Vaporizer - UNTESTED,100.0,"Aug 24, 2024",1,eBay (Terapeak),isoflurane,vaporizer
