title,price_usd,sold_date,qty_sold,source,vaporizer_type,item_category,date_sold,agent_type,period_detailed,period,period_adoption
DRAGER D-VAPOR 3000 DESFLURANE,400.0,"Aug 5, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-08-05,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
DRAGER D-VAPOR 3000 DESFLURANE,484.0,"Aug 17, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-08-17,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex Ohmeda Tec 6 Plus Anes Vaporizer (Desflurane) 1107-9601-000 (B887),210.0,"Aug 20, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-08-20,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
DRAGER D-VAPOR 3000 DESFLURANE,400.0,"Aug 20, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-08-20,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
DRAGER D-VAPOR 3000 DESFLURANE,400.0,"Sep 9, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-09-09,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex Ohmeda Tec 6 Plus Anes Vaporizer (Desflurane) 1107-9601-000 (B886),200.0,"Oct 16, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-10-16,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex Ohmeda TEC 6 Plus Desflurane Vaporizer,50.0,"May 26, 2025",3,eBay (Terapeak),desflurane,vaporizer,2025-05-26,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Datex Ohmeda Aladin 2 Desflurane Cassette 1100-9025-000 Vaporizer,209.0,"Jul 11, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-07-11,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
Ohmeda Tec 6 Desflurane Vaporizer,150.0,"Jun 8, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-06-08,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
GE Aladin 2 Cassette Vaporizer - Desflurane,450.0,"Nov 29, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-11-29,Desflurane,3_Post-agreement,Pre-regulation,Pre-adoption
Baxter drager D-Vapor Desflurane Vaporizer 35500-M16,250.0,"Aug 23, 2023",2,eBay (Terapeak),desflurane,vaporizer,2023-08-23,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
"Drager Medical Anesthesia Desflurane Vaporizer D-Vapor Ref M35500-06, SW 2.03",349.95,"Sep 15, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-09-15,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
Datex Ohmeda D-Tec Plus DESFLURANE Vaporizer,55.0,"Oct 2, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-10-02,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
"Drager Medical Anesthesia Desflurane Vaporizer D-Vapor Ref M35500-27, SW 2.03",130.0,"Nov 4, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-11-04,Desflurane,3_Post-agreement,Pre-regulation,Pre-adoption
"Drager Medical Anesthesia Desflurane Vaporizer D-Vapor Ref M35500-14, SW 2.03",175.0,"Sep 18, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-09-18,Desflurane,2_Post-proposal,Pre-regulation,Pre-adoption
GE Datex Ohmeda Aladin 2 Cassette Vaporizer - Desflurane,245.0,"Oct 9, 2023",1,eBay (Terapeak),desflurane,vaporizer,2023-10-09,Desflurane,3_Post-agreement,Pre-regulation,Pre-adoption
GE Datex Ohmeda Tec 6 Desflurane Vaporizer,84.99,"Jan 17, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-01-17,Desflurane,3_Post-agreement,Pre-regulation,Pre-adoption
Baxter Drager D-Vapor Suprane Desflurane Vaporizer M35500-32 S/W Vers. 3.0,599.99,"May 14, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-05-14,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
Baxter Drager D-Vapor Desflurane Vaporizer M35500-14 S/W Vers. 2.03,289.95,"May 14, 2024",1,eBay (Terapeak),desflurane,vaporizer,2024-05-14,Desflurane,4_Post-adoption,Pre-regulation,Post-adoption
