title,price_usd,sold_date,qty_sold,source,vaporizer_type,item_category
"Drager D-Vapor Desflurane Vaporizer, Software V3.00, REF M35500-41",399.99,"May 9, 2025",1,eBay (Terapeak),desflurane,vaporizer
Drager Baxter M35500-18 D-Vapor Desflurane Vaporizer,300.0,"Dec 15, 2025",1,eBay (Terapeak),desflurane,vaporizer
Draeger Medical D-Vapor Desflurane Vaporizer,85.85,"Dec 21, 2025",1,eBay (Terapeak),desflurane,vaporizer
Draeger Medical D-Vapor Desflurane Vaporizer,86.0,"Jan 19, 2026",1,eBay (Terapeak),desflurane,vaporizer
BOC Ohmeda Tec 6 Desflurane Anesthesia Vaporizer,65.0,"Feb 21, 2026",1,eBay (Terapeak),desflurane,vaporizer
Draeger Medical D-Vapor Desflurane Vaporizer,101.0,"Feb 24, 2026",1,eBay (Terapeak),desflurane,vaporizer
Datex Ohmeda Model Tec 6 Plus Anesthesia Vaporizer (Desflurane) ~ 32957,259.0,"Dec 19, 2023",1,eBay (Terapeak),desflurane,vaporizer
Datex Ohmeda Tec 6 Plus Desflurane Vaporizer - Clean & Fully Functional!,69.99,"Dec 2, 2024",1,eBay (Terapeak),desflurane,vaporizer
Drager Mindray M35500 Anesthesia D-Vapor Desflurane Vaporizer V.3.00 Certified,499.8,"Feb 18, 2025",1,eBay (Terapeak),desflurane,vaporizer
Datex Ohmeda Aladin II Desflurane Cassette Vaporizer,150.0,"Apr 23, 2025",1,eBay (Terapeak),desflurane,vaporizer
Datex Ohmeda Tec 6 Desflurane Vaporizer - Clean & Fully Functional!,40.0,"Apr 8, 2025",1,eBay (Terapeak),desflurane,vaporizer
GE Datex Ohmeda Tec 6 Plus Desflurane Anesthesia Vaporizer 1107-9601-000,200.0,"Sep 17, 2025",1,eBay (Terapeak),desflurane,vaporizer
GE Datex Ohmeda Tec 6 Desflurane Vaporizer,375.0,"Sep 1, 2023",1,eBay (Terapeak),desflurane,vaporizer
"GE Datex Ohmeda Tec 6 Plus Anesthetic Vaporizer, Agent: Desflurane ~ 26761",427.49,"Apr 17, 2023",1,eBay (Terapeak),desflurane,vaporizer
Datex Ohmeda 1107-9601-000 Tec 6 Plus Desflurane Anesthesia Vaporizer Sold AS-IS,200.0,"Jul 17, 2023",1,eBay (Terapeak),desflurane,vaporizer
Draeger Medical D-Vapor DES Desflurane Vaporizer,228.65,"May 30, 2023",1,eBay (Terapeak),desflurane,vaporizer
GE Datex Ohmeda Model Tec 6 Plus Desflurane Anesthesia Vaporizer ~ 26989,300.0,"Feb 2, 2024",1,eBay (Terapeak),desflurane,vaporizer
"Drager Medical Desflurane Vaporizer D-Vapor Ref M35500-05, SW 2.03 ~ 31000",325.0,"Aug 23, 2023",1,eBay (Terapeak),desflurane,vaporizer
Mindray Drager D-Vapor Desflurane,250.0,"Sep 6, 2023",1,eBay (Terapeak),desflurane,vaporizer
Baxter Healthcare Drager Med D-Vapor S-2000 Desflurane Vaporizer M35500-32~32490,594.99,"May 10, 2024",1,eBay (Terapeak),desflurane,vaporizer
Datex Ohmeda Tec 6 Plus Desflurane Anesthesia Vaporizer Ref X1107-9601-000~32955,150.0,"Sep 17, 2025",1,eBay (Terapeak),desflurane,vaporizer
