date,title,price_gbp,condition,brand,model,source,notes
2026-03-27,Datex-Ohmeda Tec 7 Sevoflurane Vaporizer *S*,,Active,Datex-Ohmeda,Tec 7,BMA Sale 1361,Current auction; no price yet
2026-03-27,Penlon Sigma Delta Sevoflurane Vaporizer,100.00,Active,Penlon,Sigma Delta,BMA Sale 1361,Starting price £100; 6 units available
2026-03-27,Penlon Sigma Delta Isoflurane Vaporizer,,Active,Penlon,Sigma Delta,BMA Sale 1361,Current auction; Lot 386
2026-03-27,Penlon Sigma Delta Sevoflurane Vaporizer,100.00,Active,Penlon,Sigma Delta,BMA Sale 1361,Starting price £100; Lots 387-391
2023-11-14,Datex-Ohmeda Tec 6 Plus Desflurane Vaporizer,,Sold,Datex-Ohmeda,Tec 6 Plus,BMA Sale 786,Winning bid not published; Nov 2023
2021-10-21,Baxter Suprane Desflurane Drager D-Vapor Vaporiser,,Sold,Drager/Baxter,D-Vapor,BMA Sale 433,Winning bid N/A; Mfd 2007
2024-05-02,Datex-Ohmeda Tec 6 Plus Desflurane Vaporizer,,Sold,Datex-Ohmeda,Tec 6 Plus,BMA Sale 887,Winning bid not published
2016-08-05,4x Vaporizers inc Drager D-Vapor Desflurane,,Sold,Mixed,Mixed,BMA via BidSpotter,Hammer price not published; lot of 4
