country,iso3,alpha,mu_d0.80,mu_d0.90,mu_d1.00,mu_d1.10,mu_d1.20,mu0_d0.80,mu1_d0.80,mu0_d0.90,mu1_d0.90,mu0_d1.00,mu1_d1.00,mu0_d1.10,mu1_d1.10,mu0_d1.20,mu1_d1.20
Australia,AUS,0.36110738345554894,2.25625,2.25625,2.25625,2.25625,2.25625,2.25,0.020000000000000004,2.25,0.020000000000000004,2.25,0.020000000000000004,2.25,0.020000000000000004,2.25,0.020000000000000004
Austria,AUT,0.38423703823770794,0.01,0.01,0.01,0.01,0.01,0.05,0.039999999999999994,0.05,0.039999999999999994,0.05,0.039999999999999994,0.05,0.039999999999999994,0.05,0.039999999999999994
Belgium,BEL,0.36879603437014985,0.25958333333333333,0.25958333333333333,0.25958333333333333,0.25958333333333333,0.25958333333333333,0.05,0.039999999999999994,0.05,0.039999999999999994,0.05,0.039999999999999994,0.05,0.039999999999999994,0.05,0.039999999999999994
Canada,CAN,0.292327287367412,0.25958333333333333,0.25958333333333333,0.25958333333333333,0.25958333333333333,0.25958333333333333,0.05,0.08,0.05,0.08,0.05,0.08,0.05,0.08,0.05,0.08
Chile,CHL,0.5306073116219562,0.5091666666666667,0.5091666666666667,0.5091666666666667,0.5091666666666667,0.5091666666666667,0.05,0.12,0.05,0.12,0.05,0.12,0.05,0.12,0.05,0.12
China,CHN,0.4143631107666913,6.0,6.0,6.0,6.0,6.0,5.0,-0.08,5.0,-0.08,5.0,-0.08,5.0,-0.08,5.0,-0.08
Colombia,COL,0.5218912414142063,0.5091666666666667,0.5091666666666667,0.5091666666666667,0.5091666666666667,0.25958333333333333,0.6000000000000001,0.0,0.6000000000000001,0.0,0.6000000000000001,0.0,0.6000000000000001,0.0,0.6000000000000001,0.0
Costa Rica,CRI,0.42373903564044413,0.01,0.01,0.01,0.01,0.01,0.05,-0.020000000000000004,0.05,-0.020000000000000004,0.05,-0.020000000000000004,0.05,-0.020000000000000004,0.05,-0.020000000000000004
Czech Republic,CZE,0.4774419764677683,6.0,6.0,6.0,6.0,6.0,5.0,0.12,5.0,0.12,5.0,0.12,5.0,0.12,5.0,0.09999999999999999
Denmark,DNK,0.3603947068963732,0.5091666666666667,0.5091666666666667,0.5091666666666667,0.5091666666666667,0.5091666666666667,0.05,0.08,0.05,0.08,0.05,0.08,0.05,0.08,0.05,0.08
Estonia,EST,0.40406034787495926,6.0,6.0,6.0,6.0,6.0,5.0,0.12,5.0,0.12,5.0,0.12,5.0,0.12,5.0,0.12
Finland,FIN,0.3541393646172115,0.01,0.01,0.01,0.01,0.01,0.05,0.12,0.05,0.12,0.05,0.12,0.05,0.12,0.05,0.12
France,FRA,0.3527827262878418,0.01,0.01,0.01,0.01,0.01,0.05,-0.08,0.05,-0.08,0.05,-0.08,0.05,0.039999999999999994,0.05,0.039999999999999994
Germany,DEU,0.3451319396495819,0.01,0.01,0.01,0.01,0.01,0.05,-0.08,0.05,-0.08,0.05,-0.08,0.05,-0.08,0.05,-0.08
Greece,GRC,0.49804137582364294,0.01,0.01,0.01,0.01,0.01,1.1500000000000001,-0.08,1.1500000000000001,-0.08,1.1500000000000001,-0.08,1.1500000000000001,-0.08,0.6000000000000001,-0.08
Hungary,HUN,0.37793298602104186,0.01,0.01,0.01,0.01,0.01,0.05,-0.08,0.05,-0.08,0.05,-0.08,0.05,-0.08,0.05,-0.08
Iceland,ISL,0.37374101536614557,0.5091666666666667,0.5091666666666667,0.5091666666666667,0.5091666666666667,0.5091666666666667,1.1500000000000001,-0.020000000000000004,1.1500000000000001,-0.020000000000000004,1.1500000000000001,-0.020000000000000004,1.1500000000000001,-0.020000000000000004,1.1500000000000001,-0.020000000000000004
Ireland,IRL,0.4793138384819031,6.0,6.0,6.0,6.0,6.0,5.0,0.12,5.0,0.12,5.0,0.12,5.0,0.12,5.0,0.12
Israel,ISR,0.42368098752839223,0.01,0.01,0.01,0.01,0.01,0.05,0.12,0.05,0.12,0.05,0.12,0.05,0.12,0.05,0.12
Italy,ITA,0.43799737649304527,0.01,0.01,0.01,0.01,0.01,0.05,-0.08,0.05,-0.08,0.05,-0.08,0.05,-0.08,0.05,0.020000000000000004
Japan,JPN,0.40173733830451963,0.01,0.01,0.01,0.01,0.01,0.05,-0.08,0.05,-0.08,0.05,-0.08,0.05,-0.08,0.05,-0.08
Republic of Korea,KOR,0.42195217244660677,1.0083333333333333,1.0083333333333333,1.0083333333333333,1.0083333333333333,1.0083333333333333,0.05,0.06000000000000001,0.05,0.06000000000000001,0.05,0.08,0.05,0.08,0.05,0.08
Latvia,LVA,0.47641586860020957,6.0,6.0,6.0,6.0,6.0,5.0,0.12,5.0,0.12,5.0,0.12,5.0,0.12,5.0,0.12
Lithuania,LTU,0.4895071436961492,6.0,6.0,6.0,6.0,6.0,5.0,0.12,5.0,0.12,5.0,0.12,5.0,0.12,5.0,0.12
Luxembourg,LUX,0.4496406487056187,3.75375,3.504166666666667,3.254583333333333,3.254583333333333,3.005,3.9000000000000004,-0.020000000000000004,3.35,0.0,3.35,0.0,3.35,0.0,2.8,0.020000000000000004
Mexico,MEX,0.5900232276746205,0.01,0.01,0.01,0.01,0.01,0.05,-0.08,0.05,-0.08,0.05,0.039999999999999994,0.05,0.039999999999999994,0.05,0.039999999999999994
Netherlands,NLD,0.32550668290683205,0.01,0.01,0.01,0.01,0.01,0.6000000000000001,-0.08,0.6000000000000001,-0.08,0.05,0.039999999999999994,0.05,0.039999999999999994,0.05,0.06000000000000001
New Zealand,NZL,0.4091075267110552,6.0,6.0,6.0,6.0,6.0,5.0,0.12,5.0,0.12,5.0,0.12,5.0,0.12,5.0,0.12
Norway,NOR,0.4438353674752372,0.5091666666666667,0.5091666666666667,0.5091666666666667,0.5091666666666667,0.5091666666666667,0.05,0.08,0.05,0.08,0.05,0.08,0.05,0.08,0.05,0.08
Poland,POL,0.3924822247028351,0.01,0.01,0.01,0.01,0.01,0.05,-0.08,0.05,-0.08,0.05,-0.08,0.05,-0.08,0.05,-0.08
Portugal,PRT,0.36397330250058857,0.01,0.01,0.01,0.01,0.01,0.05,-0.08,0.05,-0.08,0.05,-0.08,0.05,-0.08,0.05,-0.08
Slovakia,SVK,0.4580281525850296,5.750416666666667,5.25125,5.001666666666667,4.752083333333333,4.5025,5.0,0.020000000000000004,5.0,0.020000000000000004,5.0,0.039999999999999994,4.45,0.039999999999999994,4.45,0.039999999999999994
Slovenia,SVN,0.33522077997525535,0.75875,0.75875,0.75875,0.5091666666666667,0.5091666666666667,1.1500000000000001,-0.08,1.1500000000000001,-0.08,1.1500000000000001,-0.08,1.1500000000000001,-0.08,1.1500000000000001,-0.08
Spain,ESP,0.3817879319190979,0.01,0.01,0.01,0.01,0.01,0.05,-0.08,0.05,-0.08,0.05,-0.08,0.05,-0.08,0.05,-0.08
Sweden,SWE,0.421358380147389,1.5075,1.5075,1.5075,1.2579166666666668,1.2579166666666668,0.05,0.12,0.05,0.12,0.05,0.12,0.05,0.12,0.05,0.12
Switzerland,CHE,0.3180431919438499,0.01,0.01,0.01,0.01,0.01,0.05,0.12,0.05,0.12,0.05,0.12,0.05,0.12,0.05,0.12
Turkey,TUR,0.6,0.01,0.01,0.01,0.01,0.01,0.05,0.12,0.05,0.12,0.05,0.12,0.05,0.12,0.05,0.12
United Kingdom,GBR,0.4350660077163151,2.5058333333333334,2.25625,2.006666666666667,1.7570833333333336,1.7570833333333336,0.05,0.12,0.05,0.12,0.05,0.12,0.05,0.12,0.05,0.12
United States,USA,0.38081351263182506,0.01,0.01,0.01,0.01,0.01,0.05,0.08,0.05,0.08,0.05,0.08,0.05,0.08,0.05,0.06000000000000001
