country,iso3,rmse_g-0.04,logratio_g-0.04,rmse_g-0.02,logratio_g-0.02,rmse_g+0.00,logratio_g+0.00,rmse_g+0.02,logratio_g+0.02,rmse_g+0.04,logratio_g+0.04
Australia,AUS,0.21905729383621908,-14.189986084684994,0.07538333061690207,-14.129986084684994,0.07056341181481252,-14.069986084684995,0.214186235876623,-14.009986084684995,0.35829079278017445,-13.949986084684994
Austria,AUT,0.28892324063628766,-13.618792020141427,0.14480885981681216,-13.558792020141427,0.007910296019487388,-13.483192685615691,0.14406783015228192,-13.438792020141427,0.28818137793142995,-13.378792020141427
Belgium,BEL,0.29235633858437005,-13.568311417827989,0.14832777337327202,-13.50831141782799,0.011402981947122774,-13.431097090683085,0.1409217074857527,-13.388311417827989,0.28493477724580024,-13.328311417827988
Canada,CAN,0.22387970712820074,-13.730246232315022,0.07981691582156744,-13.670246232315023,0.06495657656254283,-13.610246232315022,0.20896883410256104,-13.550246232315022,0.35315236147255474,-13.490246232315023
Chile,CHL,0.22756348624086972,-12.693327407472816,0.08931331837819048,-12.643920192910258,0.07595128313168478,-12.604242234372386,0.212509590322354,-12.513327407472817,0.35517890498817634,-12.453327407472816
China,CHN,0.05318019445655462,-12.314915141734092,0.18238437685521852,-12.306062962810001,0.3244995974717006,-12.246062962810003,0.4679058843375719,-12.186062962810002,0.6116958757717396,-12.126062962810002
Colombia,COL,0.21964337446089546,-12.494301339795994,0.08341810495373385,-12.43247375969347,0.08528744645946022,-12.374301339795993,0.22178664705765813,-12.314301339795993,0.3642865425768311,-12.254301339795994
Costa Rica,CRI,0.2798961759756823,-13.16916821450323,0.13611604322861814,-13.109168214503232,0.01769986222037719,-13.044995970749058,0.1539447726329984,-12.98916821450323,0.2977997664865282,-12.92916821450323
Czech Republic,CZE,0.27811333220713275,-12.98352535531668,0.13465129969030357,-12.923525355316679,0.02269183697325366,-12.833215492136418,0.15652113730149536,-12.80352535531668,0.3001379905628182,-12.74352535531668
Denmark,DNK,0.27966866630352283,-13.940403229120331,0.1356506490740191,-13.880403229120331,0.013697966141516582,-13.797193701286524,0.1535388223174376,-13.760403229120332,0.29759150801196793,-13.700403229120331
Estonia,EST,0.23658733935092502,-12.97459654789279,0.09423992314144905,-12.914596547892792,0.05821303192810584,-12.822253951336123,0.19873688902370187,-12.778450758927287,0.3423506171038336,-12.73459654789279
Finland,FIN,0.2342243585060511,-13.883400531452802,0.09071956309530223,-13.823400531452801,0.05655995172234477,-13.7634005314528,0.19941919955075912,-13.703400531452802,0.3434195774269386,-13.643400531452802
France,FRA,0.26386693213245493,-13.679356536996263,0.12064693309127011,-13.619356536996262,0.032948551647458996,-13.543084242371854,0.17092551490927615,-13.499356536996263,0.3145559667822839,-13.439356536996263
Germany,DEU,0.2735429677561744,-13.774446225551658,0.1294205264867418,-13.714446225551658,0.016540560551422,-13.654446225551657,0.15936595499229161,-13.594446225551657,0.30351511507312995,-13.534446225551658
Greece,GRC,0.2521081825211321,-12.539968884378114,0.11090784528161036,-12.479968884378113,0.05140588094674345,-12.384293682234576,0.18596929597869627,-12.359968884378114,0.3288260839679737,-12.299968884378114
Hungary,HUN,0.2561712914916413,-12.630187720998023,0.1140206177835453,-12.570187720998025,0.0444710239930148,-12.496642724727922,0.18042905162482384,-12.450187720998024,0.3236226403783879,-12.390187720998025
