country,iso3,M0_oos_mape,M1_oos_mape,M2_oos_mape,M3_oos_mape,M4_oos_mape
Australia,AUS,4.409623049097564,3.911396769940327,3.835473383291146,3.7634203997187683,1.2990330135825627
Austria,AUT,0.42420775144352985,0.42444040511570424,0.33974842533396504,0.42420775144352985,0.4233106800755168
Belgium,BEL,1.8826318456652593,1.8981876454282187,1.450294001866206,4.83792530970332,5.132036786399998
Canada,CAN,1.2410200704505432,1.2035710236868395,1.1404322733109007,2.392738871736671,2.2486910567379588
Chile,CHL,0.6072691590675053,0.7328797093622701,1.4217388697771691,0.6072691590675053,2.060769597768041
China,CHN,5.303161524420618,3.977501501771582,4.491475363314739,6.239761699232269,17.13630936077901
Colombia,COL,7.958202896879342,7.757732998933226,7.917587147633958,5.508262800237496,5.503616533587441
Costa Rica,CRI,4.604704417932623,4.594535780205381,4.594475947049151,4.604704417932623,4.594535780205381
Czech Republic,CZE,10.411998482705142,9.331382581624794,9.364417400922912,10.411998482705142,10.16961564040401
Denmark,DNK,4.047278966206182,4.0580237422905325,3.9855050190188646,4.047278966206182,4.029562750508873
Estonia,EST,5.551763317363564,3.5746722511587192,3.5489985342394075,5.551763317363564,5.543510650939948
Finland,FIN,2.5847825540693044,2.5876803079262776,2.9879210688671645,2.5847825540693044,2.5876803079262776
France,FRA,1.2654892997025315,1.2668874901551237,1.2206318962088747,1.876757808510594,1.8781468101875243
Germany,DEU,5.195915570901348,5.19699629611605,5.19699629611605,5.039830168005645,5.579227628457856
Greece,GRC,11.211557484501771,11.220652560232407,11.23522335430924,17.601765394778393,18.16528200510252
Hungary,HUN,2.468695650453081,2.469903392772826,2.469903392772826,3.6380208165563603,4.16170743100754
Iceland,ISL,9.502777979059848,9.247761948637482,9.392313844844082,13.192435294438475,13.19144605788145
Ireland,IRL,20.498624654050516,21.591839097505485,21.622361840684253,20.498624654050516,20.514680677847394
Israel,ISR,1.040044453542888,1.0424528370256207,1.686289929834916,1.040044453542888,1.3691186398518453
Italy,ITA,5.415724286202153,5.419372754943497,5.419372754943497,8.228145451939572,8.325329412592502
Japan,JPN,3.498791891953294,3.4980066118188033,3.4980066118188033,3.498791891953294,3.4980066118188033
Republic of Korea,KOR,6.576474885510626,5.8052329908243365,5.264678790889328,6.576474885510626,4.607110382084601
Latvia,LVA,13.909341479547981,12.68929766426564,12.7361936216667,13.909341479547981,13.904161451161762
Lithuania,LTU,8.838108719182081,7.644116058389605,7.840441275398799,8.838108719182081,8.832825311173222
Luxembourg,LUX,6.569798381064916,7.630471834510631,7.564082606086334,0.5454956905385461,0.6547038752352946
Mexico,MEX,3.8526165527463485,3.8546199131271663,3.641186112421334,3.8526165527463485,2.168511038537293
Netherlands,NLD,0.9397069570476247,0.9388879050680119,0.9464597647924868,4.066264264076002,3.8554951394808095
New Zealand,NZL,6.759219596059843,6.551661668216463,6.553751570916033,6.133588603492457,5.887375226267477
Norway,NOR,3.76630114978906,3.558664932622653,2.283188823711462,5.99334247616705,6.750809744517946
Poland,POL,12.48014258339702,12.479457893582168,12.479457893582168,12.48014258339702,12.479457893582168
Portugal,PRT,2.016518524280465,2.020954246640359,2.020954246640359,1.6693075981422951,1.6692491696542058
Slovakia,SVK,7.533454626261632,7.41286278570313,7.591281891681105,7.533454626261632,7.533619934174815
Slovenia,SVN,5.067023607877541,4.79416791859027,4.928603124974469,5.067023607877541,5.064084450807718
Spain,ESP,0.6698853927584602,0.6767087730079063,0.6767087730079063,1.8003658144521273,1.5295072793390285
Sweden,SWE,4.121434253257507,4.408480823153347,5.343043763775847,4.121434253257507,4.359035364505573
Switzerland,CHE,5.554306539941263,5.555376389750803,6.384844954522426,5.554306539941263,6.102194680119566
Turkey,TUR,1.8418155524288382,1.842917560395468,3.1786894081075636,1.6600113387492268,4.352120487298615
United Kingdom,GBR,1.844026123966912,1.669435516113634,1.3218439592401132,1.844026123966912,1.669435516113634
United States,USA,4.722067800274353,4.720031287592326,3.8299219731112744,4.722067800274353,4.606208776338525
