country,iso3,M0_rho1,M0_rho2,M0_R2,M0_n,M1_rho1,M1_rho2,M1_R2,M1_n,M2_rho1,M2_rho2,M2_R2,M2_n,M4_rho1,M4_rho2,M4_R2,M4_n
Australia,AUS,-6.369212039577103,0.7392669141816343,0.9957418120349377,25,-6.581715426513253,0.7443065139044739,0.9983520166918743,25,-6.278630801660021,0.7334109942299127,0.9986021839183956,25,-6.675419326369836,0.7475463548061838,0.9985217926380952,25
Austria,AUT,-12.550167767822938,0.9674174540714373,0.9962468204615439,25,-12.558429097488055,0.9677045438589449,0.9962640777281663,25,-13.278285936307482,0.9920872826491116,0.9980467368007216,25,-13.522031331424149,1.0013368180823001,0.9975975254348254,25
Belgium,BEL,-14.460040624168991,1.0403780862709557,0.9921769545190269,25,-14.36770338207918,1.036819268116247,0.9921428507433988,25,-12.674208987786967,0.9747314352813361,0.9930096996922556,25,-14.02769621874536,1.021355716027235,0.9958634146501337,25
Canada,CAN,-6.621680670774971,0.7609835605630838,0.9997264291350306,25,-6.649436690873074,0.7616873203707687,0.9996592280107385,25,-5.5940875206986975,0.7231869358759104,0.9982657651556027,25,-6.668303333558009,0.7621505167252605,0.9995942930114493,25
Chile,CHL,-7.152156472239601,0.7985419736919418,0.9888380471570517,25,-7.511611932844234,0.8111883031131255,0.9884040485902534,25,-8.2917495070494,0.8340414336493804,0.9917451361829297,25,-9.171426518591623,0.8671967672323101,0.9913720647581681,25
China,CHN,-2.6897980413508336,0.6754864527218072,0.9960543635863819,25,-2.2435878516342593,0.6497201518954265,0.9940596297889467,25,-3.797203059036509,0.7104652417843785,0.9960752475706343,25,-2.7320212318253523,0.677121881151702,0.9960680924421648,25
Colombia,COL,-4.898091982018143,0.7178123781586009,0.9810962093134347,25,-5.033067492683907,0.7222781597944113,0.9789849251760084,25,-5.055150851121817,0.722999245581049,0.9784880679005136,25,-5.098567779352893,0.7244508423211389,0.9776220253067719,25
Costa Rica,CRI,-12.524830799032214,0.9789478873831603,0.9987056488581874,25,-12.529398283046838,0.979111688249812,0.9987045097027386,25,-12.529587112769734,0.9791191966614561,0.9987045729132865,25,-12.529725005257363,0.9791343620659189,0.9987042910358648,25
Czech Republic,CZE,-8.370140234676441,0.8361029158402081,0.93156809478409,25,-5.4012779642489965,0.721730676694779,0.7687640271805193,25,-4.234944510772684,0.6786090607059818,0.7538564060396868,25,-8.315589511297222,0.8331840752956503,0.9156274617417663,25
Denmark,DNK,-11.395728010837912,0.9143381019948487,0.9968681752419918,25,-11.540447732976817,0.919148277766957,0.9961577004982,25,-10.577629532622682,0.88285659133126,0.9910858699680458,25,-11.76783682896391,0.9267626843828366,0.9948160778432065,25
