country,iso3,mu_central,beta_central,mu_lo,mu_hi,beta_lo,beta_hi,n_boot_valid
Australia,AUS,2.5058333333333334,0.3,0.01,6.0,0.10850000000000001,0.34,100
Austria,AUT,1.0083333333333333,0.0,0.01,1.7570833333333336,0.0,0.06099999999999966,100
Belgium,BEL,6.0,0.2,6.0,6.0,0.0,0.2904999999999998,100
Canada,CAN,0.5091666666666667,0.06,0.01,6.0,0.0,0.28099999999999964,100
Chile,CHL,6.0,0.0,0.01,6.0,0.0,0.23049999999999982,100
China,CHN,0.01,0.34,0.01,0.01,0.28,0.34,100
Colombia,COL,0.75875,0.08,0.25958333333333333,6.0,0.0,0.21049999999999983,100
Costa Rica,CRI,0.01,0.02,0.01,2.898927083333327,0.0,0.12,100
Czech Republic,CZE,0.75875,0.0,0.01,5.525791666666659,0.0,0.34,100
Denmark,DNK,1.2579166666666668,0.0,0.01,6.0,0.0,0.13049999999999984,100
Estonia,EST,0.01,0.0,0.01,5.881447916666665,0.0,0.34,100
Finland,FIN,0.01,0.0,0.01,6.0,0.0,0.34,100
France,FRA,0.01,0.34,0.01,6.0,0.26,0.34,100
Germany,DEU,5.25125,0.08,0.8773020833333334,6.0,0.0,0.34,100
Greece,GRC,0.25958333333333333,0.32,0.01,6.0,0.0,0.34,100
Hungary,HUN,0.01,0.28,0.01,0.25958333333333333,0.06,0.34,100
Iceland,ISL,0.01,0.14,0.01,0.01,0.0,0.24,100
Ireland,IRL,0.01,0.0,0.01,0.01,0.0,0.16,100
Israel,ISR,6.0,0.0,0.01,6.0,0.0,0.14,100
Italy,ITA,0.01,0.34,0.01,6.0,0.0,0.34,100
Japan,JPN,0.01,0.0,0.01,0.01,0.0,0.0,100
Republic of Korea,KOR,4.752083333333333,0.0,0.01,6.0,0.0,0.10099999999999966,100
Latvia,LVA,0.01,0.0,0.01,6.0,0.0,0.32,100
Lithuania,LTU,0.01,0.0,0.01,6.0,0.0,0.34,100
Luxembourg,LUX,3.504166666666667,0.16,0.01,6.0,0.0,0.3209999999999997,100
Mexico,MEX,4.003333333333334,0.08,0.01,6.0,0.0,0.21049999999999983,100
Netherlands,NLD,6.0,0.34,3.2046666666666668,6.0,0.08,0.34,100
New Zealand,NZL,1.0083333333333333,0.26,0.01,6.0,0.0,0.34,100
Norway,NOR,0.01,0.34,0.01,0.01,0.11900000000000001,0.34,100
Poland,POL,0.01,0.0,0.01,6.0,0.0,0.27049999999999985,100
Portugal,PRT,0.01,0.04,0.01,0.01,0.0,0.11049999999999983,100
Slovakia,SVK,0.01,0.0,0.01,2.518312499999996,0.0,0.18,100
Slovenia,SVN,0.25958333333333333,0.0,0.01,2.006666666666667,0.0,0.23049999999999982,100
Spain,ESP,0.01,0.08,0.01,0.01,0.0,0.19049999999999984,100
Sweden,SWE,1.2579166666666668,0.0,0.01,2.7678958333333292,0.0,0.19049999999999984,100
Switzerland,CHE,0.01,0.1,0.01,6.0,0.099,0.34,100
Turkey,TUR,0.01,0.08,0.01,0.01,0.0,0.2904999999999998,100
United Kingdom,GBR,1.7570833333333336,0.0,1.5075,6.0,0.0,0.14,100
United States,USA,3.504166666666667,0.0,0.01,6.0,0.0,0.15049999999999983,100
