Model,rho2 median,rho2 IQR,rho1 median,R2 median,N(rho2 in 0.9-1.1),N total
M0,0.801,"[0.701, 0.911]",-7.51,0.991,9,39
M1,0.799,"[0.651, 0.911]",-7.25,0.988,10,39
M2,0.799,"[0.663, 0.924]",-7.19,0.986,10,39
M4,0.833,"[0.715, 0.930]",-8.32,0.991,12,39
