pref_code,pref_name,region,is_tohoku,population_thousands,surgery_count,analgesic_quantity_inpatient,analgesic_per_surgery,pregabalin_outpatient,mirogabalin_outpatient,duloxetine_outpatient,tramadol_outpatient,neurotropin_outpatient,neuropathic_total_outpatient,diabetes_drugs_outpatient,herpes_antivirals_outpatient,antidepressants_outpatient,anxiolytics_outpatient,neuropathic_per_surgery,diabetes_per_surgery,herpes_per_surgery,antidep_per_surgery,anxiolytic_per_surgery,neuropathic_per_capita,diabetes_per_capita,herpes_per_capita,antidep_per_capita,anxiolytic_per_capita
1,北海道,北海道,0,5140.0,411776.0,18992257.706999995,46.12278934906356,52402042.5,25127067.25,17490174.5,7018846.0,30439898.0,132478028.25,27558009.0,2644561.6700000004,54203789.239099994,130984559.36099999,321.7235299046083,66.92475763521915,6.422330757499224,131.63416332933437,318.0966335119094,25773.935457198444,5361.480350194553,514.5061614785993,10545.484287762645,25483.377307587547
2,青森県,東北,1,1204.0,72664.0,3123605.866,42.98697932951668,13951505.5,6906897.5,4473272.5,1829386.5,10618498.0,37779560.0,4210875.0,520042.53799999994,9624971.4,24061537.288500004,519.921281514918,57.94994770450292,7.156811323351315,132.4585957282836,331.13422449218325,31378.372093023256,3497.404485049834,431.9290182724252,7994.162292358805,19984.66552200997
3,岩手県,東北,1,1181.0,59572.0,2435978.13,40.89132696568858,13089596.0,6826089.2678,5335506.2,1512179.5,6922780.0,33686150.9678,4374808.5,437156.5249999999,9671894.78,23081926.09,565.4695321258309,73.43732793930035,7.338288541596722,162.35638857181226,387.46266853555363,28523.41318187976,3704.3255715495343,370.1579381879762,8189.58067739204,19544.391270110074
4,宮城県,東北,1,2280.0,143501.0,5323830.2959900005,37.09960415599892,17334401.0,8636929.018199999,6607470.850000001,2980422.5,12004735.0,47563958.368200004,11652779.5,1249953.5624999998,20297362.684800003,45433968.132,331.4538460930586,81.20347244966933,8.710417087685798,141.444050458185,316.6108119943415,20861.38524921053,5110.868201754386,548.2252467105262,8902.352054736843,19927.17900526316
5,秋田県,東北,1,929.0,58679.0,2611773.402,44.50950769440515,10798379.5,5310911.25,4094668.0,1127720.0,5622365.0,26954043.75,6670035.5,410281.60000000003,8795821.216000002,24866857.086,459.3473602140459,113.66989042076382,6.991966461596142,149.89725823548463,423.77779249816797,29014.040635091496,7179.801399354144,441.637890204521,9468.052977395051,26767.338090419806
6,山形県,東北,1,1040.0,62433.0,2444619.9790000003,39.1558947832076,10369225.098,3956693.9687000006,3436232.5,969016.0,3214377.0,21945544.5667,5678606.5,472339.875,9659939.752,19846856.501000002,351.5055269921356,90.95520798295773,7.56554826774302,154.7249011260071,317.89048261336154,21101.485160288463,5460.198557692308,454.1729567307692,9288.403607692308,19083.515866346155
7,福島県,東北,1,1790.0,109901.0,3866644.7930000005,35.1829809828846,19336280.5,7868446.9636,5191900.5,1859175.5,6341799.0,40597602.4636,8919903.5,767440.852,16423143.614999998,36962327.7306,369.401574722705,81.16307858891184,6.9830197359441675,149.4357978089371,336.3238526546619,22680.224840000003,4983.186312849162,428.7379061452514,9174.940567039106,20649.345100893854
8,茨城県,関東,0,2840.0,152714.0,5399939.4795,35.35981952866142,24062806.3108,13845322.5,8938898.25,3321688.0,14720735.0,64889450.0608,17324858.5,1390708.5675,23780358.011350002,45092587.96500001,424.90832576450094,113.44643254711421,9.106621315007137,155.71825773242796,295.27474864779924,22848.397908732393,6100.302288732394,489.68611531690135,8373.365496954226,15877.671818661976
9,栃木県,関東,0,1908.0,116918.0,3548631.631,30.35145684154707,13467541.5,6394810.4,5152428.5,1551180.0,4870973.0,31436933.4,9559211.0,785653.585,16644322.098,28222226.827000003,268.8801844027438,81.75995997194615,6.719697437520313,142.3589361603859,241.38478957046823,16476.380188679246,5010.068658280922,411.7681263102725,8723.439254716981,14791.523494234803
10,群馬県,関東,0,1912.0,111729.0,3725286.3200000003,33.342161122000554,13327388.0,6711051.5,4751324.5,1162372.0,6991926.0,32944062.0,6276393.5,738527.7375000002,14834475.476999998,31571066.069999997,294.85685900706176,56.17515148260523,6.609991474908038,132.77193456488465,282.56823268802185,17230.157949790795,3282.6325836820083,386.25927693514654,7758.61688127615,16512.063844142256
