pref_code,pref_name,region,is_tohoku,analgesic_observed,analgesic_expected,analgesic_scr,neuropathic_observed,neuropathic_expected,neuropathic_scr,diabetes_observed,diabetes_expected,diabetes_scr
1,北海道,北海道,0,16400148.513000002,11087124.043038147,147.92067310997592,132478028.25,102012544.28844632,129.8644487048679,296080174.25,249770071.94828546,118.54109339060565
2,青森県,東北,1,2700419.366,2698841.8063561013,100.05845320908338,37779560.0,24848517.00297576,152.03949594044454,74480429.25,61180741.908663236,121.73835577409615
3,岩手県,東北,1,2196640.562,2655491.6002040156,82.72067446311021,33686150.9678,24175345.710853755,139.34092761567533,69374214.55,59550520.69614449,116.49640295167313
4,宮城県,東北,1,4827739.1199900005,4493096.61060776,107.44792597141539,47563958.3682,41228799.6799415,115.36585769519907,125653242.25,102620276.26098844,122.44484894041123
5,秋田県,東北,1,2373727.002,2254909.248202871,105.26929205207813,26954043.75,20475027.21511187,131.64350633979234,57641323.0,49987166.0130837,115.312244316697
6,山形県,東北,1,2231546.739,2352899.512404996,94.84241580376901,21945544.5667,21278817.78394161,103.1332886513157,53729096.75,52602048.42356941,102.14259398674974
7,福島県,東北,1,3508447.2930000005,3827762.7610470704,91.65790860142748,40597602.463599995,35004061.6376933,115.97969082503106,99802459.61050001,88028037.19101372,113.37576389887774
8,茨城県,関東,0,4887386.6405,5726922.998592617,85.34053350640593,64889450.0608,52990407.709192626,122.45508737526313,149714771.62,133910098.76806745,111.80245029861884
9,栃木県,関東,0,3237139.4883000003,3804255.86045039,85.09258070556673,31436933.4,35255242.06982182,89.16952927947625,95631800.6,89256585.98690255,107.14257053707269
10,群馬県,関東,0,3374178.72,3916302.3049049983,86.15725899846873,32944062.0,36113590.89033357,91.22344576600399,84475403.25,90372756.23815545,93.47441282789427
11,埼玉県,関東,0,9907016.502,13980235.114452155,70.86444842231988,119898375.8732,130197249.2720392,92.08979186855143,323512601.8899999,326146637.99942297,99.19237674023556
12,千葉県,関東,0,10696114.042790003,12128259.586720474,88.19166481645428,105963501.8214,112571517.42627779,94.12994000973175,302492791.81,281167274.63708335,107.58463701027887
13,東京都,関東,0,26742540.867020003,24680900.06217425,108.3531832293483,239967190.44520003,227633230.7220358,105.41834761297453,553364214.4000001,554843627.5554161,99.73336394581403
14,神奈川県,関東,0,16473385.092999997,17309338.77436634,95.17050482249316,172061467.9418,160767388.67102104,107.02510587759193,396007705.2,398678302.0577716,99.3301373954922
15,新潟県,北陸・甲信越,0,4072975.178,4711009.344245548,86.45652938419872,44566846.024799995,42930592.2526877,103.81139342891281,103772408.85399999,106444412.6597992,97.48976602995683
16,富山県,北陸・甲信越,0,2172574.12,2193322.8681140034,99.0540039309468,19262732.8852,20106193.15242616,95.80497282189701,44132193.675,49411575.111863144,89.31549657158038
17,石川県,北陸・甲信越,0,2692282.615,2275858.2086302782,118.29746707376583,20950413.739,20896941.669982143,100.25588466418829,50671550.15,51439962.07825351,98.50619654990305
18,福井県,北陸・甲信越,0,1492734.3800000001,1563800.3151414054,95.45556203990282,13595226.75,14288550.986852324,95.1476938599982,29248110.0,35359908.33383193,82.71545764165845
19,山梨県,北陸・甲信越,0,1420831.3499999999,1688935.5418411607,84.12584819259045,14431617.8,15491749.741167936,93.15679662478196,45387112.0,38528781.02108591,117.8005397449784
20,長野県,北陸・甲信越,0,3758030.8460000004,4384676.614112776,85.70827855135732,38179434.3671,39914141.5175384,95.65390339242005,95499872.725,98396766.1614853,97.05590584986194
21,岐阜県,東海,0,2552359.836,4013550.008789026,63.59357253331201,35214523.5742,36951782.84080809,95.29857794929035,88944725.25,91621368.4785215,97.07858191492853
22,静岡県,東海,0,5954745.64,7383648.242140878,80.64774275153485,60144100.75,68047428.83952004,88.38555956587444,166252577.7,169701353.1969487,97.96773836390909
23,愛知県,東海,0,11594192.758,13737411.332145307,84.39867219284456,107144117.15,127342373.77970777,84.13862092389675,317799597.538,316614582.4579538,100.3742768481624
24,三重県,東海,0,2407372.8159999996,3573542.28508829,67.36656862983004,28545251.5,32893523.446257506,86.7807656623899,73595277.0,81419942.09143522,90.38974372808069
25,滋賀県,近畿,0,2319240.869999999,2627293.6161432504,88.27490219401291,21663888.9,24241044.29755189,89.36862881846984,60619507.919999994,60463399.15286071,100.25818721627711
26,京都府,近畿,0,5208225.31,5163059.188447564,100.87479379770612,41907111.5332,47346506.30505344,88.51151817452501,99115577.25,115307897.89392772,85.9573186748898
27,大阪府,近畿,0,16738386.537880003,17098163.700379223,97.89581402539011,148445968.9264,158035714.42193678,93.93191246003212,355083431.28,385048524.4046173,92.21783977202588
28,兵庫県,近畿,0,10628078.033,10962480.395556983,96.94957390580589,91288532.60569999,101192160.80054796,90.2130480103412,239161249.375,248282306.14132395,96.3263363756851
29,奈良県,近畿,0,2206922.825,2782735.2969113193,79.30768073591338,20179373.0,25658646.80586208,78.64550750739411,52478588.5,63099692.11203245,83.16774098806242
30,和歌山県,近畿,0,1655698.3919999998,2001812.8898738236,82.70994758677772,14858934.0,18361614.15254696,80.92389850125949,35363428.35,44915997.012358986,78.73236864867873
31,鳥取県,中国,0,1139912.12,1169675.6112096612,97.45540636015483,10430043.65,10601299.512117444,98.38457670286842,22566534.0,25981538.006376572,86.856035983942
32,島根県,中国,0,1672133.619,1483782.6066918448,112.69397629131748,14996532.25,13310713.639757738,112.66512567145082,31747230.0,32361934.281721514,98.10053293981038
33,岡山県,中国,0,4152435.33932,3860877.133942213,107.55160538040967,28789446.1,35100922.15146364,82.01905914542913,75206876.5,85774831.48911409,87.6794220336588
34,広島県,中国,0,5855018.973999999,5582386.557633645,104.8837968053922,48313283.5,51213060.97140212,94.33781653273687,123057553.55,125839068.64120321,97.78962517663416
35,山口県,中国,0,3199665.4799999995,2944358.3962570815,108.67106001998495,26873984.8682,26823217.568850614,100.18926625494899,57538483.8,65382070.861563385,88.00345881033503
36,徳島県,四国,0,1475650.6500000001,1579713.1323122808,93.41257091659668,10744222.9728,14388974.383922087,74.66983181793242,29027419.0,35382083.43599685,82.0398805867611
37,香川県,四国,0,1824933.9500000002,1983478.969780107,92.00672040411482,18329264.0,18103931.974384177,101.24465793361715,42208062.75,44608295.85499685,94.6193122624567
38,愛媛県,四国,0,2860736.8430000003,2880776.6949689565,99.3043594109896,24516700.5,26302600.041841574,93.21017869335881,53626613.5,64481929.780161664,83.16533590546885
39,高知県,四国,0,1776804.3690000002,1559539.1145376642,113.93137577871816,14052380.5,14138774.438621344,99.38895737394785,36964068.25,34404834.976985924,107.4385861019999
40,福岡県,九州・沖縄,0,14155057.028999997,9932670.347910851,142.5100857392015,94375270.9018,91020662.18223518,103.6855463794017,224350413.43,222292930.6629574,100.92557273904592
41,佐賀県,九州・沖縄,0,2069993.7939000002,1662278.8006513016,124.52747355551612,15278478.4272,15092407.496713232,101.23287772694509,36256869.0,37095935.818473436,97.73811658889169
42,長崎県,九州・沖縄,0,3708138.005,2807709.811634327,132.06984531074266,28852526.75,25620524.018433675,112.6148970615938,61577543.975,63100572.01023261,97.58634829017772
43,熊本県,九州・沖縄,0,5040033.92,3650088.6483637188,138.07976752179357,31994322.5,33025752.736329317,96.87689105964051,75434033.19999999,80701964.09461376,93.4723634626318
44,大分県,九州・沖縄,0,3066367.5350000006,2426989.10974119,126.34451150573942,23398688.6606,22051062.756247412,106.1113875519255,57193137.85,53873378.38475569,106.16215200304512
45,宮崎県,九州・沖縄,0,2394816.7419999996,2278286.7588346275,105.11480755060785,19956977.165,20700772.971976105,96.40691771276838,51294494.25,50873260.6567117,100.82800588727888
46,鹿児島県,九州・沖縄,0,4847127.342999999,3392544.0952505777,142.87588331676452,31777120.7,30693088.37839438,103.53184504681093,76961290.0,75660342.0130103,101.71945824242508
47,沖縄県,九州・沖縄,0,3075933.0549999997,2502752.4467328093,122.90200970597162,18157635.358400002,22945872.39844223,79.13246898223274,56003343.0,57620054.54279351,97.19418602494933
