pref_code,pref_name,region,is_tohoku,population_thousands,surgery_count,acute_analgesic_per_surgery,pregabalin_out,mirogabalin_out,duloxetine_out,tramadol_out,neurotropin_out,neuropathic_total_out,core_neuropathic_out,nerve_block_out,diabetes_drugs_out,herpes_antivirals_out,antidepressants_out,anxiolytics_out,neuropathic_per_surgery,core_neuro_per_surgery,nerve_block_per_surgery,diabetes_per_surgery,herpes_per_surgery,antidep_per_surgery,anxiolytic_per_surgery,neuropathic_per_capita,diabetes_per_capita,herpes_per_capita,adjusted_cpsp_index,adjusted_core_cpsp_index,predicted_neuropathic
24,三重県,東海,0,1745.0,99349.0,26.506329387311396,12169976.0,6083593.0,4408820.5,1108892.0,4773970.0,28545251.5,18253569.0,229918.0,73595277.0,852268.5125,13252253.03994,26456289.556999993,287.3229876495989,183.73178391327542,2.3142457397658758,740.7752166604596,8.578531364180817,133.39090519220122,266.2964856918539,16358.310315186247,42174.94383954155,488.4060243553008,-14.396910233413166,2.111927780519835,301.71989788301204
25,滋賀県,近畿,0,1412.0,85286.0,29.475049480571247,8431544.0,4173466.4,2844035.5,1075467.0,5139376.0,21663888.9,12605010.4,143977.0,60619507.919999994,684743.40125,13424864.335,16599416.589,254.01459676852002,147.796946743897,1.6881668738128182,710.7791187299205,8.028790202964144,157.4099422531248,194.63237329690688,15342.697521246459,42931.662832861184,484.94575159348443,-1.2226448149062321,-5.607686840435349,255.23724158342625
26,京都府,近畿,0,2546.0,177103.0,32.34869883627042,14276309.8332,8418913.0,6930868.45,2216325.25,10064695.0,41907111.533199996,22695222.8332,352533.0,99115577.25,1218450.4557999999,25478172.206,33060322.519999996,236.62564458648356,128.147026494187,1.9905535197032236,559.6493410614163,6.879897324155999,143.8607601565191,186.67285432770757,16459.980963550664,38929.92036527887,478.5744131186174,29.47647804636182,0.20292951422017325,207.14916654012174
27,大阪府,近畿,0,8781.0,643100.0,28.64836009225626,60157511.576400004,27646313.25,23492570.85,7774751.25,29374822.0,148445968.9264,87803824.82640001,1467978.0,355083431.28,4899815.284999999,83335648.89790002,166167421.811,230.82874969118333,136.53214869600376,2.2826589954905923,552.1434167003576,7.61905657751516,129.58427755854458,258.3850440227025,16905.360315043847,40437.698585582504,558.0019684546178,-3.26341145160427,-7.17473702809184,234.0921611427876
28,兵庫県,近畿,0,5402.0,353613.0,32.776930890549835,37651802.5,17372740.1057,13419723.0,5030975.0,17813292.0,91288532.6057,55024542.6057,738098.0,239161249.375,2960648.4940499994,41675959.18050001,90007147.76600002,258.1594358965875,155.60667341330776,2.087304482584068,676.3361340646413,8.372566885408624,117.85754251257734,254.5357432164542,16899.024917752686,44272.7229498334,548.0652525083301,-22.67763520336632,-14.995992671751907,280.83707109995385
29,奈良県,近畿,0,1306.0,87394.0,27.920216776895444,7758376.5,3415039.25,3044797.5,831787.75,5129372.0,20179373.0,11173415.75,202209.0,52478588.5,570089.0999999999,9541478.8375,18962695.22,230.90112593541892,127.8510624299151,2.313762958555507,600.4827390896401,6.523206398608599,109.17773345424172,216.97937181042175,15451.281010719755,40182.686447166925,436.5153905053598,-20.64585816566523,-29.175453071423064,251.54698410108415
30,和歌山県,近畿,0,903.0,64359.0,28.97460202924222,6908445.0,3107633.5,2405101.5,710281.0,1727473.0,14858934.0,10016078.5,207536.0,35363428.35,353846.1,5530130.8950000005,16471549.49,230.87577494989046,155.62824935129507,3.224661663481409,549.4713769635948,5.498004941033888,85.92630238195125,255.93234030982458,16455.076411960134,39162.15764119601,391.85614617940195,-32.08486325650307,-11.577474754485962,262.9606382063935
31,鳥取県,中国,0,543.0,40552.0,30.99252416650227,4721402.0,2101818.75,1373297.9,450361.0,1783164.0,10430043.65,6823220.75,117342.0,22566534.0,255652.18,4595215.706,6710428.324999999,257.20170768396133,168.25855074965477,2.89361807062537,556.4838725586901,6.304305089761294,113.31662324916158,165.47712381633457,19208.183517495396,41558.99447513812,470.81432780847143,42.66593427172455,33.130731563109805,214.53577341223678
32,島根県,中国,0,657.0,44259.0,40.19403102193904,6170206.5,3221294.0,2373391.25,884906.5,2346734.0,14996532.25,9391500.5,108843.0,31747230.0,327920.775,7504603.3425,11534924.352600003,338.83576786642266,212.19414130459342,2.4592286314647867,717.3056327526605,7.409132040940826,169.56106876567478,260.623248437606,22825.77207001522,48321.50684931507,499.11837899543383,57.9934154255572,43.05785528192905,280.84235244086545
33,岡山県,中国,0,1856.0,137531.0,32.85333050235946,12500721.1,5614775.5,4346959.0,1205404.5,5121586.0,28789446.1,18115496.6,127379.0,75206876.5,852511.5,15049817.362499999,24894408.595,209.33059528397234,131.719369451251,0.9261839148991864,546.8358151980281,6.198686114403298,109.42854601871578,181.0094349273982,15511.555010775863,40520.94639008621,459.3273168103448,-9.782867269992067,-6.606074051564917,219.1134625539644
34,広島県,中国,0,2737.0,186157.0,34.62785567021385,19427641.0,9474349.0,7285614.5,2097954.0,10027725.0,48313283.5,28901990.0,324987.0,123057553.55,1664621.5229999996,23912637.594,44881274.842999995,259.52977057000277,155.2559935968027,1.7457683568170952,661.0417741476281,8.942030237917454,128.45414136454713,241.093672776205,17651.91213006942,44960.74298502009,608.192006941907,-2.6046297263416704,-2.5933252389666563,262.13440029634444
35,山口県,中国,0,1313.0,86365.0,39.96638719388641,11269065.5,5910695.3682,4095366.5,1073509.5,4525348.0,26873984.8682,17179760.8682,162510.0,57538483.8,645127.905,9698090.5,19343771.105,311.1675431968969,198.92040604643086,1.8816650263416894,666.2245562438487,7.469784113935043,112.29190644358248,223.97697105308865,20467.619853922315,43822.15064737243,491.3388461538462,38.51293324413359,31.316324909308406,272.6546099527633
36,徳島県,四国,0,704.0,47673.0,34.99658821555178,4662624.9728,2085981.5,1504617.5,457685.0,2033314.0,10744222.9728,6748606.4728,83854.0,29027419.0,281671.20000000007,6138040.890000001,11077841.430000002,225.37333444087847,141.5603480544543,1.7589411197113671,608.8859312399052,5.908400981687749,128.75298156189038,232.37139324145747,15261.68035909091,41232.12926136364,400.10113636363644,-29.82611253389942,-17.56740631186659,255.19944697477789
37,香川県,四国,0,936.0,61687.0,33.49344999756837,7016431.5,3644636.5,2179901.0,698351.0,4789944.0,18329264.0,10661068.0,184205.0,42208062.75,535587.3700000001,6586598.0,14811698.807,297.1333344140581,172.8251981778981,2.986123494415355,684.2294608264302,8.682337769708369,106.77449057337851,240.11053880071975,19582.547008547008,45094.08413461538,572.2087286324787,15.548479322621802,1.7114991792407466,281.5848550914363
38,愛媛県,四国,0,1304.0,89084.0,35.809849613847604,10807656.0,4625843.5,3218135.75,1442854.25,4422211.0,24516700.5,15433499.5,379475.0,53626613.5,576492.3800000001,9788678.790000001,17795362.97,275.2087973148938,173.24659310313862,4.25974361276997,601.978060033227,6.471334695343722,109.88144661218627,199.7593616137578,18801.150690184048,41124.70360429448,442.0953834355829,29.709696944260003,19.8115679348291,245.49910037063378
39,高知県,四国,0,675.0,50118.0,41.0209998204238,6056507.0,2911499.0,1893033.0,706183.5,2485158.0,14052380.5,8968006.0,149799.0,36964068.25,288919.22,7247785.18,13234809.4,280.3858992777046,178.93782672891976,2.988926134322998,737.5407687856658,5.764779520332016,144.61441358394188,264.0729757771659,20818.341481481482,54761.58259259259,428.02847407407404,-29.37000869184436,-11.734000359738616,309.75590796954896
40,福岡県,九州・沖縄,0,5104.0,369573.0,42.25818078972219,40394065.1894,16710718.6624,14185780.05,4574041.0,18510666.0,94375270.9018,57104783.8518,769854.0,224350413.43,2935572.5275,41472054.2432,85158461.40499999,255.36300244281915,154.51557297692202,2.083090485506246,607.0530407524359,7.94314662461814,112.21613657707678,230.42392546262846,18490.45276289185,43955.802004310346,575.1513572688087,5.165697519328319,0.9491885405266203,250.19730492349083
41,佐賀県,九州・沖縄,0,800.0,52591.0,43.34415762963244,6237785.5,2693647.1672,1849771.26,461900.5,4035374.0,15278478.427199999,8931432.6672,95383.0,36256869.0,462659.205,5348534.688,12058736.604999999,290.5150772413531,169.82815818676198,1.813675343689985,689.412047688768,8.797307619174385,101.70057021163318,229.29278022855618,19098.098034,45321.08625,578.32400625,9.459497731111185,-1.0349200991489909,281.0555795102419
42,長崎県,九州・沖縄,0,1283.0,95842.0,43.421130767304525,11598672.75,6196955.0,3503342.5,1334977.5,6218579.0,28852526.75,17795627.75,165860.0,61577543.975,633944.72,12427450.624,21789966.124,301.04261962396447,185.676715323136,1.7305565409736858,642.4901814966299,6.61447716032637,129.66601932346987,227.35299893574845,22488.329501169133,47994.968024162124,494.1112392829306,39.229003371933004,23.995124702549532,261.81361625203147
43,熊本県,九州・沖縄,0,1718.0,120014.0,45.422007724098854,13518451.0,7247793.5,4874505.0,1124514.0,5229059.0,31994322.5,20766244.5,214448.0,75434033.19999999,959717.3675,12911727.435,24569926.24,266.5882522039095,173.03185045078075,1.786858199876681,628.5436132451213,7.996711779459064,107.58517702101422,204.72550069158598,18623.004947613503,43908.051920838174,558.6247773573923,16.2962867044362,19.334357870523263,250.29196549947332
44,大分県,九州・沖縄,0,1106.0,89880.0,38.583130117935035,9621666.0,4900528.6606,3295607.0,888477.0,4692410.0,23398688.6606,14522194.6606,121192.0,57193137.85,597224.1924999999,8678755.5934,16740458.325,260.33253961504226,161.57314931686693,1.3483756119270138,636.3277464396974,6.644683939697373,96.55936352247441,186.2534304072096,21156.138029475587,51711.69787522604,539.9857075045207,1.9843406920856523,0.11281109893047869,258.3481989229566
45,宮崎県,九州・沖縄,0,1052.0,72826.0,35.81434435503803,8136432.0,5859717.5,2598107.165,619401.5,2743319.0,19956977.165,13996149.5,164557.0,51294494.25,564734.1349999999,8227500.399999999,17614540.91,274.0364315629034,192.18616290885123,2.259591354735946,704.343150111224,7.754567530826901,112.97476725345344,241.8715968198171,18970.51061311787,48759.02495247148,536.8195199619771,-18.061288720895277,13.601111468020719,292.09772028379865
46,鹿児島県,九州・沖縄,0,1562.0,107662.0,49.746536224480316,11509363.5,8712689.75,4591053.45,897439.0,6066575.0,31777120.7,20222053.25,171577.0,76961290.0,753350.55,9671010.225000001,23931778.75,295.15632906689456,187.8290692166224,1.5936635024428303,714.8417268859951,6.997367223347142,89.82751783359032,222.2862175140718,20343.86728553137,49270.99231754161,482.2986875800256,-7.801856986834082,0.14304342685269944,302.95818605372864
47,沖縄県,九州・沖縄,0,1468.0,87537.0,39.454622216891146,9020438.0,3165385.9584,3067001.9,598770.5,2306039.0,18157635.358400002,12185823.9584,177859.0,56003343.0,639391.1925,11103761.9094,23576444.712,207.42812020517042,139.2076945565875,2.031815118178599,639.7676753829809,7.304239264539566,126.84649815963535,269.331193803763,12368.961415803817,38149.41621253406,435.5525834468665,-66.94544617379367,-29.00533945699567,274.3735663789641
