pref_code,pref_name,region,is_tohoku,population_thousands,surgery_count,acute_analgesic_per_surgery,pregabalin_out,mirogabalin_out,duloxetine_out,tramadol_out,neurotropin_out,neuropathic_total_out,core_neuropathic_out,nerve_block_out,diabetes_drugs_out,herpes_antivirals_out,antidepressants_out,anxiolytics_out,neuropathic_per_surgery,core_neuro_per_surgery,nerve_block_per_surgery,diabetes_per_surgery,herpes_per_surgery,antidep_per_surgery,anxiolytic_per_surgery,neuropathic_per_capita,diabetes_per_capita,herpes_per_capita,adjusted_cpsp_index,adjusted_core_cpsp_index,predicted_neuropathic
1,北海道,北海道,0,5140.0,411776.0,46.12278934906356,52402042.5,25127067.25,17490174.5,7018846.0,30439898.0,132478028.25,77529109.75,571957.0,296080174.25,2644561.6700000004,54203789.239099994,130984559.36099999,321.7235299046083,188.27981657503108,1.3890003302766554,719.0321297258704,6.422330757499224,131.63416332933437,318.0966335119094,25773.935457198444,57603.14674124514,514.5061614785993,-3.910388852932556,-11.62266813121596,325.63391875754087
2,青森県,東北,1,1204.0,72664.0,42.98697932951668,13951505.5,6906897.5,4473272.5,1829386.5,10618498.0,37779560.0,20858403.0,223699.0,74480429.25,520042.53799999994,9624971.4,24061537.288500004,519.921281514918,287.05277716613455,3.0785395794341075,1024.9976501431245,7.156811323351315,132.4585957282836,331.13422449218325,31378.372093023256,61860.821636212626,431.9290182724252,77.72204380366509,19.805081069327684,442.19923771125286
3,岩手県,東北,1,1181.0,59572.0,40.89132696568858,13089596.0,6826089.2678,5335506.2,1512179.5,6922780.0,33686150.9678,19915685.2678,164191.0,69374214.55,437156.5249999999,9671894.78,23081926.09,565.4695321258309,334.3128528134023,2.7561773987779494,1164.5439896259988,7.338288541596722,162.35638857181226,387.46266853555363,28523.41318187976,58741.925952582555,370.1579381879762,63.17113206440354,33.599255060812595,502.2984000614274
4,宮城県,東北,1,2280.0,143501.0,37.09960415599892,17334401.0,8636929.018199999,6607470.850000001,2980422.5,12004735.0,47563958.368200004,25971330.0182,357473.0,125653242.25,1249953.5624999998,20297362.684800003,45433968.132,331.4538460930586,180.98361696573542,2.4910836858279732,875.6262482491411,8.710417087685798,141.444050458185,316.6108119943415,20861.38524921053,55111.0711622807,548.2252467105262,-36.2773303023223,-39.00517147865716,367.7311763953809
5,秋田県,東北,1,929.0,58679.0,44.50950769440515,10798379.5,5310911.25,4094668.0,1127720.0,5622365.0,26954043.75,16109290.75,210438.0,57641323.0,410281.60000000003,8795821.216000002,24866857.086,459.3473602140459,274.53246902639785,3.5862574345166074,982.316041514,6.991966461596142,149.89725823548463,423.77779249816797,29014.040635091496,62046.63401506997,441.637890204521,4.793437799878745,0.3771323212303628,454.5539224141672
6,山形県,東北,1,1040.0,62433.0,39.1558947832076,10369225.098,3956693.9687000006,3436232.5,969016.0,3214377.0,21945544.5667,14325919.0667,65203.0,53729096.75,472339.875,9659939.752,19846856.501000002,351.5055269921356,229.46068692358207,1.0443675620264925,860.5880984415293,7.56554826774302,154.7249011260071,317.89048261336154,21101.485160288463,51662.59302884615,454.1729567307692,-11.253938516738742,11.17503699271316,362.7594655088743
7,福島県,東北,1,1790.0,109901.0,35.1829809828846,19336280.5,7868446.9636,5191900.5,1859175.5,6341799.0,40597602.4636,27204727.463600002,307627.0,99802459.61050001,767440.852,16423143.614999998,36962327.7306,369.401574722705,247.53848885451453,2.799128306384837,908.112388517848,6.9830197359441675,149.4357978089371,336.3238526546619,22680.224840000003,55755.56402821229,428.7379061452514,-23.883717600205728,9.820715829860802,393.2852923229107
8,茨城県,関東,0,2840.0,152714.0,35.35981952866142,24062806.3108,13845322.5,8938898.25,3321688.0,14720735.0,64889450.0608,37908128.8108,230983.0,149714771.62,1390708.5675,23780358.011350002,45092587.96500001,424.90832576450094,248.22955859187763,1.5125201356784577,980.3604883638698,9.106621315007137,155.71825773242796,295.27474864779924,22848.397908732393,52716.46888028169,489.68611531690135,34.13810531237419,16.366251127863677,390.77022045212675
9,栃木県,関東,0,1908.0,116918.0,30.35145684154707,13467541.5,6394810.4,5152428.5,1551180.0,4870973.0,31436933.4,19862351.9,231774.0,95631800.6,785653.585,16644322.098,28222226.827000003,268.8801844027438,169.88275458013308,1.9823637078978429,817.9390735387194,6.719697437520313,142.3589361603859,241.38478957046823,16476.380188679246,50121.488784067085,411.7681263102725,-58.537426796440684,-29.521183485977303,327.4176111991845
10,群馬県,関東,0,1912.0,111729.0,33.342161122000554,13327388.0,6711051.5,4751324.5,1162372.0,6991926.0,32944062.0,20038439.5,293739.0,84475403.25,738527.7375000002,14834475.476999998,31571066.069999997,294.85685900706176,179.34859794681773,2.6290309588379026,756.0741011733749,6.609991474908038,132.77193456488465,282.56823268802185,17230.157949790795,44181.69626046025,386.25927693514654,-29.71900557926955,-19.362504394903027,324.5758645863313
11,埼玉県,関東,0,7337.0,369320.0,29.822016099859198,50238511.0,21943513.4232,18440690.95,5514779.5,23760881.0,119898375.8732,72182024.4232,573332.0,323512601.8899999,3161283.8925,62576785.96999999,114421265.576,324.6463117978988,195.44575008989494,1.5523990035741362,875.9682711198958,8.559741937885844,169.4378478555182,309.8160553882812,16341.607724301486,44093.30814910725,430.8687327926946,-28.968067088087537,-14.724586727119885,353.61437888598635
12,千葉県,関東,0,6266.0,349116.0,34.090287098815296,42197074.1664,22681541.25,16702049.905,5314990.5,19067846.0,105963501.8214,64878615.4164,426860.0,302492791.81,2969351.9435,53999460.33157,90248634.23249997,303.51946579761454,185.83684338844395,1.222688160955098,866.4535335246737,8.50534476649595,154.67483682091338,258.5061533487436,16910.86846814555,48275.26201883179,473.8831700446856,-33.74854486892275,-15.488765379645884,337.2680106665373
13,東京都,関東,0,14048.0,875006.0,33.78165439324988,95031035.3145,43199340.2807,41004581.15,13833658.7,46898575.0,239967190.4452,138230375.5952,1408705.0,553364214.4000001,10011083.316499999,155603420.37239996,273987918.1516,274.24633710534556,157.97648884144795,1.6099375318569245,632.4119084897704,11.441159622334016,177.83126101123872,313.1269021602138,17081.9469280467,39390.960592255135,712.6340629626992,30.82621979186115,18.360101590276088,243.4201173134844
14,神奈川県,関東,0,9232.0,525383.0,34.26718455107988,64758028.8486,33467618.643200003,28561889.450000003,9368844.0,35905087.0,172061467.9418,98225647.49180001,876321.0,396007705.2,4816927.865,93068827.16269998,159938500.3668,327.4972123989547,186.96007958346578,1.6679660362059678,753.750511912262,9.16841212030081,177.14472520561188,304.4226790109311,18637.507359380415,42895.11538128249,521.7642834705373,28.93509794728658,10.80413427424449,298.5621144516681
15,新潟県,北陸・甲信越,0,2153.0,110602.0,40.04402552395074,17805327.18,8057121.4448,6059455.4,1673955.0,10970987.0,44566846.0248,25862448.6248,229886.0,103772408.85399999,922159.1649999998,20736951.932710003,39347378.122,402.9479215999711,233.83346254859768,2.0784976763530496,938.2507445977468,8.337635531003054,187.49165415372238,355.75647928608885,20699.882036600095,48198.98228239665,428.3135926614026,15.03156198821739,3.97894092685749,387.9163596117537
16,富山県,北陸・甲信越,0,1017.0,73586.0,31.16717881118691,7935335.385199999,4764889.0,2330155.5,629709.0,3602644.0,19262732.8852,12700224.3852,178521.0,44132193.675,416823.6,6746660.6089,12573514.030000001,261.7717077324491,172.59022620063598,2.426018536134591,599.7362769412659,5.664441605740222,91.6840242559726,170.86829057157613,18940.74030009833,43394.48738938053,409.8560471976401,15.729756209268743,16.392458724036487,246.04195152318036
17,石川県,北陸・甲信越,0,1118.0,77229.0,38.200026091235166,7989723.2,4867343.539,2692039.0,867594.0,4533714.0,20950413.739,12857066.739,217628.0,50671550.15,504295.995,8819371.0,14398617.59,271.27651191909774,166.4797775317562,2.817956985070375,656.120759688718,6.529878607776872,114.19765891051289,186.44055458441778,18739.189390876567,45323.39011627907,451.06976296958857,12.593449994410037,5.714325627006758,258.6830619246877
18,福井県,北陸・甲信越,0,752.0,50248.0,33.04904434007324,5014686.0,2661339.0,1849062.25,585987.5,3484152.0,13595226.75,7676025.0,120959.0,29248110.0,240160.62999999998,5874868.025,7728197.485,270.5625447779016,152.76279652921508,2.4072400891577774,582.0751074669639,4.779506249004935,116.91744994825666,153.8010962625378,18078.75897606383,38893.76329787234,319.362539893617,44.21113201509584,8.228949862105793,226.35141276280578
19,山梨県,北陸・甲信越,0,802.0,42065.0,37.07842505646024,5993155.0,2996910.3,1820402.0,835540.0,2785610.5,14431617.8,8990065.3,114969.0,45387112.0,374899.85500000004,7698065.494999999,10405121.649999999,343.0789920361346,213.7184191132771,2.733127302983478,1078.9756804944727,8.9123940330441,183.00405313205752,247.3581754427671,17994.53591022444,56592.40897755611,467.4561783042395,-55.635182794326624,-21.2531366073282,398.7141748304612
20,長野県,北陸・甲信越,0,2019.0,123203.0,32.75127266381501,16508983.4089,6867957.4582,5807698.5,2507289.0,6487506.0,38179434.3671,23376940.8671,319924.0,95499872.725,962731.9199999999,19559249.555199996,34893802.28500001,309.89046019252777,189.7432762765517,2.5967224824070843,775.1424293645447,7.814192186878565,158.75627667508093,283.2220180109251,18910.071504259533,47300.58084447746,476.8360178306092,-4.128315089522403,1.0162567399858347,314.01877528205017
21,岐阜県,東海,0,1943.0,109051.0,25.200843055084313,13825304.4504,6392773.873799999,5489799.75,1820191.5,7686454.0,35214523.574200004,20218078.3242,373391.0,88944725.25,980914.954,13814338.920000002,28361789.878000002,322.91793357419925,185.4002102154038,3.4240034479280337,815.6250309488221,8.995011086555833,126.67778305563454,260.07821916351065,18123.789796294393,45777.00733401956,504.8455759135358,-5.529574298312468,-11.605838674359404,328.4475078725117
22,静岡県,東海,0,3582.0,214857.0,30.07133935594372,24039744.75,12827396.0,10586995.5,2387491.5,10302473.0,60144100.75,36867140.75,433676.0,166252577.7,1575203.7179999999,28188680.469200004,49925057.446,279.92618695225195,171.58920002606385,2.0184401718352207,773.7824585654644,7.331405157849174,131.19740324587983,232.36411867428103,16790.647892238972,46413.33827470686,439.7553651591289,-29.002645781596698,-16.4866373752956,308.92883273384865
23,愛知県,東海,0,7495.0,434407.0,28.70366680325133,41081726.0,20105798.75,19570136.650000002,5160778.75,21225677.0,107144117.15,61187524.75,681173.0,317799597.538,3243676.149,65844553.01553002,98003583.873,246.6445456680026,140.852989822908,1.5680525405898156,731.5710785921958,7.466905802622886,151.57341620998284,225.60314146180886,14295.412561707806,42401.547369979984,432.7786723148766,-33.91602940204547,-28.974211277771303,280.56057507004806
