country_code,gdp_pc_ppp,life_expectancy,gini,tfr,child_mortality,population,gdp_total,forest_pct,life_exp_male,life_exp_female,name,region,incomeLevel
ZWE,5415.46976371689,60.906,50.3,3.744,56.3,15034452.0,81418620220.053,45.3320925423291,58.852,62.741,Zimbabwe,SSF,LMC
ZMB,3646.95966481655,62.138,51.5,4.492,54.7,17973569.0,65548881175.7971,60.789706614294,59.693,64.533,Zambia,SSF,LMC
YEM,,65.915,,4.607,47.3,34085182.0,,1.03983180862549,62.311,69.883,"Yemen, Rep.",MEA,LIC
PSE,6342.9374800852,75.38,,3.674,16.3,4569087.0,28981433182.0701,1.6843853820598,73.23,77.609,West Bank and Gaza,MEA,LMC
VIR,44205.4071324394,79.5195121951219,,2.06,,107001.0,4730022768.57815,56.0285714285714,76.3,82.9,Virgin Islands (U.S.),LCN,HIC
VNM,10936.8937859558,74.1,35.7,1.88,20.5,96237319.0,1052537336148.14,46.2346815387217,69.303,78.863,Viet Nam,EAS,LMC
VEN,,72.641,,2.151,24.2,29807592.0,,52.5341647298906,68.902,76.554,"Venezuela, RB",LCN,INX
VUT,3482.02272525905,70.626,32.3,3.834,18.2,285259.0,993278320.584672,36.2838392124692,68.724,73.147,Vanuatu,EAS,LMC
UZB,8348.96057873127,71.999,32.9,2.713,16.4,32373490.0,270284991805.951,8.25712061408984,68.914,75.174,Uzbekistan,ECS,LMC
URY,29757.9388543783,77.527,39.7,1.681,7.7,3394534.0,101014335211.108,11.364415495372,73.449,81.501,Uruguay,LCN,HIC
USA,67719.7656392064,78.6390243902439,41.8,1.7295,6.5,328529577.0,22247945959987.6,33.8669264120375,76.2,81.2,United States,NAC,HIC
GBR,52131.6948248133,81.2560975609756,33.7,1.68,4.4,66289000.0,3455757918242.05,13.1153639482495,79.5,83.1,United Kingdom,ECS,HIC
ARE,72671.0652349751,82.449,26.4,1.288,6.7,9346701.0,679234718102.807,4.46775556181357,81.504,83.912,United Arab Emirates,MEA,HIC
UKR,16978.984375,73.569,26.1,1.233,8.7,45208907.0,726498904612.503,16.7034863652054,68.569,78.326,Ukraine,ECS,UMC
UGA,2613.87976413963,65.775,42.7,4.867,52.7,41565831.0,108648084530.548,12.070666267704,62.969,68.473,Uganda,SSF,LIC
TUV,4575.86900510424,65.871,,3.328,23.5,10751.0,49195167.6738756,33.3333333333333,62.654,69.511,Tuvalu,EAS,UMC
TCA,30286.1196112151,77.596,,1.677,5.6,41559.0,1258660844.92249,11.0736842105263,75.459,79.879,Turks and Caicos Islands,LCN,HIC
