country_code,gdp_pc_ppp,life_expectancy,gini,tfr,child_mortality,population,gdp_total,forest_pct,life_exp_male,life_exp_female,name,region,incomeLevel
TKM,14648.135352725,69.272,,2.875,43.8,6655524.0,97491016395.3094,8.78215904496414,65.944,72.231,Turkmenistan,ECS,UMC
TUR,28780.3036458151,77.454,42.4,2.0,11.7,81407204.0,2342924050076.82,28.4660940971636,74.385,80.634,Turkiye,ECS,UMC
TUN,13163.1952230357,75.37,33.7,2.133,17.5,11765514.0,154871757681.359,4.50354016477858,72.834,78.007,Tunisia,MEA,LMC
TTO,33710.0178540008,72.658,,1.588,21.6,1359193.0,45818420297.0329,44.64522417154,69.475,75.896,Trinidad and Tobago,LCN,HIC
TON,6885.10271620406,72.169,27.1,3.326,11.1,105567.0,726839638.441514,12.4305555555556,68.733,75.873,Tonga,EAS,UMC
TGO,2517.34898693009,60.608,42.5,4.513072,68.1,8258778.0,20790226431.5805,22.3421584850156,60.4,60.782,Togo,SSF,LIC
TLS,4188.84115175127,66.204,,3.244,56.0,1275959.0,5344789567.1474,62.1318090114324,64.589,67.955,Timor-Leste,EAS,LMC
THA,20879.9027821449,77.19,36.4,1.323,10.8,71376079.0,1490325590490.69,39.0397150071444,72.95,81.629,Thailand,EAS,UMC
TZA,3392.68872070313,65.488,40.5,4.932,47.6,57437145.0,189028119923.261,52.70151275683,62.761,68.251,Tanzania,SSF,LMC
TJK,3479.69235966041,70.737,32.4,3.294,30.7,9307333.0,32386655528.9152,3.0391238561856,68.482,72.974,Tajikistan,ECS,LMC
SYR,4956.09296464777,67.371,26.4,2.932,32.5,19577845.0,97029619867.4644,2.84310842454937,63.031,72.185,Syrian Arab Republic,MEA,LIC
CHE,79261.3563641288,83.7536585365854,33.1,1.52,4.1,8514329.0,674857265070.437,31.9474011778901,81.9,85.7,Switzerland,ECS,HIC
SWE,60647.449528586,82.5585365853659,30.0,1.76,2.7,10175214.0,617100777507.561,68.6944981353789,80.9,84.3,Sweden,ECS,HIC
SUR,22938.5353715545,71.468,39.2,2.381,18.9,599513.0,13751950156.2068,94.8290239945632,68.333,74.798,Suriname,LCN,UMC
SDN,3816.65991210938,65.501,,4.681,57.8,44230596.0,168813138819.997,10.0128479657388,62.877,68.381,Sudan,SSF,LIC
VCT,16139.0661084965,71.017,,1.9,15.0,104926.0,1693407650.5001,73.1794871794872,68.471,74.166,St. Vincent and the Grenadines,LCN,UMC
MAF,,80.029,,2.725,,36012.0,,24.8,76.395,83.849,St. Martin (French part),LCN,HIC
LCA,22981.9179294013,72.655,,1.436,18.4,177017.0,4068190166.10883,34.0491803278688,69.323,76.271,St. Lucia,LCN,UMC
KNA,30576.2486749244,71.336,,1.587,18.6,47008.0,1437328297.71085,42.3076923076923,67.783,75.327,St. Kitts and Nevis,LCN,HIC
LKA,14759.8248945765,76.485,37.7,2.033,7.6,21670000.0,319845405465.473,34.2580499159447,73.107,79.812,Sri Lanka,SAS,LMC
ESP,46325.2099441141,83.4317073170732,34.7,1.26,3.2,46782011.0,2167186481182.85,37.1566467814769,80.7,86.3,Spain,ECS,HIC
SSD,,51.905,,4.37,133.7,10122977.0,,11.3256215087114,49.151,54.673,South Sudan,SSF,LIC
ZAF,14553.5615668957,65.726,54.1,2.27,34.9,58613001.0,853027918674.021,14.1151027541238,62.296,68.906,South Africa,SSF,UMC
SOM,1504.97908203481,54.767,,6.662,136.4,15452487.0,23255669700.4148,9.77699493097842,52.694,56.911,"Somalia, Fed. Rep.",SSF,LIC
SLB,2686.11900111375,69.806,,3.93,23.6,709101.0,1904729669.80876,90.1904251518399,68.54,71.231,Solomon Islands,EAS,LMC
SVN,43361.094447431,81.3780487804878,24.6,1.6,2.4,2073894.0,89926313607.9605,61.674380723466,78.5,84.4,Slovenia,ECS,HIC
SVK,36430.7941704195,77.2658536585366,25.0,1.54,5.9,5446771.0,198430193194.41,40.05615640599,73.9,80.8,Slovak Republic,ECS,HIC
SXM,42154.1020267504,75.693,,1.522,,39712.0,1674023699.68631,10.8823529411765,73.116,78.595,Sint Maarten (Dutch part),LCN,HIC
SGP,119927.769127927,83.2975609756098,,1.14,2.5,5638676.0,676233833515.183,22.3109243697479,81.2,85.5,Singapore,EAS,HIC
SLE,2767.38003381598,59.059,35.7,4.294,112.4,7554563.0,20906346810.405,35.6655583264062,57.846,60.251,Sierra Leone,SSF,LIC
SYC,32841.4242467381,72.8414634146341,32.1,2.34,14.8,96762.0,3177801892.96287,73.2608695652174,68.5,77.4,Seychelles,SSF,HIC
SRB,20454.310707953,75.890243902439,35.0,1.49,5.8,6982604.0,142824351766.595,31.1227989938258,73.5,78.4,Serbia,ECS,UMC
SEN,3998.28635303406,67.379,38.3,4.294,47.9,15914498.0,63630720168.7878,42.3215083363632,65.59,69.243,Senegal,SSF,LMC
SAU,61359.4653740388,78.75,,2.67,7.6,30196281.0,1852827658444.24,0.454484134921779,77.551,80.543,Saudi Arabia,MEA,HIC
STP,5674.72379094011,67.602,,3.977,18.2,210187.0,1192753169.44633,55.3541666666667,64.398,71.335,Sao Tome and Principe,SSF,LMC
SMR,59194.0442905609,85.095,,1.077,1.6,34522.0,2043496796.99874,16.6666666666667,83.393,86.648,San Marino,ECS,HIC
WSM,6805.0451717529,71.052,,4.136,17.5,207582.0,1412604886.84281,58.5,69.197,73.028,Samoa,EAS,UMC
RWA,2493.44001744938,66.354,,4.047,43.7,12487996.0,31138068964.1478,11.1066072152412,64.07,68.421,Rwanda,SSF,LIC
RUS,36536.6953125,72.6621951219512,35.3,1.579,6.4,145398106.0,5400813511031.75,49.7843605035639,67.75,77.82,Russian Federation,ECS,HIC
ROU,34829.0402990684,75.3585365853659,35.8,1.76,7.3,19473970.0,678259685912.85,30.1158292767733,71.7,79.2,Romania,ECS,HIC
QAT,114909.792335472,82.714,,1.756,6.8,2580734.0,296551608013.092,0.0,81.955,83.8,Qatar,MEA,HIC
PRI,41119.3088051648,81.086,,1.035,,3290690.0,135310898292.068,55.8455467869222,77.451,84.616,Puerto Rico (US),LCN,HIC
PRT,39123.6151282571,81.3243902439024,33.5,1.42,3.5,10283822.0,402340293975.503,36.154994891142,78.3,84.5,Portugal,ECS,HIC
POL,36500.4114282584,77.6024390243903,30.2,1.46,4.5,37974750.0,1386093998885.26,30.8946010386387,73.7,81.7,Poland,ECS,HIC
PHL,9016.28659637608,69.761,42.3,2.378,27.9,109465287.0,986970399946.561,23.8750041922393,66.69,72.807,Philippines,EAS,LMC
PER,15386.2601642505,76.018,42.4,2.118,15.3,31897584.0,490784526035.036,56.77815625,73.89,78.259,Peru,LCN,UMC
PRY,15592.9841390322,73.627,46.0,2.561,19.9,6427382.0,100222065581.501,41.9353888749056,70.699,76.745,Paraguay,LCN,UMC
PNG,4211.1454741469,65.114,,3.382,47.5,9394513.0,39561660901.7642,79.3243386477057,62.725,68.167,Papua New Guinea,EAS,LMC
PAN,32681.4463581168,78.266,49.2,2.402,16.3,4167860.0,136211693018.141,57.1133728767862,75.201,81.412,Panama,LCN,HIC
PLW,19572.3446450452,68.989,,1.97,22.9,17814.0,348661747.506836,89.6739130434783,66.332,72.192,Palau,EAS,HIC
PAK,5255.06350681272,66.481,29.6,3.855,67.9,226928892.0,1192525738990.65,4.94056143628061,64.264,68.938,Pakistan,MEA,LMC
OMN,38673.6045360857,79.864,,2.81,10.9,4597877.0,177816476803.564,0.00840064620355412,78.367,81.793,Oman,MEA,HIC
NOR,87338.4708008985,82.7585365853659,27.6,1.56,2.5,5311916.0,463934620462.826,33.3172650284299,81.1,84.5,Norway,ECS,HIC
MNP,,77.51,,2.643,,49077.0,,52.9565217391304,75.867,79.474,Northern Mariana Islands,EAS,HIC
MKD,20806.0084013242,76.6487804878049,33.0,1.42,8.4,1889051.0,39303610976.53,39.7101506740682,74.6,78.8,North Macedonia,ECS,UMC
NGA,8362.62330891339,52.669,35.1,5.021,117.2,204938755.0,1713825609462.69,24.1043842023782,52.415,52.914,Nigeria,SSF,LMC
NER,1574.33838262666,59.765,37.3,6.706,121.9,22188069.0,34931528663.0687,0.871982316254835,58.881,60.658,Niger,SSF,LIC
NIC,7049.02753442352,73.879,,2.347,14.6,6400080.0,45114340142.5133,29.9778128635533,71.039,76.628,Nicaragua,LCN,LMC
NZL,46947.937247914,81.7073170731707,,1.71,5.3,4900600.0,230073061277.127,37.4279366526148,80.0,83.5,New Zealand,EAS,HIC
NCL,,77.557,,2.041,,283541.0,,45.8544857768053,74.842,80.368,New Caledonia,EAS,HIC
NLD,66758.2640145753,81.8121951219512,28.1,1.59,4.0,17231624.0,1150353304391.89,10.9186219186219,80.3,83.4,Netherlands,ECS,HIC
NPL,4371.38571771897,69.036,30.0,2.12,32.6,28079689.0,122747151452.59,41.5907220090687,67.627,70.422,Nepal,SAS,LMC
NRU,10401.2803984916,61.238,,3.683,13.1,11477.0,119375495.133488,0.0,58.766,64.093,Nauru,EAS,HIC
NAM,11214.38604306,62.579,,3.462,48.5,2577327.0,28903139937.2016,8.23636871576237,58.953,66.183,Namibia,SSF,LMC
MMR,6201.26341429803,66.232,,2.228,45.2,52272247.0,324153972904.25,44.6197487360196,63.376,69.224,Myanmar,EAS,LMC
MOZ,1538.83512127022,60.79,50.7,5.07,70.2,29018644.0,44654908558.8374,47.3361072255144,58.131,63.093,Mozambique,SSF,LIC
MAR,8611.75,73.946,,2.354,19.9,35839760.0,313170965464.504,12.8200537754873,72.036,75.994,Morocco,MEA,LMC
MNE,23562.2739681383,77.8853658536585,36.8,1.8,3.3,626438.0,14760303780.0526,61.4869888475836,75.3,80.6,Montenegro,ECS,UMC
MNG,15230.2408828847,70.8270731707317,32.7,2.9,16.4,3208189.0,48861491267.8209,9.10255545816196,66.11,75.78,Mongolia,EAS,UMC
MCO,,86.084,,2.485,3.2,38154.0,,0.0,84.044,88.369,Monaco,ECS,HIC
MDA,13895.5043655692,70.236,25.7,1.81,15.4,2707203.0,37617951104.982,11.7529716925191,65.645,74.665,Moldova,ECS,UMC
FSM,3798.59203794112,65.943,,2.922,27.3,109909.0,417499452.29807,91.9428571428572,62.889,69.151,"Micronesia, Fed. Sts.",EAS,LMC
MEX,21997.7730167472,74.301,46.0,2.03,15.4,124573711.0,2740344218431.87,33.9247408626765,71.422,77.13,Mexico,LCN,UMC
MUS,25324.1785958124,74.4163414634146,,1.42,15.4,1265577.0,32049697974.7525,19.3740610916375,71.27,77.72,Mauritius,SSF,UMC
MRT,6153.63790295218,67.419,32.0,5.044,44.7,4337685.0,26692542827.0672,0.314058406907927,65.644,69.258,Mauritania,SSF,LMC
MHL,5635.30750426868,65.87,35.5,3.038,32.2,45285.0,255194900.330807,52.2222222222222,63.955,68.227,Marshall Islands,EAS,UMC
MLT,53417.0154946227,82.2487804878049,28.7,1.23,6.3,483903.0,25848654048.8944,1.4375,80.2,84.4,Malta,MEA,HIC
MLI,2862.40728989634,58.873,36.0,6.118,96.2,20442030.0,58513415692.2797,10.896663634352,57.713,60.064,Mali,SSF,LIC
MDV,21072.5805249694,79.433,29.3,1.71,8.0,473099.0,9969416773.78251,2.73333333333333,78.185,81.136,Maldives,SAS,UMC
MYS,30459.9655338061,75.734,41.2,1.838,8.2,32910967.0,1002466920504.23,58.4822401460965,73.379,78.431,Malaysia,EAS,UMC
MWI,1638.91665761076,64.464,38.5,4.021,52.0,18528081.0,30365980584.4615,24.6680101824353,61.043,67.918,Malawi,SSF,LIC
MDG,1678.78623269491,63.491,36.8,4.246,64.9,27494926.0,46158103237.7654,21.4098315572362,61.923,65.102,Madagascar,SSF,LIC
MAC,139541.157248769,83.6780487804878,,0.915,,658900.0,91943668511.214,,80.8,86.7,"Macao SAR, China",EAS,HIC
LUX,131733.8846493,82.2951219512195,35.4,1.38,2.4,607950.0,80087615172.5418,34.4538272103664,80.1,84.6,Luxembourg,ECS,HIC
LTU,41019.7901632878,75.6804878048781,35.7,1.53,4.2,2819200.0,115642992428.341,35.0950023950184,70.9,80.7,Lithuania,ECS,HIC
LIE,,83.0414634146342,,1.58,,38246.0,,41.875,80.7,85.5,Liechtenstein,ECS,HIC
LBY,16385.164476127,73.151,,2.581,11.9,6849055.0,112222892681.04,0.123327687918433,70.499,76.17,Libya,MEA,UMC
LBR,1647.97443793846,60.999,,4.336,89.4,4944726.0,8148782050.60971,79.7130398671096,59.815,62.173,Liberia,SSF,LIC
LSO,2846.41828124649,54.638,,3.016,68.8,2183603.0,6215447498.18469,1.13702239789196,52.121,57.055,Lesotho,SSF,LMC
LBN,16290.0516478592,78.263,35.5,2.347,14.0,5984119.0,97481607576.9354,13.8934506353861,76.26,80.093,Lebanon,MEA,LMC
LVA,34729.7062763057,74.7829268292683,35.1,1.6,4.2,1927174.0,66930186963.3331,54.6876757677536,70.1,79.7,Latvia,ECS,HIC
LAO,7775.08574451883,67.594,38.8,2.633,38.3,7128045.0,55421161065.7887,72.2032062391681,65.492,69.815,Lao PDR,EAS,LMC
KGZ,5951.82876758606,71.4,27.7,3.3,19.0,6444079.0,38354054772.7972,6.66788321167883,67.4,75.6,Kyrgyz Republic,ECS,LMC
KWT,51623.8078622052,80.1063658536585,,2.118,8.9,4323515.0,223196307649.362,0.350729517396184,78.841,81.435,Kuwait,MEA,HIC
XKX,11188.2244627966,77.117,44.6,1.581,11.9,1797086.0,20106201546.9493,,74.993,79.177,Kosovo,ECS,UMC
KOR,48834.4471157733,82.6268292682927,33.7,0.977,3.2,51585058.0,2519127786865.1,64.6739130434783,79.7,85.7,"Korea, Rep.",EAS,HIC
PRK,,73.02,,1.834,18.4,25931147.0,,50.436010298148,70.281,75.64,"Korea, Dem. People's Rep.",EAS,LIC
KIR,2877.60204999231,65.807,27.8,3.318,59.6,122084.0,351309168.671261,1.45679012345679,63.97,67.436,Kiribati,EAS,LMC
KEN,5017.66784674664,62.825,36.2,3.536,43.7,50207107.0,251922586472.068,6.25877654107482,60.728,65.003,Kenya,SSF,LMC
KAZ,32330.2274546567,73.369,27.8,2.845,10.3,18932727.0,612099370246.921,1.25799207319332,68.828,77.503,Kazakhstan,ECS,UMC
JOR,9311.53116265584,76.491,,2.923,15.3,10462306.0,97420088352.2411,1.09822031989187,74.456,78.834,Jordan,MEA,LMC
JPN,44848.4899421798,84.2109756097561,32.9,1.42,2.5,126811000.0,5687281858057.76,68.4087791495199,81.25,87.32,Japan,EAS,HIC
JAM,10636.0929784551,71.606,35.3,1.4,18.7,2820097.0,29994813900.2622,54.3970452446907,69.204,74.038,Jamaica,LCN,UMC
ITA,49133.143527174,83.3463414634146,35.2,1.31,3.2,60148658.0,2955292646480.9,31.9848977742309,81.2,85.6,Italy,ECS,HIC
ISR,43814.2949977965,82.8024390243903,38.6,3.09,3.7,8882800.0,389193619606.426,6.46950092421442,80.9,84.8,Israel,MEA,HIC
IMN,,80.614,,1.636,,83805.0,,6.07017543859649,78.695,82.546,Isle of Man,ECS,HIC
IRL,93276.0188154012,82.2048780487805,30.6,1.74,3.4,4898022.0,456867992230.249,11.2355929743069,80.4,84.1,Ireland,ECS,HIC
IRQ,14456.2357053224,71.116,,3.547,26.5,40265624.0,582089351365.886,1.90036118379833,69.229,72.842,Iraq,MEA,UMC
IRN,15364.8049052614,76.621,37.4,1.919,13.9,86117998.0,1323186238101.69,6.61140215716487,74.738,78.612,"Iran, Islamic Rep.",MEA,UMC
IDN,12262.2310300771,70.08,36.3,2.219,22.8,269951846.0,3310211902647.8,49.7168177792076,68.062,72.113,Indonesia,EAS,UMC
IND,7714.33974724531,70.415,25.5,2.184,36.9,1374659064.0,10604587056326.2,24.0909595417716,68.973,71.963,India,SAS,LMC
ISL,65521.9313424781,82.8609756097561,26.6,1.71,2.7,352721.0,23110961145.0502,0.496280868789051,81.3,84.5,Iceland,ECS,HIC
HUN,35798.0412754022,76.0658536585366,,1.57,4.3,9706964.0,347490297930.843,22.5281612973921,72.7,79.6,Hungary,ECS,HIC
HKG,66993.9679794398,84.869756097561,,1.08,,7452600.0,499279245763.573,,82.26,87.61,"Hong Kong SAR, China",EAS,HIC
HND,6219.27973775059,72.001,48.9,2.645,18.2,9765210.0,60732572687.8795,57.2094020913397,69.538,74.6,Honduras,LCN,LMC
HTI,3496.87870320748,64.077,,2.924,63.4,10962362.0,38334050214.651,12.8272859216255,61.278,66.988,Haiti,LCN,LMC
GUY,12980.3576003177,68.829,,2.553,30.5,791556.0,10274679940.6771,93.6436372872746,65.235,72.615,Guyana,LCN,HIC
GNB,2373.50158144916,61.652,34.8,4.241,82.2,1922168.0,4562268787.81097,71.0131578947368,59.389,63.77,Guinea-Bissau,SSF,LIC
GIN,3455.64512638662,59.043,29.6,4.669,107.5,12704774.0,43903190354.9434,25.5127787725867,57.8,60.217,Guinea,SSF,LMC
GTM,11192.372055508,71.496,,2.743,25.1,16845685.0,188543174049.89,33.1373646883165,69.185,73.817,Guatemala,LCN,UMC
GUM,,76.561,,2.995,,162679.0,,51.8518518518518,72.79,80.824,Guam,EAS,HIC
GRD,16964.852001696,74.957,43.8,1.53,18.3,115691.0,1962680692.92822,52.0588235294118,72.1,78.168,Grenada,LCN,UMC
GRL,66887.6779268926,71.3609756097561,,2.024,,56023.0,3747248380.4983,0.000535997076379583,69.0,73.84,Greenland,ECS,HIC
GRC,32722.3310444029,81.7878048780488,32.9,1.35,4.2,10732882.0,351204917864.513,30.2699767261443,79.3,84.4,Greece,ECS,HIC
GIB,,83.028,,1.921,,34854.0,,0.0,80.362,85.649,Gibraltar,ECS,HIC
GHA,6234.51208201488,64.138,,3.65,46.1,30637585.0,191010393846.258,35.0323459611497,62.155,66.164,Ghana,SSF,LMC
DEU,62381.3478772241,80.8926829268293,31.9,1.57,3.8,82905782.0,5171774427975.31,32.6836109680005,78.6,83.3,Germany,ECS,HIC
GEO,17228.6790847503,73.985,36.4,2.093,9.8,3726549.0,64203516814.5972,40.6159159591308,69.023,78.75,Georgia,ECS,UMC
GMB,2651.43281455826,64.034,38.8,4.42,52.3,2399632.0,6362463027.66407,25.1126482213439,62.539,65.516,"Gambia, The",SSF,LIC
GAB,19225.5982575261,67.043,,3.908,39.9,2212318.0,42533137085.8936,91.4128924593472,64.895,69.421,Gabon,SSF,UMC
PYF,,82.985,,1.645,,279815.0,,43.0596369922213,80.622,85.572,French Polynesia,EAS,HIC
FRA,52560.9536243841,82.6756097560976,32.4,1.87,4.2,67158348.0,3529906814718.25,31.7027553576399,79.7,85.8,France,ECS,HIC
FIN,56226.337241343,81.7341463414634,27.3,1.41,2.4,5515525.0,310117768713.058,73.7332192682285,79.1,84.5,Finland,ECS,HIC
FJI,13100.0959551236,66.965,30.7,2.419,24.2,917180.0,12015146008.1203,61.6672140120416,65.021,69.014,Fiji,EAS,UMC
FRO,66193.3474230922,82.2486024390244,,2.5015,,50996.0,3375595945.18801,0.0573065902578797,80.1327,84.4703,Faroe Islands,ECS,HIC
ETH,2311.16511659606,65.257,31.1,4.371,55.8,112664152.0,260385457993.276,15.2534899740501,62.369,68.298,Ethiopia,SSF,INX
SWZ,9578.10061089805,58.707,,2.971,50.4,1168929.0,11196119568.9964,28.7872093023256,55.984,61.391,Eswatini,SSF,LMC
EST,40853.6487755073,78.2439024390244,30.3,1.67,2.7,1321977.0,54007584047.2988,57.0385964912281,74.0,82.7,Estonia,ECS,HIC
ERI,,66.979,,4.056,41.9,3192760.0,,8.76775721087697,64.846,69.035,Eritrea,SSF,LIC
GNQ,20165.4795550607,61.915,38.5,4.513,83.2,1616422.0,32595924793.3504,87.8837789661319,60.316,63.718,Equatorial Guinea,SSF,UMC
SLV,10297.203612692,71.384,38.6,1.849,12.7,6219807.0,64046619110.6471,28.6138996138996,66.504,75.944,El Salvador,LCN,UMC
EGY,14488.2094340483,70.974,31.9,3.02,25.2,105682094.0,1531144311300.78,0.0451855944547692,68.773,73.209,"Egypt, Arab Rep.",MEA,LMC
ECU,14083.5069982304,77.248,45.4,2.111,14.1,17049547.0,240117414491.159,50.8389837332904,74.618,79.877,Ecuador,LCN,UMC
DOM,20662.848586153,73.555,43.7,2.397,34.7,10782053.0,222787928586.876,44.0471951976816,70.292,76.936,Dominican Republic,LCN,UMC
DMA,16877.1244880642,71.378,,1.517,32.1,68174.0,1150581084.84929,63.8266666666667,68.756,74.421,Dominica,LCN,UMC
DJI,5590.50426604853,64.105,,2.858,59.4,1071882.0,5992360893.70063,0.243313201035375,61.69,66.592,Djibouti,MEA,LMC
DNK,66238.705427981,80.9536585365854,28.2,1.73,3.9,5793636.0,383762948360.946,15.664,79.1,82.9,Denmark,ECS,HIC
CZE,46301.082036029,79.0292682926829,25.0,1.71,3.1,10629928.0,492177168365.082,34.6259551871519,76.2,82.0,Czechia,ECS,HIC
CYP,43510.2109375,81.556,32.7,1.319,2.7,1270737.0,38480343420.2192,18.6764069264069,79.387,83.765,Cyprus,ECS,HIC
CUW,29256.8154066419,76.493,,1.7,,159336.0,4661663939.6327,0.157657657657658,72.179,80.507,Curacao,LCN,HIC
CUB,,77.426,,1.607,6.6,11227118.0,,31.233140655106,75.045,79.899,Cuba,LCN,UMC
HRV,33729.9071211239,77.919512195122,29.7,1.47,4.8,3988775.0,134541010277.061,34.5598956472018,74.7,81.3,Croatia,ECS,HIC
CIV,5670.20005356688,59.795,37.2,4.596,77.9,27464173.0,155727355215.77,9.63044025157233,58.063,61.756,Cote d'Ivoire,SSF,LMC
CRI,23005.3121471794,80.09,48.0,1.706,9.0,4957818.0,114056150658.905,58.7961222091657,77.22,82.961,Costa Rica,LCN,HIC
COG,7029.33651566257,64.472,,4.442,47.6,5483118.0,38542681577.0867,64.3513909224012,62.964,66.017,"Congo, Rep.",SSF,LMC
COD,1431.7285269693,59.926,44.7,6.302,91.7,90047644.0,128923780701.176,56.6189541474604,58.062,61.816,"Congo, Dem. Rep.",SSF,LIC
COM,3457.58685798732,65.401,34.2,4.208,45.8,771590.0,2667839443.75444,18.1622783449758,63.555,67.392,Comoros,SSF,LMC
COL,17104.1313545678,76.579,51.6,1.715,14.0,49024465.0,838520888947.413,53.6642451554754,73.663,79.517,Colombia,LCN,UMC
CHN,17806.7902349725,77.709,38.5,1.539,8.6,1402760000.0,24978653070010.0,23.0309079153534,75.034,80.573,China,EAS,UMC
CHL,28492.6611456515,80.559,47.0,1.543,7.3,18893191.0,538317289123.074,24.2020617476728,78.323,82.776,Chile,LCN,HIC
CHI,,81.1,,1.37,,164949.0,,5.15151515151515,78.7,83.5,Channel Islands,ECS,HIC
TCD,2552.37036388576,52.447,37.5,6.464,117.6,16156531.0,41237450907.6015,3.60149301143583,51.021,53.903,Chad,SSF,LIC
CAF,1125.70091748228,52.297,43.0,6.108,120.2,4878657.0,5491908660.98135,35.8968185174484,49.403,55.201,Central African Republic,SSF,LIC
CYM,76124.5501254035,78.835,,1.277,,65941.0,5019728959.81923,53.375,76.502,81.291,Cayman Islands,LCN,HIC
CAN,57337.4909099991,81.8036585365854,32.5,1.51,5.2,37072620.0,2125651012259.85,38.7037629425392,79.75,83.96,Canada,NAC,HIC
CMR,4851.48003949961,61.189,42.2,4.74,78.9,24806383.0,120347671976.682,43.2664424277041,59.111,63.334,Cameroon,SSF,LMC
KHM,6050.59088262205,69.993,,2.724,24.1,16274522.0,98470474432.232,47.4719578518015,67.427,72.389,Cambodia,EAS,LMC
CPV,8531.12961646549,74.84,,1.804,15.1,513415.0,4380009912.03763,11.1960297766749,71.342,78.239,Cabo Verde,SSF,UMC
BDI,1046.59511246023,61.806,37.5,5.38,58.5,11859446.0,12412038220.086,10.8894080996885,59.965,63.615,Burundi,SSF,LIC
BFA,2316.39432079045,59.972,43.0,4.921,91.0,20438288.0,47343134249.8795,23.0862573099415,58.243,61.604,Burkina Faso,SSF,LIC
BGR,27691.0089237623,74.9634146341464,41.3,1.73,7.0,6710798.0,185828767303.566,35.6208548268239,71.5,78.6,Bulgaria,ECS,HIC
BRN,78099.0507802561,74.992,,1.848,10.6,437810.0,34192545422.1039,72.1062618595825,73.014,77.23,Brunei Darussalam,EAS,HIC
VGB,,76.728,,0.905,14.6,34657.0,,24.1333333333333,74.039,79.556,British Virgin Islands,LCN,HIC
BRA,17917.7492122925,75.633,53.9,1.744,15.2,206107261.0,3692978213430.52,59.7083800941358,72.365,78.977,Brazil,LCN,UMC
BWA,17825.018569213,66.371,,2.941,41.2,2299141.0,40982231018.239,27.3345331992307,64.057,68.696,Botswana,SSF,UMC
BIH,16349.0675137661,77.942,30.3,1.504,6.8,3387000.0,55374291669.1259,42.7326171875,74.077,81.435,Bosnia and Herzegovina,ECS,UMC
BOL,11920.3135079645,67.699,42.6,2.73,22.0,11508368.0,137183354525.027,47.3121388350411,65.43,70.132,Bolivia,LCN,LMC
BTN,13854.8543977158,71.711,28.5,1.517,24.2,759759.0,10526350322.3541,71.3455689564761,70.153,73.585,Bhutan,SAS,LMC
BMU,95639.2267310584,80.986,,1.374,,63831.0,6104747481.47019,18.5185185185185,77.311,84.842,Bermuda,NAC,HIC
BEN,3155.4510650627,59.71,37.9,5.031,89.4,12383347.0,39075045480.191,28.6905817665839,58.648,60.752,Benin,SSF,LMC
BLZ,11451.8979413877,72.322,39.9,2.343,13.9,380226.0,4354309346.66209,56.9649276633056,69.605,75.45,Belize,LCN,UMC
