country_code,gdp_pc_ppp,tfr,country
MWI,1638.91665761076,4.021,Malawi
MDG,1678.78623269491,4.246,Madagascar
MAC,139541.157248769,0.915,"Macao SAR, China"
LUX,131733.8846493,1.38,Luxembourg
LTU,41019.7901632878,1.53,Lithuania
LBY,16385.164476127,2.581,Libya
LBR,1647.97443793846,4.336,Liberia
LSO,2846.41828124649,3.016,Lesotho
LBN,16290.0516478592,2.347,Lebanon
LVA,34729.7062763057,1.6,Latvia
LAO,7775.08574451883,2.633,Lao PDR
KGZ,5951.82876758606,3.3,Kyrgyz Republic
KWT,51623.8078622052,2.118,Kuwait
XKX,11188.2244627966,1.581,Kosovo
KOR,48834.4471157733,0.977,"Korea, Rep."
KIR,2877.60204999231,3.318,Kiribati
KEN,5017.66784674664,3.536,Kenya
KAZ,32330.2274546567,2.845,Kazakhstan
JOR,9311.53116265584,2.923,Jordan
JPN,44848.4899421798,1.42,Japan
JAM,10636.0929784551,1.4,Jamaica
ITA,49133.143527174,1.31,Italy
ISR,43814.2949977965,3.09,Israel
IRL,93276.0188154012,1.74,Ireland
IRQ,14456.2357053224,3.547,Iraq
IRN,15364.8049052614,1.919,"Iran, Islamic Rep."
IDN,12262.2310300771,2.219,Indonesia
IND,7714.33974724531,2.184,India
ISL,65521.9313424781,1.71,Iceland
HUN,35798.0412754022,1.57,Hungary
HKG,66993.9679794398,1.08,"Hong Kong SAR, China"
HND,6219.27973775059,2.645,Honduras
HTI,3496.87870320748,2.924,Haiti
GUY,12980.3576003177,2.553,Guyana
GNB,2373.50158144916,4.241,Guinea-Bissau
GIN,3455.64512638662,4.669,Guinea
GTM,11192.372055508,2.743,Guatemala
GRD,16964.852001696,1.53,Grenada
GRL,66887.6779268926,2.024,Greenland
GRC,32722.3310444029,1.35,Greece
GHA,6234.51208201488,3.65,Ghana
DEU,62381.3478772241,1.57,Germany
GEO,17228.6790847503,2.093,Georgia
GMB,2651.43281455826,4.42,"Gambia, The"
GAB,19225.5982575261,3.908,Gabon
FRA,52560.9536243841,1.87,France
FIN,56226.337241343,1.41,Finland
FJI,13100.0959551236,2.419,Fiji
FRO,66193.3474230922,2.5015,Faroe Islands
ETH,2311.16511659606,4.371,Ethiopia
SWZ,9578.10061089805,2.971,Eswatini
EST,40853.6487755073,1.67,Estonia
GNQ,20165.4795550607,4.513,Equatorial Guinea
SLV,10297.203612692,1.849,El Salvador
EGY,14488.2094340483,3.02,"Egypt, Arab Rep."
ECU,14083.5069982304,2.111,Ecuador
DOM,20662.848586153,2.397,Dominican Republic
DMA,16877.1244880642,1.517,Dominica
DJI,5590.50426604853,2.858,Djibouti
DNK,66238.705427981,1.73,Denmark
CZE,46301.082036029,1.71,Czechia
CYP,43510.2109375,1.319,Cyprus
CUW,29256.8154066419,1.7,Curacao
HRV,33729.9071211239,1.47,Croatia
CIV,5670.20005356688,4.596,Cote d'Ivoire
CRI,23005.3121471794,1.706,Costa Rica
COG,7029.33651566257,4.442,"Congo, Rep."
COD,1431.7285269693,6.302,"Congo, Dem. Rep."
COM,3457.58685798732,4.208,Comoros
COL,17104.1313545678,1.715,Colombia
CHN,17806.7902349725,1.539,China
CHL,28492.6611456515,1.543,Chile
TCD,2552.37036388576,6.464,Chad
CAF,1125.70091748228,6.108,Central African Republic
CYM,76124.5501254035,1.277,Cayman Islands
CAN,57337.4909099991,1.51,Canada
CMR,4851.48003949961,4.74,Cameroon
KHM,6050.59088262205,2.724,Cambodia
CPV,8531.12961646549,1.804,Cabo Verde
BDI,1046.59511246023,5.38,Burundi
BFA,2316.39432079045,4.921,Burkina Faso
BGR,27691.0089237623,1.73,Bulgaria
BRN,78099.0507802561,1.848,Brunei Darussalam
BRA,17917.7492122925,1.744,Brazil
BWA,17825.018569213,2.941,Botswana
BIH,16349.0675137661,1.504,Bosnia and Herzegovina
BOL,11920.3135079645,2.73,Bolivia
BTN,13854.8543977158,1.517,Bhutan
BMU,95639.2267310584,1.374,Bermuda
BEN,3155.4510650627,5.031,Benin
BLZ,11451.8979413877,2.343,Belize
BEL,59357.6896884394,1.62,Belgium
BLR,26363.4629778536,1.448,Belarus
BRB,20727.4216338412,1.72,Barbados
BGD,6392.59334024091,2.193,Bangladesh
BHR,54893.0724411368,1.911,Bahrain
BHS,33650.2164350935,1.404,"Bahamas, The"
AZE,19781.8509058437,1.73,Azerbaijan
AUT,63778.0257051746,1.47,Austria
AUS,57647.8455068105,1.74,Australia
ABW,39278.8297271438,1.732,Aruba
ARM,15037.0452420712,1.6,Armenia
ARG,27367.115094108,2.067,Argentina
ATG,28878.6067675471,1.371,Antigua and Barbuda
AGO,10000.9443772509,5.519,Angola
AND,63048.5985572834,1.053,Andorra
DZA,15343.4261222434,3.019,Algeria
ALB,16170.990493278,1.415,Albania
AFG,2902.39211285546,5.327,Afghanistan
WLD,19189.0202232249,2.39178620976976,World
UMC,17907.4583841786,1.79875340305992,Upper middle income
TSS,4954.56228767375,4.69665859837338,Sub-Saharan Africa (IDA & IBRD countries)
SSA,5249.943568027,4.73448429228111,Sub-Saharan Africa (excluding high income)
SSF,4954.56228767375,4.69665859837338,Sub-Saharan Africa
TSA,7622.25084211992,2.18134059924297,South Asia (IDA & IBRD)
SAS,7622.25084211992,2.18134059924297,South Asia
SST,21153.1071455937,2.27543779613053,Small states
PRE,4868.45975712931,4.97263035855236,Pre-demographic dividend
PST,54895.8897182902,1.55023452211574,Post-demographic dividend
PSS,7314.62180323215,3.2372619244172,Pacific island small states
OSS,22985.9819466315,2.20951794456377,Other small states
OED,49687.0078076748,1.66596749078517,OECD members
NAC,66672.0445786912,1.70714584622083,North America
MIC,12652.622763287,2.3031709414528,Middle income
TMN,9616.69771490976,3.29738689646707,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)"
MNA,9593.49548105505,3.2999810388616,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)"
MEA,13842.6400835174,3.23367617917511,"Middle East, North Africa, Afghanistan & Pakistan"
LMC,7635.97899988466,2.77808388119518,Lower middle income
LIC,2432.99149398422,4.98416367647104,Low income
LMY,11765.0267871468,2.51597670758104,Low & middle income
LDC,3718.46631552159,4.19438441605187,Least developed countries: UN classification
TLA,18808.4937492869,1.97423907173587,Latin America & the Caribbean (IDA & IBRD countries)
LAC,18164.4680971784,1.97401400762104,Latin America & Caribbean (excluding high income)
LCN,18894.209543149,1.96388556455325,Latin America & Caribbean
LTE,20046.3548203081,1.62886710640177,Late-demographic dividend
IDA,4841.57291525317,4.08721232777325,IDA total
IDX,3943.11112463091,4.03157069774977,IDA only
IDB,6518.91623903896,4.19320589255923,IDA blend
IBT,12588.8584634301,2.51556644541369,IDA & IBRD total
IBD,15352.2585831081,1.97849347116974,IBRD only
HIC,53756.5134637637,1.59899457400703,High income
HPC,3049.71446182911,4.84006960952646,Heavily indebted poor countries (HIPC)
FCS,6406.3832224966,4.4543544536253,Fragile and conflict affected situations
EUU,50706.3680766011,1.54720318584549,European Union
TEC,27855.4925748848,1.85087390989038,Europe & Central Asia (IDA & IBRD countries)
ECA,20399.7570509537,2.07164815334434,Europe & Central Asia (excluding high income)
ECS,41055.44504333,1.71630107428934,Europe & Central Asia
EMU,53607.8350702203,1.52626155235067,Euro area
TEA,16103.5382710721,1.73925892870635,East Asia & Pacific (IDA & IBRD countries)
EAP,15924.7426633518,1.74043475080494,East Asia & Pacific (excluding high income)
EAS,19592.7875603847,1.69915751133178,East Asia & Pacific
EAR,10561.4040343593,2.48215945277498,Early-demographic dividend
CEB,36731.3989449303,1.58380338479332,Central Europe and the Baltics
CSS,24087.8015339711,1.92045221448125,Caribbean small states
ARB,16723.8193619802,3.32426875614683,Arab World
AFW,6016.31221720046,4.96257203669846,Africa Western and Central
AFE,4220.91250168849,4.52145351469467,Africa Eastern and Southern
