country_code,gdp_pc_ppp,tfr,country
ZWE,5415.46976371689,3.744,Zimbabwe
ZMB,3646.95966481655,4.492,Zambia
PSE,6342.9374800852,3.674,West Bank and Gaza
VIR,44205.4071324394,2.06,Virgin Islands (U.S.)
VNM,10936.8937859558,1.88,Viet Nam
VUT,3482.02272525905,3.834,Vanuatu
UZB,8348.96057873127,2.713,Uzbekistan
URY,29757.9388543783,1.681,Uruguay
USA,67719.7656392064,1.7295,United States
GBR,52131.6948248133,1.68,United Kingdom
ARE,72671.0652349751,1.288,United Arab Emirates
UKR,16978.984375,1.233,Ukraine
UGA,2613.87976413963,4.867,Uganda
TUV,4575.86900510424,3.328,Tuvalu
TCA,30286.1196112151,1.677,Turks and Caicos Islands
TKM,14648.135352725,2.875,Turkmenistan
TUR,28780.3036458151,2.0,Turkiye
TUN,13163.1952230357,2.133,Tunisia
TTO,33710.0178540008,1.588,Trinidad and Tobago
TON,6885.10271620406,3.326,Tonga
TGO,2517.34898693009,4.513072,Togo
TLS,4188.84115175127,3.244,Timor-Leste
THA,20879.9027821449,1.323,Thailand
TZA,3392.68872070313,4.932,Tanzania
TJK,3479.69235966041,3.294,Tajikistan
SYR,4956.09296464777,2.932,Syrian Arab Republic
CHE,79261.3563641288,1.52,Switzerland
SWE,60647.449528586,1.76,Sweden
SUR,22938.5353715545,2.381,Suriname
SDN,3816.65991210938,4.681,Sudan
VCT,16139.0661084965,1.9,St. Vincent and the Grenadines
LCA,22981.9179294013,1.436,St. Lucia
KNA,30576.2486749244,1.587,St. Kitts and Nevis
LKA,14759.8248945765,2.033,Sri Lanka
ESP,46325.2099441141,1.26,Spain
ZAF,14553.5615668957,2.27,South Africa
SOM,1504.97908203481,6.662,"Somalia, Fed. Rep."
SLB,2686.11900111375,3.93,Solomon Islands
SVN,43361.094447431,1.6,Slovenia
SVK,36430.7941704195,1.54,Slovak Republic
SXM,42154.1020267504,1.522,Sint Maarten (Dutch part)
SGP,119927.769127927,1.14,Singapore
SLE,2767.38003381598,4.294,Sierra Leone
SYC,32841.4242467381,2.34,Seychelles
SRB,20454.310707953,1.49,Serbia
SEN,3998.28635303406,4.294,Senegal
SAU,61359.4653740388,2.67,Saudi Arabia
STP,5674.72379094011,3.977,Sao Tome and Principe
SMR,59194.0442905609,1.077,San Marino
WSM,6805.0451717529,4.136,Samoa
RWA,2493.44001744938,4.047,Rwanda
RUS,36536.6953125,1.579,Russian Federation
ROU,34829.0402990684,1.76,Romania
QAT,114909.792335472,1.756,Qatar
PRI,41119.3088051648,1.035,Puerto Rico (US)
PRT,39123.6151282571,1.42,Portugal
POL,36500.4114282584,1.46,Poland
PHL,9016.28659637608,2.378,Philippines
PER,15386.2601642505,2.118,Peru
PRY,15592.9841390322,2.561,Paraguay
PNG,4211.1454741469,3.382,Papua New Guinea
PAN,32681.4463581168,2.402,Panama
PLW,19572.3446450452,1.97,Palau
PAK,5255.06350681272,3.855,Pakistan
OMN,38673.6045360857,2.81,Oman
NOR,87338.4708008985,1.56,Norway
MKD,20806.0084013242,1.42,North Macedonia
NGA,8362.62330891339,5.021,Nigeria
NER,1574.33838262666,6.706,Niger
NIC,7049.02753442352,2.347,Nicaragua
NZL,46947.937247914,1.71,New Zealand
NLD,66758.2640145753,1.59,Netherlands
NPL,4371.38571771897,2.12,Nepal
NRU,10401.2803984916,3.683,Nauru
NAM,11214.38604306,3.462,Namibia
MMR,6201.26341429803,2.228,Myanmar
MOZ,1538.83512127022,5.07,Mozambique
MAR,8611.75,2.354,Morocco
MNE,23562.2739681383,1.8,Montenegro
MNG,15230.2408828847,2.9,Mongolia
MDA,13895.5043655692,1.81,Moldova
FSM,3798.59203794112,2.922,"Micronesia, Fed. Sts."
MEX,21997.7730167472,2.03,Mexico
MUS,25324.1785958124,1.42,Mauritius
MRT,6153.63790295218,5.044,Mauritania
MHL,5635.30750426868,3.038,Marshall Islands
MLT,53417.0154946227,1.23,Malta
MLI,2862.40728989634,6.118,Mali
MDV,21072.5805249694,1.71,Maldives
MYS,30459.9655338061,1.838,Malaysia
