country_code,gdp_pc_ppp,forest_pct,country
ZWE,5415.46976371689,45.3320925423291,Zimbabwe
ZMB,3646.95966481655,60.789706614294,Zambia
PSE,6342.9374800852,1.6843853820598,West Bank and Gaza
VIR,44205.4071324394,56.0285714285714,Virgin Islands (U.S.)
VNM,10936.8937859558,46.2346815387217,Viet Nam
VUT,3482.02272525905,36.2838392124692,Vanuatu
UZB,8348.96057873127,8.25712061408984,Uzbekistan
URY,29757.9388543783,11.364415495372,Uruguay
USA,67719.7656392064,33.8669264120375,United States
GBR,52131.6948248133,13.1153639482495,United Kingdom
ARE,72671.0652349751,4.46775556181357,United Arab Emirates
UKR,16978.984375,16.7034863652054,Ukraine
UGA,2613.87976413963,12.070666267704,Uganda
TUV,4575.86900510424,33.3333333333333,Tuvalu
TCA,30286.1196112151,11.0736842105263,Turks and Caicos Islands
TKM,14648.135352725,8.78215904496414,Turkmenistan
TUR,28780.3036458151,28.4660940971636,Turkiye
TUN,13163.1952230357,4.50354016477858,Tunisia
TTO,33710.0178540008,44.64522417154,Trinidad and Tobago
TON,6885.10271620406,12.4305555555556,Tonga
TGO,2517.34898693009,22.3421584850156,Togo
TLS,4188.84115175127,62.1318090114324,Timor-Leste
THA,20879.9027821449,39.0397150071444,Thailand
TZA,3392.68872070313,52.70151275683,Tanzania
TJK,3479.69235966041,3.0391238561856,Tajikistan
SYR,4956.09296464777,2.84310842454937,Syrian Arab Republic
CHE,79261.3563641288,31.9474011778901,Switzerland
SWE,60647.449528586,68.6944981353789,Sweden
SUR,22938.5353715545,94.8290239945632,Suriname
SDN,3816.65991210938,10.0128479657388,Sudan
VCT,16139.0661084965,73.1794871794872,St. Vincent and the Grenadines
LCA,22981.9179294013,34.0491803278688,St. Lucia
KNA,30576.2486749244,42.3076923076923,St. Kitts and Nevis
LKA,14759.8248945765,34.2580499159447,Sri Lanka
ESP,46325.2099441141,37.1566467814769,Spain
ZAF,14553.5615668957,14.1151027541238,South Africa
SOM,1504.97908203481,9.77699493097842,"Somalia, Fed. Rep."
SLB,2686.11900111375,90.1904251518399,Solomon Islands
SVN,43361.094447431,61.674380723466,Slovenia
SVK,36430.7941704195,40.05615640599,Slovak Republic
SXM,42154.1020267504,10.8823529411765,Sint Maarten (Dutch part)
SGP,119927.769127927,22.3109243697479,Singapore
SLE,2767.38003381598,35.6655583264062,Sierra Leone
SYC,32841.4242467381,73.2608695652174,Seychelles
SRB,20454.310707953,31.1227989938258,Serbia
SEN,3998.28635303406,42.3215083363632,Senegal
SAU,61359.4653740388,0.454484134921779,Saudi Arabia
STP,5674.72379094011,55.3541666666667,Sao Tome and Principe
SMR,59194.0442905609,16.6666666666667,San Marino
WSM,6805.0451717529,58.5,Samoa
RWA,2493.44001744938,11.1066072152412,Rwanda
RUS,36536.6953125,49.7843605035639,Russian Federation
ROU,34829.0402990684,30.1158292767733,Romania
QAT,114909.792335472,0.0,Qatar
PRI,41119.3088051648,55.8455467869222,Puerto Rico (US)
PRT,39123.6151282571,36.154994891142,Portugal
POL,36500.4114282584,30.8946010386387,Poland
PHL,9016.28659637608,23.8750041922393,Philippines
PER,15386.2601642505,56.77815625,Peru
PRY,15592.9841390322,41.9353888749056,Paraguay
PNG,4211.1454741469,79.3243386477057,Papua New Guinea
PAN,32681.4463581168,57.1133728767862,Panama
PLW,19572.3446450452,89.6739130434783,Palau
PAK,5255.06350681272,4.94056143628061,Pakistan
OMN,38673.6045360857,0.00840064620355412,Oman
NOR,87338.4708008985,33.3172650284299,Norway
MKD,20806.0084013242,39.7101506740682,North Macedonia
NGA,8362.62330891339,24.1043842023782,Nigeria
NER,1574.33838262666,0.871982316254835,Niger
NIC,7049.02753442352,29.9778128635533,Nicaragua
NZL,46947.937247914,37.4279366526148,New Zealand
NLD,66758.2640145753,10.9186219186219,Netherlands
NPL,4371.38571771897,41.5907220090687,Nepal
NRU,10401.2803984916,0.0,Nauru
NAM,11214.38604306,8.23636871576237,Namibia
MMR,6201.26341429803,44.6197487360196,Myanmar
MOZ,1538.83512127022,47.3361072255144,Mozambique
MAR,8611.75,12.8200537754873,Morocco
MNE,23562.2739681383,61.4869888475836,Montenegro
