country_code,gdp_pc_ppp,forest_pct,country
MNG,15230.2408828847,9.10255545816196,Mongolia
MDA,13895.5043655692,11.7529716925191,Moldova
FSM,3798.59203794112,91.9428571428572,"Micronesia, Fed. Sts."
MEX,21997.7730167472,33.9247408626765,Mexico
MUS,25324.1785958124,19.3740610916375,Mauritius
MRT,6153.63790295218,0.314058406907927,Mauritania
MHL,5635.30750426868,52.2222222222222,Marshall Islands
MLT,53417.0154946227,1.4375,Malta
MLI,2862.40728989634,10.896663634352,Mali
MDV,21072.5805249694,2.73333333333333,Maldives
MYS,30459.9655338061,58.4822401460965,Malaysia
MWI,1638.91665761076,24.6680101824353,Malawi
MDG,1678.78623269491,21.4098315572362,Madagascar
LUX,131733.8846493,34.4538272103664,Luxembourg
LTU,41019.7901632878,35.0950023950184,Lithuania
LBY,16385.164476127,0.123327687918433,Libya
LBR,1647.97443793846,79.7130398671096,Liberia
LSO,2846.41828124649,1.13702239789196,Lesotho
LBN,16290.0516478592,13.8934506353861,Lebanon
LVA,34729.7062763057,54.6876757677536,Latvia
LAO,7775.08574451883,72.2032062391681,Lao PDR
KGZ,5951.82876758606,6.66788321167883,Kyrgyz Republic
KWT,51623.8078622052,0.350729517396184,Kuwait
KOR,48834.4471157733,64.6739130434783,"Korea, Rep."
KIR,2877.60204999231,1.45679012345679,Kiribati
KEN,5017.66784674664,6.25877654107482,Kenya
KAZ,32330.2274546567,1.25799207319332,Kazakhstan
JOR,9311.53116265584,1.09822031989187,Jordan
JPN,44848.4899421798,68.4087791495199,Japan
JAM,10636.0929784551,54.3970452446907,Jamaica
ITA,49133.143527174,31.9848977742309,Italy
ISR,43814.2949977965,6.46950092421442,Israel
IRL,93276.0188154012,11.2355929743069,Ireland
IRQ,14456.2357053224,1.90036118379833,Iraq
IRN,15364.8049052614,6.61140215716487,"Iran, Islamic Rep."
IDN,12262.2310300771,49.7168177792076,Indonesia
IND,7714.33974724531,24.0909595417716,India
ISL,65521.9313424781,0.496280868789051,Iceland
HUN,35798.0412754022,22.5281612973921,Hungary
HND,6219.27973775059,57.2094020913397,Honduras
HTI,3496.87870320748,12.8272859216255,Haiti
GUY,12980.3576003177,93.6436372872746,Guyana
GNB,2373.50158144916,71.0131578947368,Guinea-Bissau
GIN,3455.64512638662,25.5127787725867,Guinea
GTM,11192.372055508,33.1373646883165,Guatemala
GRD,16964.852001696,52.0588235294118,Grenada
GRL,66887.6779268926,0.000535997076379583,Greenland
GRC,32722.3310444029,30.2699767261443,Greece
GHA,6234.51208201488,35.0323459611497,Ghana
DEU,62381.3478772241,32.6836109680005,Germany
GEO,17228.6790847503,40.6159159591308,Georgia
GMB,2651.43281455826,25.1126482213439,"Gambia, The"
GAB,19225.5982575261,91.4128924593472,Gabon
FRA,52560.9536243841,31.7027553576399,France
FIN,56226.337241343,73.7332192682285,Finland
FJI,13100.0959551236,61.6672140120416,Fiji
FRO,66193.3474230922,0.0573065902578797,Faroe Islands
ETH,2311.16511659606,15.2534899740501,Ethiopia
SWZ,9578.10061089805,28.7872093023256,Eswatini
EST,40853.6487755073,57.0385964912281,Estonia
GNQ,20165.4795550607,87.8837789661319,Equatorial Guinea
SLV,10297.203612692,28.6138996138996,El Salvador
EGY,14488.2094340483,0.0451855944547692,"Egypt, Arab Rep."
ECU,14083.5069982304,50.8389837332904,Ecuador
DOM,20662.848586153,44.0471951976816,Dominican Republic
DMA,16877.1244880642,63.8266666666667,Dominica
DJI,5590.50426604853,0.243313201035375,Djibouti
DNK,66238.705427981,15.664,Denmark
CZE,46301.082036029,34.6259551871519,Czechia
CYP,43510.2109375,18.6764069264069,Cyprus
CUW,29256.8154066419,0.157657657657658,Curacao
HRV,33729.9071211239,34.5598956472018,Croatia
CIV,5670.20005356688,9.63044025157233,Cote d'Ivoire
CRI,23005.3121471794,58.7961222091657,Costa Rica
COG,7029.33651566257,64.3513909224012,"Congo, Rep."
COD,1431.7285269693,56.6189541474604,"Congo, Dem. Rep."
COM,3457.58685798732,18.1622783449758,Comoros
COL,17104.1313545678,53.6642451554754,Colombia
CHN,17806.7902349725,23.0309079153534,China
CHL,28492.6611456515,24.2020617476728,Chile
TCD,2552.37036388576,3.60149301143583,Chad
CAF,1125.70091748228,35.8968185174484,Central African Republic
CYM,76124.5501254035,53.375,Cayman Islands
CAN,57337.4909099991,38.7037629425392,Canada
CMR,4851.48003949961,43.2664424277041,Cameroon
KHM,6050.59088262205,47.4719578518015,Cambodia
CPV,8531.12961646549,11.1960297766749,Cabo Verde
BDI,1046.59511246023,10.8894080996885,Burundi
BFA,2316.39432079045,23.0862573099415,Burkina Faso
BGR,27691.0089237623,35.6208548268239,Bulgaria
BRN,78099.0507802561,72.1062618595825,Brunei Darussalam
BRA,17917.7492122925,59.7083800941358,Brazil
BWA,17825.018569213,27.3345331992307,Botswana
BIH,16349.0675137661,42.7326171875,Bosnia and Herzegovina
BOL,11920.3135079645,47.3121388350411,Bolivia
BTN,13854.8543977158,71.3455689564761,Bhutan
BMU,95639.2267310584,18.5185185185185,Bermuda
BEN,3155.4510650627,28.6905817665839,Benin
BLZ,11451.8979413877,56.9649276633056,Belize
BEL,59357.6896884394,22.6051880759519,Belgium
BLR,26363.4629778536,43.0515321706572,Belarus
BRB,20727.4216338412,14.6511627906977,Barbados
BGD,6392.59334024091,14.4687716063609,Bangladesh
BHR,54893.0724411368,0.848329048843188,Bahrain
BHS,33650.2164350935,50.9350649350649,"Bahamas, The"
AZE,19781.8509058437,13.4139303602971,Azerbaijan
AUT,63778.0257051746,47.1639602520601,Austria
AUS,57647.8455068105,17.4213145571644,Australia
ABW,39278.8297271438,2.33333333333333,Aruba
ARM,15037.0452420712,11.5521601685985,Armenia
ARG,27367.115094108,10.5203731515078,Argentina
ATG,28878.6067675471,18.75,Antigua and Barbuda
AGO,10000.9443772509,54.3174059517125,Angola
AND,63048.5985572834,34.0425531914894,Andorra
DZA,15343.4261222434,0.810331601966797,Algeria
ALB,16170.990493278,28.7919708029197,Albania
AFG,2902.39211285546,1.85278199408184,Afghanistan
WLD,19189.0202232249,31.2515001256163,World
UMC,17907.4583841786,29.2977506925327,Upper middle income
TSS,4954.56228767375,26.5884254981686,Sub-Saharan Africa (IDA & IBRD countries)
SSA,5249.943568027,27.1494821325251,Sub-Saharan Africa (excluding high income)
SSF,4954.56228767375,26.5884254981686,Sub-Saharan Africa
TSA,7622.25084211992,25.1907849802839,South Asia (IDA & IBRD)
SAS,7622.25084211992,25.1907849802839,South Asia
SST,21153.1071455937,65.6673105741505,Small states
PRE,4868.45975712931,26.1726245673407,Pre-demographic dividend
PST,54895.8897182902,32.0987240437601,Post-demographic dividend
PSS,7314.62180323215,68.3111457521434,Pacific island small states
OSS,22985.9819466315,29.9017888970529,Other small states
OED,49687.0078076748,32.7521163794694,OECD members
NAC,66672.0445786912,36.2610141497871,North America
MIC,12652.622763287,29.4779137418642,Middle income
TMN,9616.69771490976,2.63617723143213,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)"
MNA,9593.49548105505,2.63560755339638,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)"
MEA,13842.6400835174,2.21144100839568,"Middle East, North Africa, Afghanistan & Pakistan"
LMC,7635.97899988466,29.8984889870299,Lower middle income
LIC,2432.99149398422,21.0093638966808,Low income
LMY,11765.0267871468,27.9597613932821,Low & middle income
LDC,3718.46631552159,26.5315127039277,Least developed countries: UN classification
TLA,18808.4937492869,46.8222116253588,Latin America & the Caribbean (IDA & IBRD countries)
LAC,18164.4680971784,47.1488897319911,Latin America & Caribbean (excluding high income)
LCN,18894.209543149,46.7443529903726,Latin America & Caribbean
LTE,20046.3548203081,39.4998201303943,Late-demographic dividend
IDA,4841.57291525317,26.37174468264,IDA total
IDX,3943.11112463091,25.2982280614028,IDA only
IDB,6518.91623903896,30.835253800064,IDA blend
IBT,12588.8584634301,31.8689626408987,IDA & IBRD total
IBD,15352.2585831081,33.8332636376027,IBRD only
HIC,53756.5134637637,36.0510796953059,High income
HPC,3049.71446182911,27.4527875961795,Heavily indebted poor countries (HIPC)
FCS,6406.3832224966,23.2793048477082,Fragile and conflict affected situations
EUU,50706.3680766011,39.7488789032839,European Union
TEC,27855.4925748848,39.2741558748129,Europe & Central Asia (IDA & IBRD countries)
ECA,20399.7570509537,11.0573734128931,Europe & Central Asia (excluding high income)
ECS,41055.44504333,38.4847788293025,Europe & Central Asia
EMU,53607.8350702203,38.4755940115801,Euro area
TEA,16103.5382710721,30.2474800867242,East Asia & Pacific (IDA & IBRD countries)
EAP,15924.7426633518,30.3978455200357,East Asia & Pacific (excluding high income)
EAS,19592.7875603847,27.1167072640353,East Asia & Pacific
EAR,10561.4040343593,22.9114950315294,Early-demographic dividend
CEB,36731.3989449303,34.5008820276483,Central Europe and the Baltics
CSS,24087.8015339711,89.9140212644238,Caribbean small states
ARB,16723.8193619802,2.84442046915972,Arab World
AFW,6016.31221720046,19.9860995956125,Africa Western and Central
AFE,4220.91250168849,30.6115118196972,Africa Eastern and Southern
