work_id,school,total_food_mentions,text_length_chars,total_per_10k_chars
T1421,Mahīśāsaka,500,346291,14.438723501332694
T1425,Mahāsāṃghika,1535,562940,27.267559597825702
T1428,Dharmaguptaka,1214,748452,16.220145046041697
T1435,Sarvāstivāda,1533,822652,18.634854105988925
T1442,Mūlasarvāstivāda,697,471949,14.768544906335219
pli-tv,Theravāda,321,3880316,0.8272522134795207
