work_id,tradition,title,school,source_dataset,source_url,source_text_path,formation_from,formation_to,translation_dynasty,translation_place,latitude,longitude,region_note,text_length_chars
T1421,Chinese Vinaya translation,彌沙塞部和醯五分律 / Mahīśāsaka Vinaya (Five-Part Vinaya),Mahīśāsaka,CBETA API 2025R3,https://cbdata.dila.edu.tw/stable/download/text/T1421.txt.zip,T1421_001.txt;T1421_002.txt;T1421_003.txt;T1421_004.txt;T1421_005.txt;T1421_006.txt;T1421_007.txt;T1421_008.txt;T1421_009.txt;T1421_010.txt;T1421_011.txt;T1421_012.txt;T1421_013.txt;T1421_014.txt;T1421_015.txt;T1421_016.txt;T1421_017.txt;T1421_018.txt;T1421_019.txt;T1421_020.txt;T1421_021.txt;T1421_022.txt;T1421_023.txt;T1421_024.txt;T1421_025.txt;T1421_026.txt;T1421_027.txt;T1421_028.txt;T1421_029.txt;T1421_030.txt,423,424,劉宋,龍光寺,32.062352,118.801793,"northwest/central India (trad. Mahīśāsaka transmission). Chinese translation metadata is from CBETA /works; Indic association is contextual, not an API geocode.",346291
T1425,Chinese Vinaya translation,摩訶僧祇律 / Mahāsāṃghika Vinaya,Mahāsāṃghika,CBETA API 2025R3,https://cbdata.dila.edu.tw/stable/download/text/T1425.txt.zip,T1425_001.txt;T1425_002.txt;T1425_003.txt;T1425_004.txt;T1425_005.txt;T1425_006.txt;T1425_007.txt;T1425_008.txt;T1425_009.txt;T1425_010.txt;T1425_011.txt;T1425_012.txt;T1425_013.txt;T1425_014.txt;T1425_015.txt;T1425_016.txt;T1425_017.txt;T1425_018.txt;T1425_019.txt;T1425_020.txt;T1425_021.txt;T1425_022.txt;T1425_023.txt;T1425_024.txt;T1425_025.txt;T1425_026.txt;T1425_027.txt;T1425_028.txt;T1425_029.txt;T1425_030.txt;T1425_031.txt;T1425_032.txt;T1425_033.txt;T1425_034.txt;T1425_035.txt;T1425_036.txt;T1425_037.txt;T1425_038.txt;T1425_039.txt;T1425_040.txt,416,416,東晉,天寧寺,32.403425,119.432292,"Andhra / broader early Mahāsāṃghika transmission. Chinese translation metadata is from CBETA /works; Indic association is contextual, not an API geocode.",562940
T1428,Chinese Vinaya translation,四分律 / Dharmaguptaka Vinaya (Four-Part Vinaya),Dharmaguptaka,CBETA API 2025R3,https://cbdata.dila.edu.tw/stable/download/text/T1428.txt.zip,T1428_001.txt;T1428_002.txt;T1428_003.txt;T1428_004.txt;T1428_005.txt;T1428_006.txt;T1428_007.txt;T1428_008.txt;T1428_009.txt;T1428_010.txt;T1428_011.txt;T1428_012.txt;T1428_013.txt;T1428_014.txt;T1428_015.txt;T1428_016.txt;T1428_017.txt;T1428_018.txt;T1428_019.txt;T1428_020.txt;T1428_021.txt;T1428_022.txt;T1428_023.txt;T1428_024.txt;T1428_025.txt;T1428_026.txt;T1428_027.txt;T1428_028.txt;T1428_029.txt;T1428_030.txt;T1428_031.txt;T1428_032.txt;T1428_033.txt;T1428_034.txt;T1428_035.txt;T1428_036.txt;T1428_037.txt;T1428_038.txt;T1428_039.txt;T1428_040.txt;T1428_041.txt;T1428_042.txt;T1428_043.txt;T1428_044.txt;T1428_045.txt;T1428_046.txt;T1428_047.txt;T1428_048.txt;T1428_049.txt;T1428_050.txt;T1428_051.txt;T1428_052.txt;T1428_053.txt;T1428_054.txt;T1428_055.txt;T1428_056.txt;T1428_057.txt;T1428_058.txt;T1428_059.txt;T1428_060.txt,408,408,姚秦,中寺,36.2752,114.389,"Gandhāra / northwest India (Dharmaguptaka transmission). Chinese translation metadata is from CBETA /works; Indic association is contextual, not an API geocode.",748452
T1435,Chinese Vinaya translation,十誦律 / Sarvāstivāda Vinaya (Ten-Recitation Vinaya),Sarvāstivāda,CBETA API 2025R3,https://cbdata.dila.edu.tw/stable/download/text/T1435.txt.zip,T1435_001.txt;T1435_002.txt;T1435_003.txt;T1435_004.txt;T1435_005.txt;T1435_006.txt;T1435_007.txt;T1435_008.txt;T1435_009.txt;T1435_010.txt;T1435_011.txt;T1435_012.txt;T1435_013.txt;T1435_014.txt;T1435_015.txt;T1435_016.txt;T1435_017.txt;T1435_018.txt;T1435_019.txt;T1435_020.txt;T1435_021.txt;T1435_022.txt;T1435_023.txt;T1435_024.txt;T1435_025.txt;T1435_026.txt;T1435_027.txt;T1435_028.txt;T1435_029.txt;T1435_030.txt;T1435_031.txt;T1435_032.txt;T1435_033.txt;T1435_034.txt;T1435_035.txt;T1435_036.txt;T1435_037.txt;T1435_038.txt;T1435_039.txt;T1435_040.txt;T1435_041.txt;T1435_042.txt;T1435_043.txt;T1435_044.txt;T1435_045.txt;T1435_046.txt;T1435_047.txt;T1435_048.txt;T1435_049.txt;T1435_050.txt;T1435_051.txt;T1435_052.txt;T1435_053.txt;T1435_054.txt;T1435_055.txt;T1435_056.txt;T1435_057.txt;T1435_058.txt;T1435_059.txt;T1435_060.txt;T1435_061.txt,404,404,後秦,石澗寺,32.5747,116.786,"Kashmir / northwest India (Sarvāstivāda transmission). Chinese translation metadata is from CBETA /works; Indic association is contextual, not an API geocode.",822652
T1442,Chinese Vinaya translation,根本說一切有部毘奈耶 / Mūlasarvāstivāda Vinaya,Mūlasarvāstivāda,CBETA API 2025R3,https://cbdata.dila.edu.tw/stable/download/text/T1442.txt.zip,T1442_001.txt;T1442_002.txt;T1442_003.txt;T1442_004.txt;T1442_005.txt;T1442_006.txt;T1442_007.txt;T1442_008.txt;T1442_009.txt;T1442_010.txt;T1442_011.txt;T1442_012.txt;T1442_013.txt;T1442_014.txt;T1442_015.txt;T1442_016.txt;T1442_017.txt;T1442_018.txt;T1442_019.txt;T1442_020.txt;T1442_021.txt;T1442_022.txt;T1442_023.txt;T1442_024.txt;T1442_025.txt;T1442_026.txt;T1442_027.txt;T1442_028.txt;T1442_029.txt;T1442_030.txt;T1442_031.txt;T1442_032.txt;T1442_033.txt;T1442_034.txt;T1442_035.txt;T1442_036.txt;T1442_037.txt;T1442_038.txt;T1442_039.txt;T1442_040.txt;T1442_041.txt;T1442_042.txt;T1442_043.txt;T1442_044.txt;T1442_045.txt;T1442_046.txt;T1442_047.txt;T1442_048.txt;T1442_049.txt;T1442_050.txt,702,703,唐,西明寺,34.236717,108.914578,"north India / Kashmir-linked Mūlasarvāstivāda transmission. Chinese translation metadata is from CBETA /works; Indic association is contextual, not an API geocode.",471949
pli-tv,Pāli Vinaya root text,Theravāda Vinayapiṭaka (SuttaCentral Bilara root text),Theravāda,SuttaCentral bilara-data published branch,https://github.com/suttacentral/bilara-data/tree/published/root/pli/ms/vinaya,422 root/pli/ms/vinaya JSON files,,,,Sri Lanka (textual redaction/preservation convention),7.8731,80.7718,Pāli Vinaya root text; coordinates are country centroid for Sri Lanka and should not be read as a precise composition site.,3880316
