country,n,y_start,y_end,alpha,mu_E_static,mu_X_static,mu_E0,mu_E1,mu_X0,mu_X1,M0_A_mape,M0_A_dw,M0_B_rmse,M0_B_r2,M1_A_mape,M1_A_dw,M1_B_rmse,M1_B_r2,M2_A_mape,M2_A_dw,M2_B_rmse,M2_B_r2
Australia,60,1960,2019,0.3680407404899597,14.0,66.0,14.0,0.04,67.0,-0.04,2.3474929295242704,1.0218118178546738,1.5604923196881268,0.18948815973885236,3.120227143203531,0.8256472173456815,1.5839872281333853,0.1648981543523258,3.260021565430842,0.8314469130532377,1.5822310424762658,0.16674890269474074
Austria,60,1960,2019,0.3871033191680908,14.0,55.0,14.0,-0.04,55.0,0.12,2.388812285128641,0.7718668502882328,1.474259825304907,0.4099183346486863,2.46591512444141,0.7798386951827369,1.4921928225968506,0.3954754360474363,1.9042507537705096,0.7768709202121924,1.4807211676778775,0.4047346150088027
Belgium,60,1960,2019,0.37103450298309326,14.0,55.0,14.0,-0.04,55.0,-0.04,2.7637639293424834,0.8157986809477571,1.6355832462211637,0.24600499084174288,3.1047111931077778,0.7425606769224343,1.6783503581675063,0.2060586603290233,3.143133389026835,0.7474429617184811,1.6684836562974088,0.2153660810277237
Canada,60,1960,2019,0.30249160528182983,14.0,63.0,14.0,-0.04,65.0,-0.04,1.8190460845824634,0.5896426135861622,1.3488306900544573,0.5812062966201381,2.754418944188046,0.6137126900717883,1.736902682141149,0.3055575875354596,2.723207717735587,0.6114439341419483,1.7255416035744597,0.3146125701869811
Chile,60,1960,2019,0.53184974193573,24.0,55.0,22.0,0.07999999999999999,55.0,0.0,4.171658271607725,0.7491337316575025,3.840509105097214,0.3366144242382326,4.889728874760879,0.7790294081394789,4.403640740951529,0.1278078207557396,4.950656535620567,0.7872580822442158,4.40410281455607,0.12762477306765996
China,60,1960,2019,0.41523391008377075,14.0,69.0,14.0,0.04,69.0,-0.04,4.791042162445119,0.6193704934540798,4.780179669168878,0.1187911206296024,4.515779038827251,0.660601457251837,4.798919709324399,0.11186825950206347,4.519833244621937,0.6526428122357034,4.790457724275087,0.11499760194189723
Colombia,60,1960,2019,0.5214959979057312,14.0,69.0,14.0,-0.04,63.0,0.12,1.6850644566345903,1.0482578864015824,1.6510314428780486,0.39602809042169484,2.198758095177608,0.7814705550383473,1.847077223097932,0.2440794400395896,2.0907347215396133,0.7852909578613686,1.8395970984568615,0.25018955892451955
Costa Rica,60,1960,2019,0.42360860109329224,14.0,71.0,14.0,0.04,67.0,0.12,2.8049973241792823,0.7834883486226342,2.505779162253825,0.254083257785916,2.775716029081153,0.8864620251102486,2.7197512920597644,0.12125442358943284,2.730690954952155,0.8778949960326394,2.7106798292335035,0.12710658644224615
Czech Republic,30,1990,2019,0.4774419665336609,24.0,71.0,22.0,0.07999999999999999,69.0,0.12,5.3866613938406775,0.609170217579262,3.4178584601649775,0.14931601853535503,6.003141870314821,0.5082223403267977,3.8302174310528945,-0.06833378851343608,6.055600723610221,0.5096614013269029,3.8388607006051214,-0.07316083328530065
Denmark,60,1960,2019,0.36073189973831177,18.0,68.0,16.0,0.07999999999999999,69.0,-0.04,3.0220491728442402,0.9129341028567767,1.586435431554738,0.5012200942712006,3.4266119399000274,0.8189968175186565,1.890827630261726,0.29145403866735287,3.803299510765992,0.8114688550109557,1.8845995192622245,0.2961140458462237
