country,n,y_start,y_end,alpha,mu_E_static,mu_X_static,mu_E0,mu_E1,mu_X0,mu_X1,M0_A_mape,M0_A_dw,M0_B_rmse,M0_B_r2,M1_A_mape,M1_A_dw,M1_B_rmse,M1_B_r2,M2_A_mape,M2_A_dw,M2_B_rmse,M2_B_r2
Estonia,30,1990,2019,0.40406036376953125,22.0,59.0,22.0,0.07999999999999999,59.0,0.12,7.025823701036085,0.7319217287968941,5.627332954522499,0.450251120709554,8.809608556487765,0.5785161959195712,6.684973605888228,0.22418437424824533,8.62608193807737,0.5810858362072726,6.667565068203007,0.22821976194184102
Finland,60,1960,2019,0.36187732219696045,16.0,65.0,18.0,-0.04,67.0,-0.04,3.2617570106220497,1.0122860547702017,2.0524695515202835,0.5414431649139606,3.344601615490675,0.9237764987128577,2.722784018722049,0.19301379476562774,3.3075351490888028,0.9137020086765895,2.716892684904823,0.19650219611486341
France,60,1960,2019,0.357707679271698,14.0,55.0,14.0,-0.04,55.0,0.07999999999999999,3.098240458582243,0.86209388860981,1.549328092289094,0.39707728793873864,3.0475434222947526,0.86106763768347,1.5498093627970075,0.39670265587836184,2.613695068105027,0.8569009887830981,1.5418268434973368,0.4029013929406706
Germany,60,1960,2019,0.34734076261520386,24.0,59.0,20.0,0.04,55.0,0.12,2.7790071692164906,1.1229805952815861,1.543969226499529,0.47301577619798574,2.7429938064452277,0.9527206188841113,1.564815710912088,0.45868915301053903,2.3203849303419433,1.0350536469531297,1.5623728608521674,0.4603779257720486
Greece,60,1960,2019,0.4959757924079895,24.0,71.0,22.0,-0.04,69.0,-0.04,4.854415319289163,0.6156361066347608,3.7863390323125627,0.32819328246142465,4.785233675499204,0.765935690126944,3.9046244736142404,0.28556308049059986,4.815575357213927,0.7395678399407667,3.9044763049080013,0.2856173009086135
Hungary,50,1970,2019,0.37793296575546265,24.0,58.0,20.0,0.07999999999999999,59.0,-0.04,3.545303662328761,0.7153455363436115,2.8730846365457343,0.3068379594149254,4.246957738664558,0.5829953810156139,3.252462153711587,0.11169432754603692,4.7277049532184945,0.5679615238006858,3.2506037284232145,0.1127091759948401
Iceland,60,1960,2019,0.3751533627510071,15.0,63.0,14.0,0.04,61.0,0.07999999999999999,4.412785304789369,0.7477861570518766,3.2697987768068257,0.25869445825319337,4.79246313049735,0.7562608439937516,3.527191820841305,0.13739226093561108,4.741966409079621,0.7583316812637206,3.5250479456097596,0.13844055172230962
Ireland,60,1960,2019,0.48513084650039673,14.0,63.0,16.0,-0.04,65.0,-0.04,5.207235798954058,0.6889160742189947,3.269097014973292,0.31194796326174246,5.67497751504861,0.5545768466498371,3.679346044983444,0.12842063914718216,5.631180256635037,0.5482470985095347,3.675893753374683,0.13005545927329243
Israel,60,1960,2019,0.4247854948043823,14.0,71.0,14.0,-0.04,69.0,-0.04,2.227612310033412,1.1296548880425192,2.785526990122757,0.29740824942194033,2.6887218497595304,1.1330617839636261,2.8090700784705,0.2854815424190644,2.6472403652880647,1.1434879845972845,2.8078025034159872,0.28612624077156623
Italy,60,1960,2019,0.4433935880661011,14.0,55.0,14.0,-0.04,55.0,-0.04,2.7690463453130287,0.6273709790408046,2.1928936779199013,0.40095921720787364,2.4542198320602555,0.6778028468633606,2.1917594496176602,0.4015787395326428,2.4524115848504517,0.6634715656738636,2.174835804774772,0.41078446629645815
Japan,60,1960,2019,0.40544819831848145,15.0,55.0,16.0,-0.04,55.0,-0.04,2.9517581793242043,0.5601822130985141,1.8287634912473312,0.744972642570957,3.633989002444604,0.5867973543481738,1.779101667563826,0.7586355978288295,3.647610884946182,0.586344746217522,1.7469204842546797,0.7672884389647401
Latvia,30,1990,2019,0.47641581296920776,14.0,55.0,14.0,-0.04,55.0,-0.04,11.956396465636466,0.5248001420493288,9.213514902137657,0.24910517555074319,14.643578298563293,0.4741787268301763,10.291539331426423,0.06310892456013995,14.684713876901872,0.474577887512268,10.287586526746027,0.06382847410710246
Lithuania,30,1990,2019,0.48950713872909546,22.0,71.0,22.0,0.07999999999999999,69.0,0.12,8.993362991874493,0.4799721733030258,7.090062907987947,0.25839541708592284,10.964370320992607,0.44102326095380073,7.943327535645762,0.06915543117766898,10.912789798924955,0.44499011583712966,7.927614066352207,0.07283457701114693
Luxembourg,60,1960,2019,0.44890499114990234,24.0,55.0,22.0,0.07999999999999999,55.0,-0.04,3.180893822288813,0.9668081508389375,3.278571624368952,-0.05716117733709436,3.4991027156318224,1.0358255308213742,3.3888124224165552,-0.12944975411280923,3.624075284026365,1.0487133442195946,3.3810609020972175,-0.12428868961423722
Mexico,60,1960,2019,0.5930420160293579,14.0,55.0,14.0,-0.04,55.0,0.12,2.951337012726102,0.6523568433310308,2.6131482867885314,0.4481469775104281,2.9513549135727226,0.6035555418643417,2.781914696966638,0.37456391702855085,2.905676336663886,0.6334281814069548,2.777162077016247,0.37669908022042864
Netherlands,60,1960,2019,0.33458107709884644,19.0,57.0,18.0,0.07999999999999999,55.0,0.04,3.0155653328671375,1.08190104399166,2.2337262420345034,-0.09536803818194262,3.7124695031625508,1.0806694083104194,2.648105486949119,-0.5394682416427043,3.916454087685093,1.073954388309279,2.639292225620795,-0.5292381670960988
New Zealand,60,1960,2019,0.4153766632080078,14.0,68.0,14.0,0.07999999999999999,67.0,0.12,2.3212033074627914,0.9373497617649323,2.675674684957907,0.08201042014906146,2.722739617705452,0.9571354308290242,2.6813729086538483,0.07809628216853925,2.67247557531583,0.9864598399695945,2.6783899878881456,0.08014630372372356
Norway,60,1960,2019,0.45084941387176514,14.0,63.0,18.0,0.07999999999999999,65.0,-0.04,3.7122984195535835,0.8136003915799872,1.7003044996945806,0.0687889162436055,4.101191294185889,0.7722097115858174,1.7923169463973048,-0.03472359000142755,4.343790745895857,0.7772780960664021,1.772346638359416,-0.011793907479733745
Poland,50,1970,2019,0.3924822211265564,17.0,61.0,16.0,0.07999999999999999,61.0,0.12,3.961619368978739,0.7054367077580714,3.6028824125346937,0.2735847011937511,4.400226249016806,0.7028846415369944,4.0691334927647596,0.07340771278361247,4.273293610025787,0.6817821691821084,4.044040142876363,0.08480061102965941
Portugal,60,1960,2019,0.3651309609413147,14.0,71.0,14.0,-0.04,55.0,-0.04,3.0126024918647536,0.5981536037497907,2.8108445412839678,0.2633058029188894,3.6288468128588955,0.6938398502255007,3.002002510161862,0.15969741928057302,3.807838103248715,0.6289080611308958,2.9869171477767287,0.16812140902867312
Republic of Korea,60,1960,2019,0.4299697279930115,14.0,55.0,14.0,-0.04,57.0,-0.04,4.967745121970641,0.9882205656314647,2.487516689626614,0.5653964515394165,6.361221877747826,0.9404838394915562,2.765776253877063,0.4627265887805222,6.341833884418644,0.941623659478535,2.755111340070197,0.4668620839340637
Slovakia,30,1990,2019,0.4580281376838684,23.0,65.0,22.0,0.07999999999999999,69.0,0.12,6.065289880030599,0.7375398893721969,3.797221133346957,0.40118691441821086,6.752246306104912,0.6770622185507432,4.74834956522176,0.0636356498550843,6.710949021461472,0.681675253817053,4.7429007359790685,0.06578341172741742
Slovenia,30,1990,2019,0.3352207541465759,17.0,61.0,14.0,0.04,61.0,0.04,5.434384878790344,0.6461933185279047,2.9253341791496603,0.4095217490400479,6.249445971602189,0.5910550827503948,3.8734082034482626,-0.0352362504107433,6.303648430221933,0.6003527922521621,3.8715788374865467,-0.034258621075892615
Spain,60,1960,2019,0.3832828998565674,14.0,70.0,14.0,-0.04,55.0,-0.04,3.1881670326638476,0.6051142926197725,2.0152583524236163,0.5436233188706725,3.6134762273918946,0.5521355421899606,2.482813492571666,0.3072920373995548,3.964098960010978,0.5065153625392216,2.464300195875033,0.3175839867034086
Sweden,60,1960,2019,0.42197269201278687,14.0,69.0,14.0,-0.04,69.0,-0.04,3.0299389761892734,0.6561588238739553,1.590490187654476,0.41699155049286996,3.1464180632268794,0.7277225580614872,1.9226079636018398,0.14808878709312112,3.131076964985381,0.7271874578362367,1.9168541748125256,0.15318018647827147
Switzerland,60,1960,2019,0.3182743787765503,14.0,71.0,14.0,-0.04,55.0,0.12,1.7642128457719028,0.6884873356635984,1.5588200242628998,0.524754178409186,2.339857990028336,0.6158434960051989,2.0178457755462778,0.2036530976988945,2.226669323324308,0.5874154639916186,2.0130043054028532,0.20746990521636588
Turkey,60,1960,2019,0.6000000238418579,23.0,71.0,14.0,0.07999999999999999,67.0,0.12,2.834457164162722,1.2335736416377578,3.521398688914925,0.1467313809058587,2.845604256236141,1.3897666099854236,3.374448573339605,0.21646030159588214,2.776357299870171,1.324685741741526,3.371170444505038,0.2179819110728637
United Kingdom,60,1960,2019,0.43281567096710205,19.0,63.0,22.0,0.07999999999999999,65.0,-0.04,2.051168775453008,0.994234555971893,1.6009736814494506,0.3946270933130892,2.538125091864781,0.7810792882545805,1.7133235530787143,0.30668057921839564,2.9126644726056425,0.7575723331379115,1.7073809986097934,0.31148170774056483
United States,60,1960,2019,0.38360995054244995,14.0,61.0,14.0,-0.04,63.0,-0.04,2.6273569492849234,0.8087335689509989,1.0216022729396788,0.7311593258746103,3.458424040808118,0.6636591393980736,1.440018356310702,0.46584495925717384,3.4214494358800653,0.6625665744487812,1.4373855664790869,0.467796368231883
