country,n,y_start,y_end,alpha,mu_star,mu0,mu1,M0_A_mape,M0_A_dw,M0_B_rmse,M0_B_r2,M0_C_rmseK,M1_A_mape,M1_A_dw,M1_B_rmse,M1_B_r2,M1_C_rmseK,M2_A_mape,M2_A_dw,M2_B_rmse,M2_B_r2,M2_C_rmseK
Australia,70,1950,2019,0.36110738345554894,2.2452295649295877,2.25,0.020000000000000004,2.6818207308264013,1.161612784004741,2.2720353245054765,-0.0749960083291894,0.03886638132043215,2.7798946824275568,1.0579546214205238,2.1699396613312176,0.01944488709532488,0.05340696000980035,2.8042915597455034,1.0569683923268351,2.1696197581615597,0.019733982291758267,0.06094058509483912
Austria,70,1950,2019,0.38423703823770794,0.021497078565742803,0.05,0.039999999999999994,3.7828839290971485,0.6835724288005902,2.2174718767657833,0.10406385572836663,0.2637387745923682,3.7829623305797657,0.6834908253050928,2.21792464984641,0.103697946075469,0.2645927455674956,3.8147271356360557,0.6912713942332758,2.2105248739131578,0.10966872628415247,0.2963710064891073
Belgium,70,1950,2019,0.36879603437014985,0.19005190424780793,0.05,0.039999999999999994,3.432795392111778,0.9637392006019663,1.821056744234458,0.02392937072082002,0.1596855332684321,3.4333621676371195,0.9589523111594725,1.8201346156644747,0.024917626286232508,0.16591060861955004,3.4506109164566237,0.956336579731226,1.8054854444872661,0.040550169299473526,0.18828168769607115
Canada,70,1950,2019,0.292327287367412,0.17747461798260275,0.05,0.08,2.704018805666227,0.7432328928941384,1.8237568269510844,0.3809096158729164,0.06089622712796622,2.704162453715932,0.7365677362391342,1.821398795796892,0.3825094899823529,0.06806915721324469,2.746147224809704,0.7421764857351544,1.8085217239869111,0.39120979404286904,0.11797587006371893
Chile,69,1951,2019,0.5306073116219562,0.5861894182963105,0.05,0.12,4.202098615134182,0.9897589221723442,4.4334531172380025,0.12071262491273793,0.3203273894332554,4.353078560963759,0.9548855527865375,4.419859932406173,0.12609623552092641,0.34647303256538736,4.6775513877455195,0.9215865607941963,4.396292189343303,0.13539111294983097,0.43597812174973066
China,68,1952,2019,0.4143631107666913,5.988502921434257,5.0,-0.08,6.48145932926501,0.5477997934464676,5.724541038627103,-0.1341732137425531,0.3564016567351889,6.176840722805728,0.6730382712638402,5.6043528060914785,-0.08704863339032087,0.27732295272195223,5.992766744294762,0.6565018716432796,5.598228253878963,-0.08467403331973467,0.21006004901831657
Colombia,70,1950,2019,0.5218912414142063,0.40219196213461955,0.6000000000000001,0.0,2.294898219229258,0.8794769122348053,2.0673912427967855,0.1089728184702965,0.06972484533003143,2.2965712957226385,0.8645845705469611,2.047379674235811,0.12613894861737573,0.05545415155420446,2.3051768965154347,0.8636241502446931,2.0498683537506937,0.12401322481264332,0.049779233620336566
Costa Rica,70,1950,2019,0.42373903564044413,0.021497078565742803,0.05,-0.020000000000000004,4.400503795984237,0.594172600271964,3.5822426667866494,-0.09746137452210535,0.17539294992145188,4.403208662311995,0.5940415441495737,3.5850156214004856,-0.09916108540971491,0.17661038743595034,4.40170917995946,0.5939333690260491,3.5833513702769255,-0.09814080786203494,0.1760823531796303
Czech Republic,30,1990,2019,0.4774419764677683,5.989365582861284,5.0,0.12,5.902796519048899,0.6676752651223699,3.418445731469328,0.14902365697772524,0.16106075667480033,6.160647171504207,0.683400903627848,3.24763335748039,0.23194186313377163,0.279453203262583,6.182353365102012,0.6840281414390017,3.2496886669171157,0.23096940320292847,0.28059509512677144
Denmark,70,1950,2019,0.3603947068963732,0.5567846378855854,0.05,0.08,3.872343624741801,0.784462840068319,1.9863076801099635,0.288305963259725,0.08419351429963748,3.8833651129699907,0.7663784278195876,1.969495933273476,0.3003022778894068,0.1039884290191451,3.922579004019089,0.7865525877925795,1.9553029333780454,0.31035056158937047,0.13015463581204076
