country,n,y_start,y_end,alpha,mu_star,mu0,mu1,M0_A_mape,M0_A_dw,M0_B_rmse,M0_B_r2,M0_C_rmseK,M1_A_mape,M1_A_dw,M1_B_rmse,M1_B_r2,M1_C_rmseK,M2_A_mape,M2_A_dw,M2_B_rmse,M2_B_r2,M2_C_rmseK
Estonia,30,1990,2019,0.40406034787495926,5.989791931846012,5.0,0.12,7.71131259284721,0.7503878700192923,6.0429671208545805,0.3660433068955904,0.1052442450944221,7.934986436763633,0.7688412726155337,5.84905966265434,0.40607551271907694,0.25981101043386584,7.967365117715324,0.7666063169512725,5.85552372388792,0.404762041531309,0.26396951742504
Finland,70,1950,2019,0.3541393646172115,1.6675704573030465,0.05,0.12,3.406400966279202,1.0933772818522387,2.4829618935339037,0.3843869857647938,0.04049939879619428,3.428113467677765,1.0261544415154684,2.4921963226933723,0.37979939537840124,0.05487066888957689,3.4279816073524656,1.10085876605118,2.4348804282563448,0.4079982900381156,0.036846727244169444
France,70,1950,2019,0.3527827262878418,0.021497078565742803,0.05,-0.08,4.298624274699185,0.8664712617107432,1.9647027428052157,0.08009990505599884,0.14821768283676817,4.298203907593929,0.8662426116148454,1.9653560757693176,0.07948800487421903,0.14895795406592552,4.298397726608323,0.8663655881128512,1.9650072394321858,0.07981474417551937,0.14856197773425003
Germany,70,1950,2019,0.3451319396495819,0.021497078565742803,0.05,-0.08,3.79405959274424,0.81712106945632,1.8351035385452832,0.589913161638111,0.07042459214686599,3.791925862722926,0.8161568200210717,1.8373832277062556,0.5888936538224787,0.06963307022071878,3.7930619563757095,0.8166753893551657,1.8361650774709886,0.5894385845455474,0.07005538329501954
Greece,69,1951,2019,0.49804137582364294,0.021497078565742803,1.1500000000000001,-0.08,5.522296040950713,0.7574498192146871,4.113895047736716,0.15920230526847123,0.1022089745576301,5.526216882660132,0.7574925676595513,4.114842651340175,0.1588149182895533,0.10272847065455049,5.539545927677384,0.7538414349957777,4.107978924596406,0.16161884042007924,0.10658166551147975
Hungary,50,1970,2019,0.37793298602104186,0.021497078565742803,0.05,-0.08,4.103881560819999,0.7169483273983409,3.017935028588889,0.23518269888332477,0.23274713752304674,4.105465721106205,0.7164669984607585,3.0201768457535882,0.23404601611218168,0.23330290978461832,4.104618538511608,0.7167287485097671,3.0189824989818255,0.2346516983819661,0.23300540672430772
Iceland,70,1950,2019,0.37374101536614557,0.5896563957282637,1.1500000000000001,-0.020000000000000004,5.190750316551794,0.61041368632831,3.6980035663311295,0.16126116760193066,0.20592632846170364,5.296654823866449,0.5877476347098538,3.6831378769104166,0.16799094473619236,0.22919381992172302,5.250239876412538,0.578799519952024,3.658192705839923,0.17922284832487,0.23800817073300265
Ireland,70,1950,2019,0.4793138384819031,5.988502921434257,5.0,0.12,4.933591629566193,0.7853549418772543,3.3842158133298836,0.28868390680456335,0.25949713600395247,5.299393543080853,0.7093757944355912,3.362349198813386,0.29784633938984006,0.4507028951746915,5.335001266067365,0.7174073351645329,3.356080015089606,0.30046226431992584,0.4706040729511165
Israel,70,1950,2019,0.42368098752839223,0.021497078565742803,0.05,0.12,4.115499679883118,0.8887134106526708,4.141500076276569,0.16907620724259242,0.09242488189934722,4.115567531778137,0.8886849714213162,4.144856554963777,0.16772881711182264,0.09339227761901812,4.191540370792037,0.9163449736213893,4.12545637058641,0.17550154827931874,0.18910334769099413
Italy,70,1950,2019,0.43799737649304527,0.021497078565742803,0.05,-0.08,3.431163574894295,0.9433165696312145,2.5477306534694764,0.22204977456696307,0.2558565380007185,3.4313294059204393,0.9433546610858209,2.5487674932956277,0.22141644709431052,0.2566201356914366,3.431234671367326,0.9433355331384328,2.5482161519061535,0.22175325216605135,0.2562116270324762
Japan,70,1950,2019,0.40173733830451963,0.021497078565742803,0.05,-0.08,3.6427357161277096,0.7970242608785253,2.3500611698755973,0.6165046375637504,0.07442979327421644,3.644694487512354,0.7966100596563429,2.3534180041988266,0.6154082832856489,0.07540550160898789,3.643648822955177,0.7968305183184651,2.3516214993368196,0.615995222942856,0.0748823404835134
Latvia,30,1990,2019,0.47641586860020957,5.988502921434257,5.0,0.12,12.906869509288926,0.5357166611134941,9.657724553823577,0.17495420467963685,0.09761762563009348,13.004864995231099,0.539818806426796,9.500486835696027,0.20160070139202557,0.17264101926679945,13.026314533587694,0.5398065118607969,9.505471636315784,0.20076265898808898,0.17514957955474958
Lithuania,30,1990,2019,0.4895071436961492,5.988502921434257,5.0,0.12,9.4106791272876,0.5456018121440781,7.3662522988293455,0.19949249648614387,0.15967776586550056,9.691506103426253,0.5743118503804939,7.152294296906344,0.24531975779795168,0.28651125832264546,9.74098347081465,0.5737925715870852,7.161529585569292,0.24336956130233045,0.28982639695207313
Luxembourg,70,1950,2019,0.4496406487056187,3.3429224792330428,3.35,0.0,2.8262561528406986,1.1291840890569702,3.3299814222700714,-0.08307733627232294,0.11828068355867988,2.723735133819272,1.135430127409921,3.177693775661008,0.013720665284183475,0.20721445194568364,2.7237913199318986,1.135321458369705,3.1776938391740805,0.013720625858338442,0.20737397590359838
Mexico,70,1950,2019,0.5900232276746205,0.021497078565742803,0.05,0.039999999999999994,4.5164662951593,0.6152373175061792,3.4426040298946963,0.08571204514627906,0.3698425210660461,4.523013738866468,0.6142693927996269,3.445327854514362,0.08426468424225053,0.3708428564641003,4.664482494266873,0.5748301056229096,3.4437040482949572,0.08512766527207727,0.4084540097329779
Netherlands,70,1950,2019,0.32550668290683205,0.02093237359134441,0.05,0.039999999999999994,3.882297386774506,0.8391332329827796,2.258185590822307,0.13170104502803215,0.17420523973254587,3.8826513344625404,0.8385285049438075,2.258329833359723,0.1315901155764686,0.17491972645490453,3.9037348427962844,0.8356995101500606,2.2547773212758453,0.13432010662787974,0.19908033048013232
New Zealand,70,1950,2019,0.4091075267110552,5.993298142059523,5.0,0.12,3.0286748853216183,0.8833828759090455,3.44342460773407,-0.14031374427162557,0.33127639476194914,2.9734297253009734,0.8800496190857438,3.20049376623677,0.01490713675429145,0.20107903078329767,2.958100658099036,0.8919272091953485,3.19793303761272,0.0164828600787309,0.19362677798832426
Norway,70,1950,2019,0.4438353674752372,0.4147964580251315,0.05,0.08,4.008825904016973,0.833807301312128,1.7400987378800046,-0.010172367381084735,0.04527242526212829,4.015724309254941,0.8235619208093706,1.7245783287160237,0.0077672686752106035,0.05403896973164467,4.030112967697097,0.8511583477211209,1.6670997160224292,0.07280548137472997,0.07320787112554022
Poland,50,1970,2019,0.3924822247028351,0.021497078565742803,0.05,-0.08,4.49495162447189,0.8035175658791748,4.014482220453875,0.09813011922620885,0.18616998092060183,4.496686435848774,0.8038591422726064,4.016641737301788,0.09715956963409178,0.18549084550206874,4.4957637763194285,0.8036771840652431,4.015496400863227,0.09767438209750612,0.18585328065916573
Portugal,70,1950,2019,0.36397330250058857,0.021497078565742803,0.05,-0.08,4.552743064662635,0.7824069106221541,3.350652040087802,-0.10615585978997033,0.4991522403982978,4.556644954825031,0.7823008169616021,3.3516145990719615,-0.1067914932038112,0.5000617960515992,4.554561275451814,0.782358070341901,3.3511044473407496,-0.10645458774635852,0.4995753794562307
Republic of Korea,67,1953,2019,0.42195217244660677,1.0163415387452626,0.05,0.08,5.988265622840715,0.7774127999360809,2.8564325847952756,0.4200648444249605,0.19712619444242022,6.055129121748792,0.7636143238619312,2.847706080219523,0.42360287738399016,0.2621381369460932,6.2209379663675515,0.781698383768009,2.821091469826857,0.43432652512229764,0.3456497527612985
Slovakia,30,1990,2019,0.4580281525850296,4.999687474872368,5.0,0.039999999999999994,7.0675451399093685,0.741204374155196,4.00826757633997,0.3327740711225896,0.2757210038123932,7.547473544268151,0.7155047964961916,3.8012411903604395,0.399918335673347,0.4028047371584133,7.579557353419138,0.7161575230441347,3.801054200324284,0.3999773724598066,0.4079283716771028
Slovenia,30,1990,2019,0.33522077997525535,0.6494950068232981,1.1500000000000001,-0.08,6.286825810436682,0.6524291466457044,3.0945319747680426,0.33924130918819173,0.23540730437287838,6.357202741212221,0.6466769792907633,3.086568146224415,0.3426378795428592,0.2553049163923765,6.286035455253732,0.6440788804764417,3.065383064497361,0.351630700799622,0.2530652092584018
Spain,70,1950,2019,0.3817879319190979,0.021497078565742803,0.05,-0.08,4.5676287853000455,0.8290530491686948,3.46821952992951,0.10393584529853739,0.34147946069676555,4.569691553936819,0.828812859015911,3.4701375979647535,0.10294445057450785,0.342477464333342,4.568589975737575,0.8289429232391076,3.4691206651739686,0.10347014242949049,0.341943778491698
Sweden,70,1950,2019,0.421358380147389,1.391517208749705,0.05,0.12,3.165120443609628,0.8549471883997082,1.6656625902649398,0.3068620106613018,0.04300091576171218,3.2180493980093,0.8171516539385671,1.6321484069829126,0.33447414901383454,0.08787075888266047,3.2608860738187495,0.8432061202224207,1.5949707039340808,0.3644480444497856,0.09145280527199182
Switzerland,70,1950,2019,0.3180431919438499,0.021497078565742803,0.05,0.12,2.4665645557595397,0.7782715657568887,1.8780580417736163,0.440784956253054,0.28945143248213717,2.4678508501122876,0.7770154954089458,1.8791293640288347,0.4401467753405309,0.2887461245734444,2.5743938093986016,0.7515800173908045,1.872932260896109,0.44383332011046506,0.24392743462427
Turkey,70,1950,2019,0.6,0.021497078565742803,0.05,0.12,4.098545393504573,0.9606500181462143,5.462580426960533,-0.16848995106829956,0.23303878900607292,4.103713152820059,0.9588016984284952,5.467300712639788,-0.17051023782076213,0.23289022917305757,4.188939404072881,0.902869830287478,5.40611791332245,-0.14445921702785425,0.29750129388389857
United Kingdom,70,1950,2019,0.4350660077163151,2.0297906498347196,0.05,0.12,2.096663553095455,1.0424872665329141,1.6826395702383083,0.2813020170645264,0.1693194568120566,2.2182719181835138,0.9210545148753042,1.659304630681958,0.3010976824825572,0.2326111185496463,2.197999417926545,0.9666346513708057,1.6259944774471353,0.32887662931326145,0.22739761060390556
United States,70,1950,2019,0.38081351263182506,0.021497078565742803,0.05,0.08,2.652940762131787,0.8665749692783005,1.2261102787006364,0.6673517595800708,0.06949278061035512,2.6532840666915556,0.865640706172655,1.226616127778994,0.6670772255193136,0.06972754631040448,2.744779724486613,0.8628948725189112,1.2178511719580354,0.6718181182344855,0.07729861463652159
