country,n,y_start,y_end,alpha,beta2,Ki_over_K_end,M0_A_mape,M0_A_dw,M0_B_rmse,M0_B_r2,M1_A_mape,M1_A_dw,M1_B_rmse,M1_B_r2,M2_A_mape,M2_A_dw,M2_B_rmse,M2_B_r2
France,70,1950,2019,0.35278284549713135,0.34,0.02376977792784427,4.089539751257091,0.8834488196684033,1.7762232469549548,0.2481312054764664,3.471859634517744,0.8600958672219599,1.6641312417153016,0.3400331695822434,2.1908198152757077,0.7644616402665327,1.4894616850489217,0.47130447727617575
Germany,70,1950,2019,0.3451319932937622,0.04,0.03741418478785818,3.8191148729783784,0.8027109098074464,1.8147132052311086,0.598975704423695,3.0745337071801466,0.7360645505830311,1.816874347178524,0.5980199760105147,3.5180617580646216,0.778502341070939,1.8128909025886195,0.5997807029319664
Greece,69,1951,2019,0.4980412721633911,0.21,0.00739625940012432,5.13599403558243,0.7406013319863283,3.7850671252045687,0.2882421462456548,4.905858817526174,0.7285698808427933,3.743533560800938,0.30377669216425407,4.748364529238492,0.7258781668107678,3.7271147036842747,0.3098704656831254
Hungary,50,1970,2019,0.37793296575546265,0.26,0.01451144743886025,3.545303662328761,0.7153455363436115,2.8730846365457343,0.3068379594149254,2.9353367330990263,0.8041269653646762,2.7819885451488795,0.3500969025338061,2.138573531397985,1.2504199506674274,2.723271683121695,0.3772412010131003
Iceland,70,1950,2019,0.3737409710884094,0.18,0.024196121795154072,4.991371044529954,0.6336678782741345,3.5460428455961877,0.22877685103867829,4.660195753063357,0.6028182356870962,3.463973770528815,0.2640618968523639,4.437484785369875,0.5757039693749295,3.444440728476825,0.27233827587752224
Ireland,70,1950,2019,0.47931385040283203,0.0,0.015368591516588351,4.746180980684867,0.7201728657306714,3.215655361973782,0.3577774839307175,4.595791056506557,0.6325725258696943,3.298644106917253,0.3242011365088998,4.746180980684867,0.7201728657306714,3.215655361973782,0.3577774839307175
Israel,70,1950,2019,0.42368096113204956,0.0,0.06969875884109439,3.9144384390591176,0.8399933250169811,3.791613695997854,0.3035434709788979,3.716839246165594,0.831581944466076,3.853370256658183,0.28067139806456587,3.9144384390591176,0.8399933250169811,3.791613695997854,0.3035434709788979
Italy,70,1950,2019,0.4379974603652954,0.32,0.011900085635284689,3.015222373295657,0.9330426830432113,2.229596321732018,0.40420443696813757,2.629837239374379,0.9494001859316802,2.1682480704717144,0.43654047690642206,2.3036173095318406,1.0591774432694447,2.1107837788847448,0.46601103513717723
Japan,70,1950,2019,0.40173739194869995,0.01,0.042664689863190323,3.4554382954385106,0.8474781932841908,2.0734808115289725,0.7014604840156846,3.107086831489223,0.7590532926766118,2.0844985805596363,0.6982793806624108,3.4139636083579616,0.8396334017650909,2.0732320489051785,0.7015321133434773
Latvia,30,1990,2019,0.47641581296920776,0.0,0.004564474892282191,11.956396465636466,0.5248001420493288,9.213514902137657,0.24910517555074319,11.428668759571035,0.5354791018829798,9.354935783708198,0.225876864423188,11.956396465636466,0.5248001420493288,9.213514902137657,0.24910517555074319
Lithuania,30,1990,2019,0.48950713872909546,0.0,0.012850034325423554,8.993362991874493,0.4799721733030258,7.090062907987947,0.25839541708592284,8.326230379464885,0.47104665977681615,7.17108037179113,0.2413500948901931,8.993362991874493,0.4799721733030258,7.090062907987947,0.25839541708592284
Luxembourg,70,1950,2019,0.44964075088500977,0.29,0.017270419555511802,3.24537175831015,0.9499107000760656,3.292732275148295,-0.05898226800970119,3.210386103366757,0.9174045948148084,3.2435881216662827,-0.027607462822706985,3.3250122664481636,0.8277849481959573,3.2051055235678665,-0.003368614686171556
Mexico,70,1950,2019,0.5900231897830963,0.01,0.005094554460225057,3.103013384309029,0.6648463399958553,2.783091623203483,0.40246429524602234,2.8642406350635206,0.7171279791752472,2.7948717801663894,0.3973951400182294,3.0785910199132864,0.6695593280795503,2.7828917815972227,0.4025501050029102
Netherlands,70,1950,2019,0.32550668716430664,0.34,0.026095701991684987,3.5829877718347447,0.8786356401041477,2.1219445283624836,0.23331305646907463,3.0911127602799198,0.8537092835342653,2.0174893555351914,0.3069373120812794,2.1590427523349396,0.7748392852729699,1.8911124053848067,0.3910456998387244
New Zealand,70,1950,2019,0.4091075658798218,0.18,0.022345444859450076,2.307193702738644,0.996038384520908,3.099649393096397,0.07600771076796264,2.2833330446113216,0.9230933861016479,3.082147271018252,0.08641286749297261,2.3263444984507244,0.8678650132572636,3.07772522192959,0.08903248861385926
Norway,70,1950,2019,0.4438353180885315,0.34,0.025525438274113296,4.022474785760385,0.890581212891777,1.709110804842923,0.025485871349351652,3.52198907066835,0.8674485386301909,1.6519721125710627,0.08955624010002539,2.535774871330649,0.7633416126883691,1.5856919383370867,0.1611480142479863
Poland,50,1970,2019,0.3924822211265564,0.0,0.020453864718815475,3.961619368978739,0.7054367077580714,3.6028824125346937,0.2735847011937511,3.593590370270352,0.7267694576050392,3.6414827643517715,0.2579360682821129,3.961619368978739,0.7054367077580714,3.6028824125346937,0.2735847011937511
Portugal,70,1950,2019,0.36397331953048706,0.09,0.009720627513397768,3.5378712761192492,0.7806273095334502,2.886008462432647,0.17935965182481362,3.494368323396841,0.8010137010907469,2.867926383081507,0.18961076377046382,3.495127435221626,0.7975573103473799,2.867802487554915,0.18968078051358694
Republic of Korea,67,1953,2019,0.4219520688056946,0.0,0.041735540261941255,5.636003211597915,0.7683315745392425,2.502431703828917,0.5549016890147516,4.711941169683884,0.7166180554175351,2.573863220662489,0.5291284977059609,5.636003211597915,0.7683315745392425,2.502431703828917,0.5549016890147516
Slovakia,30,1990,2019,0.4580281376838684,0.0,0.009765946527263999,6.065289880030599,0.7375398893721969,3.797221133346957,0.40118691441821086,5.8123293830217495,0.6970778458526384,4.077320179129739,0.3095867192956788,6.065289880030599,0.7375398893721969,3.797221133346957,0.40118691441821086
Slovenia,30,1990,2019,0.3352207541465759,0.0,0.017935609717741722,5.434384878790344,0.6461933185279047,2.9253341791496603,0.4095217490400479,4.81328970429763,0.6685576877205562,3.094760433710277,0.3391437423799619,5.434384878790344,0.6461933185279047,2.9253341791496603,0.4095217490400479
Spain,70,1950,2019,0.3817879557609558,0.1,0.012240247043611563,3.9039393636927837,0.8840450078226969,3.016875166952859,0.3219829330155395,3.4597990560511556,0.8768232146601564,2.9975824882079927,0.3306269368298198,3.4597990560511556,0.8768232146601564,2.9975824882079927,0.3306269368298198
Sweden,70,1950,2019,0.4213583469390869,0.0,0.0430372080680127,3.099639198843516,0.8523081178097799,1.5375201722741607,0.40940837601176594,2.7344583683864223,0.8280113105193144,1.5582443696880257,0.39337993509263425,3.099639198843516,0.8523081178097799,1.5375201722741607,0.40940837601176594
Switzerland,70,1950,2019,0.318043053150177,0.0,0.03923354909169031,2.5162078971097284,0.722146988257511,1.8580529646839854,0.45263502381853427,2.304537906053485,0.6972390772500799,1.8890921370023257,0.4341945757846629,2.5162078971097284,0.722146988257511,1.8580529646839854,0.45263502381853427
Turkey,70,1950,2019,0.5999999940395355,0.04,0.011825689683516305,3.498241532140155,1.1192275835769998,4.951866783995858,0.03978784614192521,3.638847105276203,1.2107901469330304,4.953039309747682,0.03933306542124926,3.525236542272018,1.1615309509857772,4.949544580516503,0.04068822786133208
United Kingdom,70,1950,2019,0.4350659251213074,0.0,0.02663493101729209,1.8718685155151162,1.0371605301290632,1.5361847441084397,0.4009664786216518,1.7208968649967546,0.9806452804808156,1.5914815948346688,0.3570644039296641,1.8718685155151162,1.0371605301290632,1.5361847441084397,0.4009664786216518
United States,70,1950,2019,0.3808135390281677,0.0,0.04806941699877666,2.7131138550709277,0.9138997269556195,1.0796154607893045,0.7420922725343688,2.4290317682147484,0.895657848324956,1.194861473846272,0.6840915223191479,2.7131138550709277,0.9138997269556195,1.0796154607893045,0.7420922725343688
