country,n,y_start,y_end,alpha,beta2,Ki_over_K_end,M0_A_mape,M0_A_dw,M0_B_rmse,M0_B_r2,M1_A_mape,M1_A_dw,M1_B_rmse,M1_B_r2,M2_A_mape,M2_A_dw,M2_B_rmse,M2_B_r2
Australia,70,1950,2019,0.36110740900039673,0.16,0.02630413436904996,2.713257794429196,1.1147046900839128,2.0882058285076766,0.09192169447462661,2.376530425662355,1.0888937030754844,2.0657884141772698,0.11131394004256812,2.2146505269096823,1.0663876737452174,2.061669830842052,0.11485397246303486
Austria,70,1950,2019,0.38423705101013184,0.0,0.03138165980048049,3.513291352857465,0.6793736250846704,1.803688566873972,0.40723313220633706,2.8687318323028976,0.6209020435372,1.817296040013636,0.39825543444378797,3.513291352857465,0.6793736250846704,1.803688566873972,0.40723313220633706
Belgium,70,1950,2019,0.3687959909439087,0.19,0.024917264768498884,3.100086404685438,0.99784445220781,1.614963406903662,0.23235635344135497,2.7052015683492394,1.003239930482861,1.5897871952569607,0.25610390865517974,2.3994542238958663,1.0038892374836965,1.5820064833678953,0.2633676195576692
Canada,70,1950,2019,0.29232722520828247,0.06,0.022868334661173294,2.5908714188471462,0.7473585887919211,1.7089786101776354,0.45638247197120907,2.390136694648083,0.7315801616808828,1.7051994231075056,0.4587840945122508,2.452205626997737,0.7379439920224912,1.7033249786005928,0.4599733062642999
Chile,69,1951,2019,0.5306072533130646,0.0,0.004550784054240389,3.6488982768495437,1.0353627488109853,3.9783600513039445,0.2919649330419184,3.6258309712113928,1.0726123506817113,4.075928337035062,0.25681030985003495,3.6488982768495437,1.0353627488109853,3.9783600513039445,0.2919649330419184
China,68,1952,2019,0.4143630862236023,0.09,0.020458248134182375,5.591867953759403,0.5404367527049052,5.2321152107608855,0.05255799137979,5.399363736469518,0.5237341023309247,5.208239674179029,0.06118512335822324,5.415756463984298,0.5235370327093665,5.2082223732816235,0.06119136051853158
Colombia,70,1950,2019,0.521891176700592,0.02,0.0048488814605868145,1.7806144084632338,1.0068516150277171,1.7814048883132088,0.3384374880536758,1.8220675744616042,0.8863194100291792,1.797593585408851,0.32635882077121725,1.7514076415438122,0.9955336873364226,1.7803146157854814,0.339247031929381
Costa Rica,70,1950,2019,0.42373907566070557,0.16,0.01041391874946297,3.8129932607609387,0.5967603846168869,3.2641400067358703,0.08879352689076536,3.5528275923418957,0.6234745109111804,3.227611122664051,0.10907397312791312,3.4468827876446957,0.6481586729494703,3.2221699359002876,0.11207533143209902
Czech Republic,30,1990,2019,0.4774419665336609,0.0,0.017782467080970504,5.3866613938406775,0.609170217579262,3.4178584601649775,0.14931601853535503,4.625029385596909,0.5982184381219194,3.434163904804082,0.14118000756573112,5.3866613938406775,0.609170217579262,3.4178584601649775,0.14931601853535503
Denmark,70,1950,2019,0.3603946566581726,0.0,0.035785358087030254,3.773777112534076,0.7641141855799995,1.8151853343245292,0.40565004885172784,3.2678034755002807,0.7627685884432285,1.8320530862767632,0.3945526385518945,3.773777112534076,0.7641141855799995,1.8151853343245292,0.40565004885172784
Estonia,30,1990,2019,0.40406036376953125,0.0,0.016719750999259483,7.025823701036085,0.7319217287968941,5.627332954522499,0.450251120709554,6.625055150416863,0.7496888639544782,5.873328089788952,0.40113676500486184,7.025823701036085,0.7319217287968941,5.627332954522499,0.450251120709554
Finland,70,1950,2019,0.354139506816864,0.0,0.037305592225671404,3.3976349020674528,1.0744827200893143,2.2816390058924374,0.4801697492413115,2.8882231686969777,1.0717646210881588,2.350177988176536,0.448469934306582,3.3976349020674528,1.0744827200893143,2.2816390058924374,0.4801697492413115
