country,A_M0,A_best,A_gain,B_M0,B_best,B_gain,D_M0,D_best,D_gain
Portugal,3.350652040087802,3.350652040087802,0.0,2.810844541283968,2.810844541283968,0.0,2.886008462432647,2.867802487554915,0.018205974877732345
Republic of Korea,2.856432584795276,2.821091469826857,0.035341114968419074,2.487516689626614,2.487516689626614,0.0,2.502431703828917,2.502431703828917,0.0
Slovakia,4.00826757633997,3.801054200324284,0.20721337601568646,3.797221133346957,3.797221133346957,0.0,3.797221133346957,3.797221133346957,0.0
Slovenia,3.094531974768042,3.065383064497361,0.029148910270681228,2.9253341791496603,2.9253341791496603,0.0,2.9253341791496603,2.9253341791496603,0.0
Spain,3.46821952992951,3.46821952992951,0.0,2.0152583524236163,2.0152583524236163,0.0,3.016875166952859,2.9975824882079927,0.019292678744866176
Sweden,1.6656625902649398,1.5949707039340808,0.07069188633085899,1.590490187654476,1.590490187654476,0.0,1.5375201722741607,1.5375201722741607,0.0
Switzerland,1.8780580417736163,1.872932260896109,0.005125780877507369,1.5588200242628998,1.5588200242628998,0.0,1.8580529646839852,1.8580529646839852,0.0
Turkey,5.462580426960533,5.40611791332245,0.05646251363808297,3.521398688914925,3.371170444505038,0.15022824440988725,4.951866783995858,4.949544580516503,0.0023222034793555224
United Kingdom,1.6826395702383083,1.625994477447135,0.056645092791173246,1.6009736814494506,1.6009736814494506,0.0,1.5361847441084395,1.5361847441084395,0.0
United States,1.2261102787006364,1.2178511719580354,0.008259106742600997,1.0216022729396788,1.0216022729396788,0.0,1.0796154607893045,1.0796154607893045,0.0
